PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
4765,Pottje,Johann,,,,,Beschreibung der ... Verbesserung an jeder Gattung Fortepiano's durch Anwendung eines Pedal ...,"Klavier, Pedal",Wien,,1847,17.05.1847
4766,Dunant,Giuseppe Maria,,,,,Descrizione dell'invenzione ... di un particolare sapone ... [Raffinierte Seife],"Seife, Raffinade/Seife",Milano,,1842,19.06.1842
"",,,,,,,Beschreibung der neuen Erfindung in der Aufbewahrung von Holz und anderen vegetabilischen,,,,,
4767,Banner,Robert,,,,,,"Holz, Imprägnierung/Holz",Wien,,1842,30.06.1842
"",,,,,,,Substanzen durch Anwendung metallischer oder ordinärer Auflösungen [Text engl. u. dt.],,,,,
4768,Haeussle,Joseph,,,,,"Beschreibung der ... Erfindung und Verbesserung bei Erzeugung von Spielkarten, ...",Spielkarten,Wien,,1843,23.08.1843
4769,Schmitt,August,,,,,Beschreibung der ... neu erfundenen und verbesserten künstlichen Zahngebisse,Gebiß/künstliches,Wien,,1844,08.06.1844
"",,,,,,,"Beschreibung der Erfindung und Verbesserung, jeden harten Knochen-Körper, insbesondere aber",,,,,
"",,,,,,,,"Elfenbein, Hornbearbeitung,",,,,
4770,Demel,Franz,,,,,"Elfenbein, derart elastisch zu machen, daß daraus Reitgerten, Bogis, Brusthüttel, Ansätze für",,Wien,,1845,07.07.1845
"",,,,,,,,Imprägnierung/Elfenbein,,,,
"",,,,,,,"Spritzen, Kinder-Saug-Tutten, Schreibfedern ... von mir verfertigt werden kann ...",,,,,
"",,,,,,,Beschreibung der ... Erfindung ...: Die Leder abgenützter Krempelbelege mittelst Setzmaschine mit,,,,,
4771,Wolf,Karl,,,,,,Krempeln,Biala,,1845,19.07.1845
"",,,,,,,neuem Draht zu besetzen,,,,,
"",,,,,,,Beschreibung von Heinrich Pinkus aus London ... in Betreff eines verbesserten Systems im Baue,,,,,
"",,,,,,,,"Druckluftbahn, Rohrleitung,",,,,
4772,Pinkus,Heinrich,,,,,"und in der Wirksamkeit athmosphärischer Schienenwege, anwendbar auch auf Canal- und",,Wien,,1845,09.07.1845
"",,,,,,,,"Eisenbahnwagen, Geleise",,,,
"",,,,,,,Landstraßen-Fahrten,,,,,
"",,,,,,,Beschreibung der ... Erfindung und Verbesserung ...: daß er mittelst einer ... Maschine und,"Stickmuster, Farbendruck, Schablone,",,,,
4773,Czerny,Joseph,,,,,,,Wien,,1845,23.09.1845
"",,,,,,,Vorrichtungen die schnellere Verfertigung des Farbenstikdupfes ... bewerkstelligt ...,"Druckmaschine, Zeugdruck",,,,
4774,Kober,Joseph Johann,Masatsch,Johann,,,Rezept zur Wanzen-Vertilgungs-Tinktur,"Ungeziefer, Wanzenvertilgung",Prag,,1846,10.09.1846
4776,Kyritz,Friedrich Wilhelm,Syrrenberg,Heinrich August,,,Erfindung und Verbesserung unserer Waagenschmiere,Schmiermittel,Wien,,1847,15.09.1847
"",,,,,,,"Beschreibung der Erfindung und Verbesserung, die Soufflets zu allen Gattungen aus Leder, Gutta",,,,,
4777,Pruetzmann,Daniel,Pruetzmann,Wilhelm,,,"Percha, Seide oder jedem ... Stoffe zu verfertigen Portefeuls, Cigarren- Geld und derley Taschen","Etui, Brieftasche, Geldbörse",Wien,,1848,09.03.1848
"",,,,,,,"auf eine neue Art zu erzeugen, ...",,,,,
"",,,,,,,"... zeigt ... an, eine Verbesserung der gewöhnlichen Cillinder-Dampfmaschinen gemacht zu haben,",,,,,
4778,Fletcher,Matthew,,,,,,Dampfmaschine,Wien,,1841,06.11.1841
"",,,,,,,...,,,,,
4779,Campiglio,Bianco,Campiglio,Gerolamo,,,Descrizione della Macchina per la fabbricazione della Cioccolatta ... [Schokolademühle],Schokolademühle,Milano,,1840,07.10.1840
"",,,,,,,Beschreibung auf: 1. Kosmetische Seife. 2. Cocos Nus Soda Seife. 3. Cocos Nuße Oel Pomade. 4.,,,,,
4780,Nuglisch,,Treu,,,,,"Kokosnußöl, Seife, Haaröl, Pomade",Wien,,1842,03.09.1842
"",,,,,,,Cocos Nuß Oel für Haar. 5. Verbesserte Pomade aus Cacao Butter,,,,,
"",,,,,,,Beschreibung der Bestandtheile und Bereitungsart des aus Vegetabilischen Substanzen,,,,,
4781,Lux,Samuel,,,,,,Haaröl,Wien,,1842,30.08.1842
"",,,,,,,bestehenden Haaröhls als Toilettenmittel unter dem Namen Heuile indiene,,,,,
4783,Frenzel,Franz,,,,,Das Neue der Erfindung und Verbesserung der von mir construirten Dreschmaschine ...,Dreschmaschine,Prag,,1843,29.09.1843
"",,,,,,,Descrizione della nuova invenzione ... che consiste in sostanza nel filare la seta con due torte o,,,,,
4784,Brenna,Carlo,,,,,,"Seide, Spinnmaschine",Milano,,1843,21.08.1843
"",,,,,,,torcimenti ... [Seide spinnen mit zwei Drehungen],,,,,
"",,,,,,,Beschreibung des William Dorning'schen Dampfhammers (eines die Stelle des Luppenhammers,,,,,
4785,Dorning,William,,,,,"vertretenden Dampfhammers, der nicht nur zum Hämmern, sondern auch zum Schlagen von",Dampfhammer,Wien,,1843,03.07.1843
"",,,,,,,Bohrlöchern und Schächten und zu Pochwerken aller Art anzuwenden ist),,,,,
"",,,,,,,"Beschreibung betreffend die Erfindung und Verbesserung in der Stearin, Magarin und Chlorabin","Stearinsäure, Margarinsäure,",,,,
4786,Bachmayer,Leopold,Bauer,Franz,Riegler,Anton,,,Wien,,1843,21.08.1843
"",,,,,,,Kerzen Lichter Erzeugung,"Chlorabin, Kerze",,,,
4787,Koester,Joseph Heinrich,,,,,Neue Erfindung Wagenfedern ... zu konstruieren ...,"Wagen, Federung/Wagen",Wien,,1845,30.07.1845
"",,,,,,,Beschreibung der Verbesserung über die bereits schon bekannten Frictions-Achsen als,,,,,
4788,Bellon,Johann Alexander,,,,,,"Schmierbüchse, Radnabe, Wagenachse",Wien,,1845,18.08.1845
"",,,,,,,Accelerations-Achsen ...,,,,,
4789,Conraetz,Wilhelm,,,,,Beschreibung der Erfindung eines ewigen Kalenders,Kalender,Wien,,1845,06.11.1845
"",,,,,,,Descrizione della nuova invenzione che ... consiste in sostanza in una trombo costrutta in una,,,,,
4790,Pelitti,Giuseppe,,,,,,"Trompete, Klappe/Blasinstrument",Milano,,1846,28.08.1846
"",,,,,,,forma affatto nuova con un solo Robinet e con pompa lunga ... [Trompete mit einer Klappe],,,,,
4791,Zach,Joseph,,,,,Beschreibung der ... Verbesserung der bisher bestehenden Zuckerraffinirungs-Dampfapparate,"Zucker, Raffinade/Zucker",Wr. Neustadt,,1846,01.06.1846
"",,,,,,,,"Erbsendörre,",,,,
4792,Mueller,Joseph,,,,,Beschreibung der Erbsen Reinigungs und Veredlungs neuen Methode,"Enthülsungsmaschine/Erbsen,",Kranichberg,,1846,15.08.1846
"",,,,,,,,"Sortieren, Spaltmaschine/Erbse",,,,
"",,,,,,,"Beschreibung der Erfindung, die verschiedensten Drechslerwaaren, aus allen für die Drehbank sich",,,,,
4793,Heller,Franz,,,,,"eignenden Materialien, namentlich ... für alle Arten von Webestühlen u. zur Zeugfabrikation",Drechsler,Wien,,1846,02.09.1846
"",,,,,,,überhaupt ... darzustellen,,,,,
4794,Dittrich,Alois,,,,,Beschreibung der ... Erfindung eines Wanzen Vertilgungsmittels,"Ungeziefer, Wanzenvertilgung",Jägerndorf,,1846,13.06.1846
