PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,Beschreibung zu dem ... auf die Erfindung neuer Maschinen und einer neuen Methode bei der,,,,,
2886,Bayer,Johann Ignaz,,,,,,"Seide, Appreturmaschine",Wien,,1839,28.08.1839
"",,,,,,,Appretur der Seide angesuchten ausschließenden Privilegium,,,,,
2887,Hornstein,Andreas,,,,,"Beschreibung des Trocknungs Apparats, ...",Trockenapparat,Wien,,1839,12.11.1839
"",,,,,,,"Beschreibung der verbesserten bereits privilegirten Maschine, mittelst welcher Nägel aus","Nagel, Blechschere,",,,,
2888,Mueller,Georg,Mueller,Karl,,,,,Steyr,,1836,30.11.1836
"",,,,,,,Walzenblech ohne Feuer erzeugt werden,"Schneidemaschine, Presse",,,,
"",,Peter Theophil,,,,,Beschreibende Darstellung neuer Verfahrungsarten für die Löthung der Metalle mit Hilfe gewisser,,,,,
2889,Dupont,,,,,,,Schweißen,Wien,,1838,13.07.1838
"",,Gustav,,,,,Flammenstrahlen ...,,,,,
"",,,,,,,Beschreibung der ... Erfindung ... auf Erzeugung von Sensen auf englische Art mit aufgeschnitteten,,,,,
2890,Scheyrer,Karl,,,,,,Sense,Wien,,1839,23.11.1839
"",,,,,,,"Schneideblatt, ...",,,,,
"",,,,,,,Beschreibung einer neuen Construction von Wasser-Mühlen der Gebrueder Dinkelaker & Co. in,,,,,
2891,Dinkelaker,,Krauss,J.G.,,,,Mühle,Wien,,1839,08.11.1839
"",,,,,,,"Salzburg, entworfen und gezeichnet von J.G. Krauß",,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ...: 1. daß ein besonders konstruirter Apparat als Kessel benützt",,,,,
2892,Orth,Louis v.,,,,,werden kann ... 2. das darin enthaltene Fluidum in mehrere übereinander stehende Räume,"Dampfkessel, Feuerung",Stuttgart,,1840,12.06.1840
"",,,,,,,vertheilt ist ...,,,,,
"",,,,,,,,"Gummiband, Wasserdichter Stoff,",,,,
"",,,,,,,Beschreibung einer neuen vervollkommneten Methode um Wasser oder andere Flüßigkeiten aus,,,,,
2893,Ofenheim,Viktor,,,,,,"Elevator, Förderband,",Wien,,1841,26.02.1841
"",,,,,,,zu schöpfen oder zu heben,,,,,
"",,,,,,,,Wasserhebemaschine,,,,
2894,Landtmann,Karl,,,,,Verfahren bey Anfertigung der Tochte und der hierzu nöthigen Maschinchen,"Nachtlicht, Docht",Wien,,1840,08.02.1840
"",,,,,,,"Beschreibung der Verbesserung der bisher bestehenden Physharmonica, nunmehr Hedyphon zu",,,,,
2895,Mayer,Georg,Mikschik,Joseph,,,,"Physharmonika, Klavier",Wien,,1840,16.03.1840
"",,,,,,,"nennender Instrumente und auf ihre Verbündung mit Pianoforte, ...",,,,,
"",,,,,,,"Beschreibung der ... Erfindung, welche unter der Benenung: Vortheilhafter Hand-Registrator oder",,,,,
2896,Girardet,Charles,,,,,Sammler der dringend zu erledigenden Acten und sonstigen Piecen; in allen Geschäftszweigen,"Aktenklammer, Papierklammer",Wien,,1841,02.06.1841
"",,,,,,,sich nothwendiger Artikel darsteht,,,,,
"",,,,,,,Descrizione della nuova scoperta che ... consiste in sostanza nel perdurre in istampa a rilievo sopra,,,,,
2897,Andreis,Luigi Francesco,,,,,"differenti stoffe a varij colori e ad un solo colore con chiaro e scuro differenti disegni per gilet,","Reliefdruck, Zeugdruck",Milano,,1837,18.10.1837
"",,,,,,,"tabarri, tapeti, forniture, sofà, vesti da donna etc ... [Reliefdruck für Zeugdruck]",,,,,
2898,Bastiani,Peter,,,,,Beschreibung der ... erfundenen Vorrichtung und Verbesserung von Uhrschlüsseln,Uhrschlüssel,Wien,,1839,23.09.1839
"",,,,,,,,"Draht, Flechtarbeit, Halsband,",,,,
2899,Darnowsky,Johann,Fabrizius v.,L. Balthasar,,,Beschreibung der elastischen Ketten-Bracetz und von Drath geflochtenen Gegenstände,,Wien,,1841,08.03.1841
"",,,,,,,,"Armband, Ohrringe, Halskette, Brosche",,,,
"",,,,,,,Beschreibung des von mir Endesgefertigten neu erfundenen Forte-Piano = Vulcanion oder,,,,,
2900,Komary,Stephan,,,,,,Klavier,Wien,,1838,30.04.1838
"",,,,,,,Eisenbahn-Clavier benannt,,,,,
2901,Gerlin,Sebastiano,,,,,Descrizione dell invenzioni relativ all'uso e concia delle Pelli ... [Gerberei],"Leder, Gerberei",Venezia,,1839,17.01.1839
"",,,,,,,Beschreibung der ... erfundenen hölzernen oder metallenen Haspeln und glockenförmigen,,,,,
2902,Giebtner,Wenzel,,,,,"Sturzen, welche derselbe statt der bisher üblichen kupfernen durchlöcherten Walzen und",Dekatiermaschine,Wien,,1837,09.03.1837
"",,,,,,,Dampfkästen zur Dampfappretur wollener Stoffe anwendet,,,,,
2903,Koerber,G.,Rohmann,Joseph Peter,,,Beschreibung der angegebenen Verbesserungen bey Verfertigung der Harmonikaen,Ziehharmonika,Wien,,1841,01.02.1841
"",,,,,,,Descrizione dell nuova invenzione che ... consiste in sostanza in un recipiente ossia vaso costruito,,,,,
2904,Zecchini,Giuseppe,,,,,di Legno atto a frangere il carbone indispensabile per la fabbricazione dalle cosi margarite ossia,"Glasperle, Kohlenzerkleinerung",Venezia,,1836,18.10.1836
"",,,,,,,per l'esercizione di una tal arte cosi comunemente chimiata [Kohlenzerkleinerung],,,,,
2905,Leithenberger,Eduard,,,,,Beschreibung der ... neu erfundenen einfachen Vorrichtung zu dessen verbesserten Handdruck,Zeugdruck,Reichstadt,,1836,14.02.1836
"",,,,,,,"Beschreibung der ... neu erfundenen Schnellmodeldruckmaschine, benannt Leitenbergers",,,,,
2906,Leithenberger,Eduard,,,,,,"Zeugdruck, Druckmaschine",Reichstadt,,1836,14.02.1836
"",,,,,,,Schnellmodeldruck-Maschine,,,,,
"",,,,,,,,,Hammerwerk,,,
2907,Pfeifer,Joseph,,,,,Methode zur Gußstahlfabrication,"Roheisen, Tiegelgußstahl, Tiegelofen",,,1836,02.12.1836
"",,,,,,,,,Spitzenbach,,,
2908,Hofmann,Ludwig,,,,,Beschreibung der Kirbiszucker Bereitung,"Kürbis, Zucker",Wien,,1836,15.10.1836
"",,,,,,,"Die geheime Beschreibung der Grundprinzipe der Maßnahme bei Damenkleidern, hiernach",,,,,
"",,,,,,,,"Kleidung, Schneiderei, Maßnahmen,",,,,
2909,Bachner,Franz,,,,,"Basirung des Instruments zur mechanischen Vorzeichnungsanleitung, und die Verfertigung des",,Wien,,1839,29.08.1839
"",,,,,,,,Zuschneidemaschine,,,,
"",,,,,,,Instruments auf das Genaueste selbst,,,,,
"",,,,,,,"Beschreibung der Verbesserungen an Eisenbahnen und Eisenbahnfuhrwerke überhaupt, und an","Eisenbahnwagen, Geleise, Lokomotive,",,,,
2910,Guggenberger,Ignaz Martin,,,,,,,Wien,,1840,29.10.1840
"",,,,,,,Guggenbergers k.k.ausschl.priv. selbständig umlaufenden Eisenbahn insbesondere,"Puffer, Raupenfahrzeug, Drehgestell",,,,
"",,,,,,,"Beschreibung und Zeichnung auf einem Bogen, der ... erfundenen Maschine zum Kämmen der",,,,,
2911,Lamiral,J. Eugene,,,,,,"Schafwolle, Krempeln",Paris,,1840,02.11.1840
"",,,,,,,"Schafwolle, ... [Text frz.]",,,,,
2912,Zempliner,Johann,,,,,... Beschreibung der Verbesserung und theils neuen Erfindung seiner Bürsten,"Bürste, Bleichen, Borste",Wien,,1840,29.12.1840
