PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,"Mineralwasser,",,,,
"",,,,,,,Beschreibung der verbesserten Füllung und Verkorkungs-Art bei Mineralwassern überhaupt;,,,,,
3254,Hecht,Joseph August,,,,,,"Abfüllapparat/Mineralwasser,",Prag,,1828,27.05.1828
"",,,,,,,vorzüglich aber bei eisenhältigen Mineralwassern,,,,,
"",,,,,,,,Flaschenkorkenmaschine,,,,
"",,,,,,,"Beschreibung eines neuen Verfahrens, das chlorsaure Kali zu bereiten. Beschreibung eines neuen",,,,,
3255,Wagenmann,Karl,,,,,,"Kali/Chlorsaures, Alkalien/Chlorsaure",Wien,,1835,05.07.1835
"",,,,,,,"Verfahrens, die chlorigtsauren Alkalien darzustellen",,,,,
3256,Rieter,Heinrich,,,,,"Beschreibung der ... Erfindung einer verbesserten Spinnmaschine für Baumwollengespunst, ...","Baumwolle, Spinnmaschine",Wien,,1838,30.03.1838
"",,,,,,,,"Teer, Asphalt, Straßenpflaster,",,,,
"",,,,,,,Beschreibung und Anwendunger der ... Erfindung und Verbeßerung zu einem neuen,,,,,
"",,,,,,,,"Mauer/Isolierung,",,,,
3257,Ellenberger,Karl,,,,,"Straßenpflaster, und einer Composition mit welcher man das feuchte Mauer- und Holzwerk",,Wien,,1838,14.05.1838
"",,,,,,,,"Imprägnierung/Holz,",,,,
"",,,,,,,"schnell austrocknen, und vor schnellen Verderben bewahren kann",,,,,
"",,,,,,,,"Feuchtigkeitsschutz, Bauholz",,,,
"",,,,,,,Beschreibung einer von Joseph Lesire auf Ixelles in Belgien erfundenen Maschine zur Erzeugung,,,,,
3258,Lesire,Joseph,,,,,,Ziegelmaschine,Wien,,1838,07.09.1838
"",,,,,,,dauerhafter Backsteine ...,,,,,
3259,Neuner,Christoph,,,,,Beschreibung der neu erfundenen Stahl-Peitschen,Peitsche,Klagenfurt,,1838,22.08.1838
"",,,,,,,Beschreibung und Zeichnung der ... neuen Erfindung ...: daß mittels Anwendung eines besonderen,,,,,
3260,Pokorny,Anton,,,,,"Rostes, der zugleich als Verzierung dient, nebst dem Kochen der einen Speisen gleichzeitig auch",Kochherd,Wien,,1840,27.07.1840
"",,,,,,,"andere gewärmt ... werden können, ...",,,,,
"",,,,,,,Beschreibung der von Endesgefertigtem; auf das an ihn und Franz Nauthe ... verliehene,,,,,
3261,Peters,Johann Joseph,,,,,Privilegium gemachten Verbesserung der Vorrichtung an den gewöhnlichen posamentirer Stühlen,"Posamentierstuhl, Bandstuhl",Wien,,1841,03.09.1841
"",,,,,,,zu dem verbesserten Huthstoffen; ...,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung an den Forte-pianos, ..., daß zwei Resonanz-Böden so",,,,,
3262,Pottje,Johann,,,,,"vortheilhaft in einem Fortepiano verbunden werden, daß dadurch ein angenehmer, starker und","Klavier, Resonanzboden",Wien,,1840,02.09.1840
"",,,,,,,gesangvoller Ton erfolgt,,,,,
3263,Hirschfeld,Emil,,,,,... Verbesserung der Spielkartenglänzmaschine ...,"Spielkarte, Appreturmaschine",Graz,,1842,18.08.1842
3264,Heimdoerffer,Daniel,,,,,Beschreibung samt Zeichnung eines verbesserten Eisenbahnwagenrades,"Eisenbahnwagen, Wagenrad",Wien,,1842,25.06.1842
"",,,,,,,Chromolithographie. Beschreibung eines neuen Farbensteindruckes. [Für die öst.-ung. Monarchie],,,,,
3265,Engelmann,G.,Leykum,Alois,,,,"Farbendruck, Lithographie",Wien,,1837,02.10.1837
"",,,,,,,v. Alois Leykum,,,,,
3266,Broese,Wilhelm,Hollenbach,David,,,Beschreibung der Siegel-Presse des W. Bröse und D. Hollenbach,"Siegel, Presse",Wien,,1842,26.09.1842
"",,,,,,,Beschreibung der aus den bisher noch unbenutzten Geflügelfern erzeugten Bürsten von allen,,,,,
3267,Reithoffer,Johann Nepomuk,,,,,,"Geflügelfeder, Bürste",Wien,,1841,21.09.1841
"",,,,,,,"Formen, und deren weiterer Verwendung bei Apparaten",,,,,
3268,Theurer,G.H.,,,,,Beschreibung der [Papier-] Leim-Maschine,"Papier, Leimen/Papier",Wien,,1842,16.08.1842
"",,,,,,,Beschreibung der Erfindung einer neuen Anwendungsart der Triebräder beym Transport auf,,,,,
3269,Weinrich,K.,,,,,,"Eisenbahnwagen, Getriebe",Wien,,1842,11.08.1842
"",,,,,,,Schienenwagen,,,,,
"",,,,,,,,"Plastische Masse, Hornersatz,",,,,
"",,,,,,,"Beschreibung der ... Erfindung, ...: In der Bereitung einer dem Schildkrot ähnlichen, solches aber ...",,,,,
3270,Paal,Franz,Schmidt,Alois,,,,"Kunstelfenbein, Modellieren,",Wien,,1841,22.01.1841
"",,,,,,,"übertreffenden Massa, sowie auch eines künstlichen Elfenbeins, ...",,,,,
"",,,,,,,,Galanterie,,,,
"",,,,,,,Beschreibung eines verbesserten Dampfapparates zur Concentrirung von Flüssigkeiten bey einer,,,,,
3271,Weinrich,K.,,,,,,Verdampfapparat,Prag,,1838,28.02.1838
"",,,,,,,"Temperatur, die 76° R. nicht übersteigt",,,,,
"",,,,,,,"Beschreibung ... der ... Erfindung ..., feuerfeste Dachungen so herzustellen, daß das Feuer weder",,,,,
3272,Wunderer,Johann,,,,,,"Ziegel, Gewölbe, Dach",Wien,,1840,20.07.1840
"",,,,,,,"von außen nach innen, noch von innen nach außen um sich greifen kann, ...",,,,,
"",,,,,,,"Beschreibung ... über eine Verbesserung der von mir erfundenen vom 4.9.1840, Z.28843/2276",,,,,
3273,Wunderer,Johann,,,,,,"Gewölbeziegel, Dach",Wien,,1842,21.11.1842
"",,,,,,,priv.Erfindung feuerfester Bedachungen ...,,,,,
"",,,,,,,Descrizione della nuova invenzione ... che consiste in sostanza in tabelle meccaniche di grande,,,,,
3274,Prevost,Giorgio Luigi,,,,,,Rechentafel,Milano,,1838,05.04.1838
"",,,,,,,"utilità, massime al Commercio ... [Rechentafel]",,,,,
"",,,,,,,Verbesserung aus Runkelrüben Zuckermehl mittelst eines Macerations-Apparates mit gespannten,"Zuckerrübe, Auslaugen,",,,,
3275,Prich,Wilhelm,,,,,,,Wien,,1840,26.02.1840
