PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
3570,Davy,Henry Savill,,,,,Beschreibung gewisser Verbesserungen in der Triebkraft,"Wasserrad, Schiffsantrieb, Getriebe",Wien,,1842,05.04.1842
3571,Kellner,Joseph,Kellner,Michael,,,Beschreibung der Entdekkung in der Erfindung eines Essig-Erzeugungs-Apparates,"Essig, Gärapparat",Wien,,1840,26.10.1840
"",,,,,,,"Beschreibung der ... Verbesserung, welche in der Wesenheit in einem Apparat ""Sonnenuhr-",,,,,
"",Mones,Johann Peter,,,,,,"Sonnenuhr, Zeitbestimmung,",,,,
3572,,,,,,,"Regulator"" genannt, bestehet, mittelst welchem ein beweglicher Quadrant nach Gutdünken,",,Wien,,1843,12.10.1843
"",d'Elbouix,Joseph v.,,,,,,Pendelquadrant,,,,
"",,,,,,,entweder die Mittlere oder wahre Sonnenzeit angeben kann,,,,,
"",,,,,,,Beschreibung der ... Erfindung ...: Aus einer vegetabilischen Substanz Leuchtgas oder Kaly hältige,,,,,
"",,,,,,,,"Weinhefe, Bierhefe, Leuchtgas,",,,,
3573,Haenisch,Franz,Planer,Franz,,,"Producte, oder beyde zugleich zu erzeugen, und diese Producte auch aus den Rückständen der",,Wien,,1843,31.07.1843
"",,,,,,,,"Pottasche, Druckerschwärze",,,,
"",,,,,,,"vegetabilischen Substanz zu gewinnen, ...",,,,,
"",,,,,,,Beschreibung des Verfahrens durch Zusatz von Kohle oder stark Kohlenhältigen Körper,,,,,
3574,Bernhard,Johann,Neumann,August,,,,Ultramarin,Wien,,1843,12.06.1843
"",,,,,,,"künstlichen Ultramarin zu erzeugen, ...",,,,,
3575,Palkh,Joseph,,,,,Beschreibung der ... Erfindung u. Verbesserung aller Gattungen Sparr und Tischleuchter,Leuchter,Wien,,1842,20.04.1842
3576,Pimpfinger,Joseph,,,,,Beschreibung zur Verfertigung des Haarkäme-Reinigungs Apparates,Kammreiniger,Wien,,1842,20.09.1842
3577,Waldstein,Jakob,,,,,"Beschreibung der ... Verbesserung seiner bereit[s] priv. Brillen-Gestelle, ...",Brille,Wien,,1842,06.10.1842
3578,Schweiger,Ignaz,,,,,"Die neue Form und Verbesserung der Wagenlaternen, ...",Wagenlaterne,Wien,,1843,14.12.1843
"",,,,,,,"Zeigen an, eine neue Erfindung gemacht zu haben, daß bei allen Gattungen Kaleßwägen die",,,,,
