PrivRegNr,Name1,Vorname1,Name2,,Vorname2,Name3,Vorname3,Titel Schlagworte,,,Ort,Jahr,Einreichdatum
"",,,,,,,,"Beweglicher Mechanismus, den man in der Rad-Nabe, statt den allgemein angewandten Büchsen",,,,,
"",,Jakob Franz,,,,,,,,,,,
2142,Hemberger,,,,,,,"anbringt, und dessen Wirkung ist, das Ziehen der zwei- und mehrrädrigen Kutschen, Wägen, Schmierbüchse, Wälzlager",,Wien,,1835,28.10.1835
"",,Heinrich,,,,,,,,,,,
"",,,,,,,,Karren und Fuhrwerk aller Art zu vermindern,,,,,
2143,Hohenblum,Joseph R.v.,,,,,,Beschreibung der ersten Eilcorrespondenz Bahn mittelst stabiler Kräfte Rohrpost,,Wien,,1835,06.11.1835
"",,,,,,,,"Beschreibung der neu erfundenen Vorrichtung und Druck-Methode auf Tabakspfeife, Beschlag, Silberwaren,",,,,,
2144,Mathe,Franz,,,,,,,,Wien,,1836,23.03.1836
"",,,,,,,,"Silbertobackpfeifenbeschläge, auch andere Verzierungen, und Bestandtheile auf Metalle Metallwaren, Presse, Dessin",,,,,
"",,,,,,,,Versiegelte Beschreibung und Zeichnung ... auf die ... Verbesserung der Streckziegeln zur,,,,,
2145,Ris,Anton,,,,,,"Fensterglas, Streckofen",,Wien,,1836,20.04.1836
"",,,,,,,,Verfertigung der Fenstertafeln ...,,,,,
2146,Mauss,Johann Baptist,Meill,Franz,,,,"Beschreibung der in Verfertigung mechanischer Wägen gemachten Erfindung Wagen, Getriebe",,Wien,,1836,11.02.1836
