PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Die ... Mischung flüssiger Substanzen, um daraus in ... tragbaren Lampen ... Gaslicht zu erzeugen,",,,,,
4551,Dittmar,Gebrueder,,,,,,"Lampe, Vergaser",Wien,,1843,06.12.1843
"",,,,,,,...,,,,,
4552,Horn,Wilhelm,,,,,Beschreibung der feuerfesten Malerey für Oefen von Eisen und Gebranntem Thon,"Ofen, Malerei/Feuerfeste",Prag,,1844,18.12.1844
"",,,,,,,,"Lokomotive, Dampfmaschine,",,,,
4553,Ruef,Jakob,,,,,Beschreibung ... auf die Erfindung eines Kohlenoxid-Verbrennungs-Apparates ...,"Kohlenoxyd, Luftvorwärmer, Gebläse,",Wien,,1845,29.01.1845
"",,,,,,,,"Feuerung, Rauchverzehrung",,,,
4554,Till,Joseph,,,,,... Zeichnung und genaue Beschreibung einer verbesserten Getreide-Körner-Abhülsungs Maschine,Getreideschälmaschine,Deutschjaßnik,,1845,18.02.1845
"",,,Werdmueller -,,,,,,,,,
4555,Mueller,Wolfgang,,Ph. Otto v.,,,Beschreibung der Erfindung einer neuen Buchdruckmaschine,Schnelldruckpresse,Pitten,,1844,26.12.1844
"",,,Elg,,,,,,,,,
4556,Schweizer,Karl,,,,,Beschreibung der ... Verbesserung in der Construction von Stubenöfen ... und Kochherden,"Ofen, Kochherd",Wien,,1844,19.12.1844
"",,,,,,,Beschreibung der ... Erfindung ...: daß derselbe mittelst Anwendung dieser aus chemischen,,,,,
4557,Loewy,Lazar,,,,,Substanzen bestehenden Erfindung alle Rohstoffe aus Linnen- und Baumwollgarn von den erdigen,"Leinwand, Baumwollstoff, Appretur",Prag,,1846,10.02.1846
"",,,,,,,u. harzigen Theilchen ... gänzlich befreit ...,,,,,
4558,Narbeshuber,Franz,,,,,Plan zur Herstellung einer Kolbenmahlmühle,Mühle,Pettenbach,,1847,11.02.1847
4559,Schampach,Ignaz,,,,,Beschreibung einer Verbeserung in der Baumwollzwirnfabrikation,"Zwirn, Borte, Hut",Wien,,1847,20.02.1847
4560,Pollak,A.M.,,,,,Beschreibung des ... neu erfundenen künstlichen Roßhaar,"Reisstroh, Roßhaarersatz, Matratze",Wien,,1847,15.06.1847
"",,,,,,,"Beschreibung der ... Entdeckung und Verbesserung, welche ... in einer eigenthümlichen Zurichtung",,,,,
"",,Jakob Franz,,,,,,,,,,
4561,Hemberger,,,,,,"des Zeuges aus Reisstroh und in der Verfertigung hieraus von Papier und Pappendeckel aller Art,","Reisstrohpapier, Pappe",Wien,,1846,20.03.1846
"",,Heinrich,,,,,,,,,,
"",,,,,,,bestehet,,,,,
"",,,,,,,"Beschreibung eines neuen Verfahrens um organische Substanzen (als Exkremente, Urin,","Exkremente, Urin, Schlammwasser,",,,,
4562,Orth,Louis v.,,,,,,,Wien,,1847,01.04.1847
"",,,,,,,"Schlammwasser etc.) zu desinficiren, und geruchlosen Dünger daraus darzustellen","Geruchlosmachen, Düngergewinnung",,,,
"",,,,,,,"Beschreibung der ... erfundenen neuen Metallegierung, aus welcher sich Typen ... gießen; alle",,,,,
4563,Zeller,Georg,,,,,,"Legierung, Letternmetall, Klischee",Wien,,1847,13.04.1847
"",,,,,,,"Arten von Verzierungen, Vignetten und der gleichen ebenso klatschen lassen ...",,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, den Gold- und Silberdraht so wie jeden andern Metalldraht",,,,,
4564,Laun,Michael,,,,,,"Golddraht, Silberdraht, Drahtziehen",Wien,,1838,10.04.1838
"",,,,,,,"schöner, feiner und gleichförmiger mit außerordentlicher Zeitersparniß zu ziehen",,,,,
4565,Hofmann,,Maderspach,,,,"Beschreibung des ... Privilegiums auf verbeserte eiserne Hängebrücken, ...","Brücke, Stahlbau, Träger, Fachwerk",Rußkberg,,1838,07.03.1838
4566,Baum,Ludwig,,,,,"Beschreibung der ... Erfindung und Verbesserung, ..., daß er die Elastischen Sattels ... verfertiget, ...",Sattel,Wien,,1845,17.03.1845
4567,List,Anton,,,,,Beschreibung der Vorrichtung zum Stimmen der Klaviere,"Klavier, Stimmen",Wien,,1847,15.04.1847
4568,Jahn,Christoph,,,,,Genaue Beschreibung des neu erfundenen und verbesserten Fortepiano ...,Klavier,Wien,,1846,30.03.1846
4569,Bayer,Anton,,,,,"Beschreibung der ... neuen Erfindung von Frictionszündhölzchen ohne Chlor, Kaly und Schwefel ...","Zündholz, Reibzündmasse",Wien,,1839,12.02.1839
"",,,,,,,Beschreibung der ... neuen Entdeckung und Erfindung einer errichteten neuen eisernen,,,,,
4570,Pammer,Georg,,,,,,"Golddruck, Druckmaschine",Wien,,1840,28.01.1840
"",,,,,,,Druckmaschine,,,,,
4571,Pollak,Moriz,,,,,"Beschreibung der ... neuen Entdeckung: der Tüchelschnelldruckerey, ...","Zeugdruck, Schnelldruckpresse",Prag,,1841,04.04.1841
4572,Bihls,Franz,,,,,Beschreibung der Erfindung von mit Dessains gepreßten Metalschalen ... auf die Messer ...,"Messerheft, Eßbesteckheft",Wien,,1842,21.03.1842
"",,,,,,,"Beschreibung der Entdeckung außer der Eiche, aus allen in den k.k.öst. Staaten im Freyen will",,Wittingau u.,,,
4573,Lanna,Adalbert,Rietsch,Franz Gottfried,,,,"Gerberlohe, Färben, Extrakt",,,1843,28.02.1843
"",,,,,,,wachsenden Bäumen und Sträuchern einen festen Extrakt für Gärber und färber darzustellen,,Budweis,,,
"",,Girolamo Giacomo,,,,,,,,,,
4574,Filippi,,,,,,Nuovo metodo per fabbricar Candele di Sego ... [Unschlittkerzen],"Unschlitt, Kerze",Milano,,1842,30.12.1842
"",,de,,,,,,,,,,
4575,Fernand,Wilhelm,Habich,Hermann,,,Beschreibung der Verzinnung von gußeisernen Kochgeschirren,"Gußeisen, Kochgeschirr, Verzinnen",Wien,,1845,12.02.1845
"",,,,,,,"Descrizione dell'invenzione che i Fratelli Barigozzi dichiarano d'aver fatta, e che consiste nel",,,,,
4576,Barigozzi,Prospero,,,,,,"Glocke, Gießerei, Läutwerk",Lodi,,1846,26.02.1846
"",,,,,,,fondere campane senza maniglio ... [Glockenguß und Läutwerk],,,,,
"",,,,,,,Beschreibung der Erfindung und Verbesserung an den bisher bestehenden von uns erfundenen,,,,,
4577,Pruetzmann,Daniel,Pruetzmann,Wilhelm,,,"und uns patentirt gewordenen Stahlrahmen mit Sofflet ... als Etuis, Geldtäschchen, Portefeuls,","Brieftasche, Etui, Stahlrahmen",Wien,,1846,18.03.1846
"",,,,,,,"Brieftäschchen, Notizbücher u.s.w.",,,,,
