PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"zur Erzeugung der Papiertapeten. 2. An dieser Maschine eine Vorrichtung, wodurch das","Papier, Tapete, Druckmaschine,",,,,
1765,Rahn,Heinrich,Spoerlin,Michael,,,,,Wien,,1829,22.07.1829
"",,,,,,,Einfeuchten und faltenlose Durchgehen der Papierrollen bezweckt wird. 3. Ein neues,"Einfeuchtmaschine, Verdickungsmittel",,,,
"",,,,,,,Verdickungsmittel der Farben,,,,,
"",,,,,,,"Beschreibung der neuen Erfindung - ... 1. ... die neuen Meerschaumenen, so genannten",,,,,
1766,Stukart,Bernard,,,,,"Ungarischen Rakoczy Tobacks-Pfeifen ... vergrößern zu können, ... 2. eine neue Verbesserung im",Tabakspfeife,Wien,,1829,31.07.1829
"",,,,,,,"Einlassen, und Wachs-Aussieden aller Gattungen ... Meer-Schaum-Pfeifen-Köpfe, ...",,,,,
"",,,,,,,Beschreibung der ... Erfindung und Verbesserung an Schießgewehren ...: 1. Erfindung eines,"Gewehrschloß, Pistolenschloß,",,,,
1767,Missilieur,Johann,,,,,,,Wien,,1829,14.07.1829
"",,,,,,,"chemischen Schlosses für Flinten und Pistolen, ... 2. Verbesserung der Armbrüste, ...",Armbrust,,,,
"",,,,,,,Beschreibung der Verbesserung der Rad oder Hemmschuhe und der damit verbundenen,,,,,
1768,Winter,Joseph,,,,,,"Wagen, Bremse, Radschuh, Notbremse",Wien,,1829,24.08.1829
"",,,,,,,Vorrichtung,,,,,
