PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,Ort,Jahr,Einreichdatum
3981,Nuss,Anton,Petzelt,Joseph,,,Beschreibung eines neuen Planimeters entworfen von Joseph Petzelt ausgeführt von Anton Nuß,Planimeter,,Budapest,1844,18.10.1844
3982,Elbogen,Heinrich,,,,,Beschreibung der ... Erfindung ...: Gillet-Cravatten zu erzeugen ...,"Chemisette, Krawatte",,Wien,1845,27.02.1845
"",,,,,,,"Beschreibung der Verarbeitungs Methode der Abfälle der rohen Seide, wornach 4 Seiden-","Seidenabfälle, Seide, Färben/Seide,",,,,
3983,Hanauer,Dorothea,,,,,,,,Wien,1839,04.02.1839
"",,,,,,,"Gattungen erzeugt werden, und der Flammierungs Methode bei der Färbung derselben",Flammierung,,,,
"",,,,,,,Zeichnung und Erklärung der Erfindung einer Holzschneidemaschine zur Verfertigung von,,,,,
3984,Rascher,Friedrich,,,,,,"Leisten, Gewehrschaft, Drechselbank",,Wien,1840,30.12.1840
"",,,,,,,Schuleisten und Gewehrschäften und der mannigfaltigsten Gegenstände ...,,,,,
3985,Dixon,Abraham,,,,,Beschreibung eines vervollkommneten Gas-Messungs-Apparates,Gasmesser,,Wien,1841,04.01.1841
"",,,,,,,Beschreibung der ... Erfindung und Verbesserung ...: Eine Maschine erfunden und verbessert zu,,,,,
3986,Davy,Henry Savill,,,,,"haben, um Strassen und Wege zu reinigen, auszubessern und zu andern ähnlichen Zwecken","Straßenreinigung, Abziehmaschine",,Wien,1841,12.01.1841
"",,,,,,,anzuwenden,,,,,
3987,Schur,Ferdinand,,,,,Beschreibung des ... neuen Essigbildungsapparat ...,"Essig, Gärapparat",,Wien,1841,
3988,Pollak,Abraham,,,,,Beschreibung und Manipulation der Stiefelwichse ...,Wichse,,Prag,1843,06.01.1843
"",,,,,,,"... Beschreibung meiner Erfindung verschiedener neuen ... Seifen aus den verschiedenen Oelen,",,,,,
3989,Hirschfeld,Wilhelm Karl,,,,,"Oelsatz auf kaltem Wege, Talg in erwärmtem Zustande, aus Zellgeweben, Thieren insbesondere","Unschlitt, Seife",,Wien,1843,09.09.1843
"",,,,,,,"Fischen, Eingeweiden, Fleich, Bein, Sardellenthran, Fichtenharz, Weinbierkernöl ...",,,,,
3990,Knaus,Franz,,,,,Beschreibung der ... Erfindung: die Erzeugung von Crepin ...,"Krepp, Bandstuhl, Jacquardmaschine",,Wien,1843,15.12.1843
"",,,,,,,"Beschreibung der Entdeckung, die Seide hoch blau, unter der Benennung ""Bleu de Francze"" zu",,,,,
3991,Salzer,Karl,,,,,,"Seide, Färben/Seide, Blau",,Wien,1844,20.01.1844
"",,,,,,,"färben, ...",,,,,
"",,,,,,,"Beschreibung meines Verfahrens, aus einem bis jetzt noch nicht hirzu verwendeten Stoffe",,,,,
3992,Buigne,Friedrich de,,,,,,"Kartoffel, Wichse",,Wien,1844,15.01.1844
"",,,,,,,Glanzwichse zu erzeugen,,,,,
"",,,,,,,Beschreibung der ... Verbesserung ...: Lackierer und Anstreicher-Arbeiten ohne Oehlfirniß ...,,,,,
3993,Bergamenter,Friedrich,,,,,,"Anstrich, Lack",,Wien,1844,31.01.1844
"",,,,,,,"herzustellen, ...",,,,,
"",,,,,,,Descrizione della nuova scoperta che ... consiste in sostanza nella scoperta di un carbone artificiali,,,,,
3994,Rosoglio,Cesare,,,,,,Brikett,,Milano,1844,22.01.1844
"",,,,,,,e composto ... [Kunstkohle],,,,,
"",,,,,,,Beschreibung der Erfindung mit Dampf- und rechten Farben auf Lithographischen Steinpressen,,,,,
3995,Berger,Moritz Edl.v.,,,,,,"Zeugdruck, Lithographie",,Wien,1844,30.11.1844
"",,,,,,,alle Gattungen gewirkte Stoffe zu drukken,,,,,
"",,,,,,,,"Brennholz, Holzzerkleinerung,",,,,
3996,Boehm,Jakob,Wuerger,Johann,,,Beschreibung der Verbesserung einer Brennholzverkleinerungsmaschine,,,Wien,1844,24.12.1844
"",,,,,,,,Kreissäge,,,,
3997,Schubert,Franz,,,,,Beschreibung der verbesserten Maschinen Fustriete ...,Trittbrett,,Wien,1845,24.07.1845
3998,Fuerg,Joseph,,,,,Neu erfundene Damenschniermieder,Mieder,,Linz,1841,20.03.1841
"",,,,,,,"Beschreibung und Zeichnung einer Maschine für Apreteure, Kattun- und andere Fabriken, ..., um",,,,,
3999,Winter,Joseph,,,,,,"Stoff, Legemaschine",,Wien,1841,15.02.1841
"",,,,,,,damit alle Gattungen gewebte Stoffe ... zu falten ...,,,,,
"",,,,,,,"Beschreibung und Zeichnungen ... einer Maschine, durch welche das Spannen und Trocknen des",,,,,
4000,Winter,Joseph,,,,,,"Tuch, Spannrahmen, Trockenapparat",,Linz,1841,15.02.1841
"",,,,,,,"Tuches ... bewirkt werden kann, ...",,,,,
"",,,,,,,Beschreibung sammt Zeichnung der ... Erfindung eines sogenannten Kerzen-Schoners mit,,,,,
4001,Schelivsky,Vinzenz,,,,,,"Kerzenschoner, Lichtschirm",,Wien,1841,06.04.1841
"",,,,,,,"Lichtschirm-Aufsatz, ...",,,,,
4002,Kornandt,Franz,,,,,"Beschreibung der ... Verbesserung der Kaffeemühlen, ...",Kaffeemühle,,Wien,1845,28.03.1845
"",Berchtold-,,,,,,,,,,,
4003,,Karl Graf v.,,,,,Beschreibung der Eisenbahn mit comprimirter Luft,"Druckluftbahn, Luftballon",,Wien,1844,20.05.1844
"",Ungerschuetz,,,,,,,,,,,
"",,,,,,,"Beschreibung der ... Entdeckung und Verbesserung, ..., mittelst Wasser oder mittelst Dampf in",,,,,
4004,Crouy,Heinrich Graf v.,,,,,,"Pumpe, Drehkolben",,Wien,1843,09.06.1843
"",,,,,,,"Trieb zu setzenden rotirenden Pumpen, mit fortwährender kreisförmiger Bewegung",,,,,
4005,Marin,Adolph,,,,,Beschreibung einer Ziegelmaschine,Ziegelmaschine,,Czernowitz,1840,05.08.1840
4006,Mueller,Alois,,,,,"Beschreibung der ... neu erfundenen Gold-, Silber-, Bronze- und Stahl-Knöpfe",Knopf,,Wien,1838,19.03.1838
"",,,,,,,Erklärung der Zeichnung des Apparats zum Einsaugen und Verpressen der aus den Hochöfen,,,Gußwerk,,
4007,Baumgaertel,Lorenz,,,,,,"Hochofen, Gichtgas, Gebläse",,,1840,12.12.1840
"",,,,,,,entweichenden brenbaren Gasse,,,Brückl/Kärnten,,
"",,,,,,,,"Nähnadel, Bohrmaschine, Stanze,",,,,
4008,Neuss,Hermann Joseph,,,,,Beschreibung der Nähnadel Maschinen ...,,,Aachen,1840,03.11.1840
"",,,,,,,,Drillbohrer,,,,
4009,Scheffer,Karl Adam Gottlieb,,,,,Beschreibung der construirten Maschinerie des Dampfwagencaroussells ...,"Karussell, Getriebe",,Prag,1840,10.12.1840
"",,,,,,,Beschreibung der ... Erfindung aus jeder Gattung Torf ohne Presse ... durch einen Zusatz anderer,,,,,
4010,Swozil,Emanuel,,,,,"aller Orten vorkommender Bestandtheile, und durch eine einfache, gleichmäßige Zersetzung der",Torfkohle,,Bielitz,1841,31.12.1841
"",,,,,,,"in jeder Torfart enthaltenen harzigen Stoffe ein Steinkohlen-Surogat zu erzeugen, ...",,,,,
