PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,Beschreibung der ... erfundenen inländischen künstlichen Asphaltmasse ... durch bloßes,,,,,
4637,Eder,Leopold jun.,,,,,,"Kohlenklein, Pech, Asphalt",Krems,,1843,27.03.1843
"",,,,,,,Zusammenschmelzen ... von Steinkohlengries ... gemeinen Pech ... und wenig Fett,,,,,
"",,,,,,,Beschreibung samt Zeichnung der vom Handelshaus Götze & Co. aus Chemnitz in Sachsen,,,,,
4638,Goetze,,,,,,,"Streichgarn, Spinnmaschine",Chemnitz,,1843,31.01.1843
"",,,,,,,"gemachten Verbesserung der Cilinder ""Spinn Maschine"" für Streichgarn ...",,,,,
4639,Barth,Jakob,,,,,Beschreibung der ... Verbesserungen der Tischlerwerkzeuge,"Hobelbank, Zwinge",Krems,,1844,11.04.1844
"",,,,,,,"Beschreibung der Erfindung, ..., mittelst eines eigenthümlichen Mechanismus und eines",,,,,
4640,Jaeger,Eduard,,,,,,"Gewehr, Schießpulver",Wien,,1844,03.04.1844
"",,,,,,,besondern Schießpulvers bei Schießgewehren jeder Art die Entzündung des Schusses ... zu wirken,,,,,
"",,,,,,,"Beschreibung der Erfindung: flach, glatt, scharf und tief gepreßte Buchstaben von allen Metallen","Metallbuchstabe, Pressen, Dessin,",,,,
4641,Goldstein,David,Wappenstein,Rudolph,,,,,Wien,,1845,03.05.1845
"",,,,,,,und Kompositionen mit Dessins zu pressen und zu emailliren,Emaillieren,,,,
4642,Mader,Anton,,,,,"Beschreibung zur Entdeckung eines Haarwuchswassers, ...",Haarwuchsmittel,Wien,,1845,10.02.1845
"",,,,,,,"Beschreibung ...: von deren neuen Verbesserungs-Erfindung, ..., daß der ... Grauschifer nicht nur zu",,,,,
4643,Altlechner,Laurenz,,,,,"Dachdeckungen verwendbar ..., sondern daß derselbe Stein auch zu verschiedenen anderen","Schiefer, Dach",Wien,,1845,04.06.1845
"",,,,,,,Baugegenständen ... verwendbar hergestellt werden wird,,,,,
4644,Vettermann,Anton,,,,,Beschreibung zu der privilegirten Billardkonstruktion ...,Billard,Prag,,1845,28.05.1845
4645,Reithoffer,Johann Nepomuk,,,,,"Beschreibung zu den einjährigen Privilegium ... auf die Erfindung eines Webestuhles, ...",Webstuhl,Wien,,1845,28.04.1845
"",,,,,,,Beschreibung und Zeichnungen der Verbesserungen in der Fabrikation der schmiedeisernen,,,,,
4646,Dobbs,Wilhelm Samuel,,,,,,"Rohrziehbank, Glühofen",Brünn,,1840,08.04.1840
"",,,,,,,"Gasröhren und Anwendung der Gasöfen, ...",,,,,
4647,Zsigmondy,Adolph,,,,,Beschreibung der ... Erfindung ...: Die Gutta Percha ... zu verarbeiten ...,"Guttapercha, Werkstoff",Wien,,1847,22.05.1847
"",,,,,,,"Beschreibung eines neuen Verfahrens, alle Arten von Schiffen ohne Kosten zu verballlasten, den",,,,,
4648,Roediger,Friedrich,,,,,Ballast nach Willkühr und sehr schnell auszuwerfen und den untersten Schiffsraum von allen der,"Schiff, Ballast, Pumpe",Wien,,1847,16.02.1847
"",,,,,,,Gesundheit nachtheiligen Unreinigkeiten zu reinigen,,,,,
