PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,,Ort,Jahr,Einreichdatum
"",,,,,,,"von selbst zurück oder vorwärts schraubt, ohne daß man nöthig hat es zu spitzen, ...",,,,,
"",,,,,,,"Descrizione di una Macchina ad acqua, che serve a forare tubi di pietra viva [Bohrmaschine zur Steinbohrmaschine,",,,,,
1258,Cattarossi,Ignazio,,,,,,,Udine,,1821,24.10.1821
"",,,,,,,Erzeugung von Steinrohren] Wasserleitungsrohr,,,,,
"",,,,,,,Beschreibung der ... Verbesserung ihres extra fein raffinirten Cichorienkaffee und extrafein,,,,,
1259,Ungermann,Johann,Ungermann,Franz,,,Kaffee,,Prag,,1828,05.02.1828
"",,,,,,,"rafinirten Zuckercichorienkafeh, ...",,,,,
"",,,,,,,"Descrizione dell'Invenzione che ... consiste in un imbiancamento mediante liquido, il quale",,,,,
"",,,,,,,"Feuchtigkeitsschutz,",,,,,
1260,Bosiz,Felice,,,,,"impedisce la sortita dell'umido dai muri, dalle barche ... [Anstrich gegen Feuchtigkeit für Mauern",,Milano,,1832,17.04.1832
"",,,,,,,"Oberflächenschutz, Mauer, Schiff",,,,,
"",,,,,,,und Schiffe],,,,,
"",,,,,,,"Descrizione della Scoperta, che ... di una nuova Sostanza, da cui si estrae una assai copiosa",,,,,
1261,Amati,Giacionto,Forni,Girolamo,,,Karbidlicht,,Milano,,1829,05.08.1829
"",,,,,,,"quantità di carburod'idrogene, per illuminazione a gas, ... [Gas vom Karbid zur Beleuchtung]",,,,,
"",,,,,,,Erklärung und Bestimmung der ... Verbesserungen an Mule-Vor- und feinspinn-Maschinen zu,,,,,
1262,Brevillier,Karl Wilhelm v.,Zillig,Jakob,,,"Spinnmaschine, Baumwolle",,Wien,,1827,28.07.1827
"",,,,,,,Baumwolle,,,,,
