PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,Ort,Jahr,Einreichdatum
2489,Frenkel,Ignaz,,,,,Genaue Beschreibung der ... Verbesserung der englischen Wagenschmiere Schmiermittel,,Wien,1828,09.06.1828
"",,,,,,,"... zeiget ...an, daß er eine neue Erfindung gemacht, ... I. Alle Gattungen künstliche Blumen aus",,,,
2490,Kastner,Joseph,,,,,"Patist Seide und andern hiezu anwendbaren Stoffen ... zu verfertigen, ... Miniaturblumen ... auf Seidenbatist, Kunstblume, Galanterie",,Wien,1826,04.04.1826
"",,,,,,,"Visitkarten u. Billets ... Pouquets u. Girlands, ... Gallantrie Waaren zu erzeugen ...",,,,
2491,Zanna,Pietro,,,,,"Beschreibung der erfundenen Ofenheitzung ... Zentralheizung, Feuerung",,Wien,1826,04.04.1826
"",,,,,,,Beschreibung der Manipulazionen meiner englischen gepreßten Beinknöpfe verschiedener,,Absam,,
2492,Hueber,Franz Anton,,,,,"Hornbearbeitung, Knopf, Presse",,,1828,22.03.1828
"",,,,,,,"Gattungen, ...",,b.Hall/Tirol,,
"",,,,,,,"Nuovo metodo economico di tendere le Viti. Vantaggi che ne derivano di Carlo Raja, Parroco di",,,,
2493,Raja,Carlo,,,,,"Weinbau, Drahtrahmenkultur",,Milano,1823,
"",,,,,,,Busta Garolfo. Con due Tav. in Rame.,,,,
