PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,,Ort,Jahr,Einreichdatum
"",,,,,,,Beschreibung eines Apparates zur gänzlichen Beseitigung des Auswerfens von Funken oder,,,,,,
"",,,,,,,"Lokomotive, Funkenfänger,",,,,,,
4399,Klein,Lazar,,,,,glühenden Kohlen aus den Rauchfängen der Dampfwägen dann: eine einfache Vorrichtung zur,,,Wien,,1841,08.07.1841
"",,,,,,,Zugregulator,,,,,,
"",,,,,,,"Vermehrung des Luftzuges bei jenen Dampfwagen, die mit Funkenapparaten versehen sind ...",,,,,,
"",,,,,,,"Werkzeugstahl, Plattieren, Hobeleisen,",,,,,,
4400,Gleischner,Georg,Wertheim,Franz,,,Beschreibung der Verbesserung in Erzeugung der Hobeleisen und Stemmzeuge,,,Krems,,1842,01.09.1842
"",,,,,,,Stemmeisen,,,,,,
"",,,,,,,"Descrizione della nuova scoperta che ... consiste in sostanza nel tessere sol cotone, fibre d'Aloe ...",,,,,,
4401,Rogard,Carlo,,,,,"Aloe, Kattun",,,Venezia,,1841,26.06.1841
"",,,,,,,[Kattunweberei mit Aloefasern],,,,,,
"",,,,,,,Beschreibung rücksichtlich des von dem ... Unterzeichneten auf die Verbesserung aller bisher,,,,,,
4402,Hauswirth,Alois,,,,,Siegelmarke,,,Wien,,1844,12.08.1844
"",,,,,,,bekannten Gattungen Papier-Oblatten auf die Dauer von zwey Jahren angesuchten Privilegiums,,,,,,
