PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,Beschreibung der Erfindung und resp. Verbesserung des wohlrichenden Siegel-und Damenlacks,,,,,
2438,Loewy,Benjamin,Loewy,Moses,,,,"Siegllack, Nagellack",Wien,,1835,25.08.1835
"",,,,,,,neuer Art,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, ...: Alle Gattungen gewebter Waren mittelst eines wasserdicht","Imprägnierung/Stoff, Wasserdichter",,,,
2439,Herrnfeld,David,,,,,,,Wien,,1835,05.09.1835
"",,,,,,,"machenden Stoffes zu traktieren, ...",Stoff,,,,
"",,,,,,,"Beschreibung eines neu erfundenen, sehr vortheilhaften und in seiner Anwendung sehr",,,,,
2440,Schubarth,Leonhard,,,,,,Wagen,Wien,,1838,10.08.1838
"",,,,,,,zweckmässigen Wagens,,,,,
2441,Beinhauer,O,Beinhauer,R,,,Beschreibung von Beinhauer's neu erfundener & verbesserter Stahl Schreibfeder,Schreibfeder,Wien,,1838,27.06.1838
"",,,,,,,"Beschreibung der ... Verbesserung, ..., daß er: durch eine chemische & mechanische Behandlung",,,,,
"",,,,,,,"den Gerbeprozeß sehr vortheilhaft beginne und befördere, dadurch weiches und geschmeidiges",,,,,
2442,Jauernig,Jakob,,,,,,"Oberleder, Gerberei",Wien,,1838,17.06.1838
"",,,,,,,"Ueberleder erzeugen, und bey festeren Ledergattungen durch eine Neutralisierung in",,,,,
"",,,,,,,vorgerückten Gerbeprozeß die Elastizität am Leder weniger oder mehr hervorbringen kann,,,,,
"",Roulet du,,,,,,"Beschreibung der ... Erfindung, ..., daß durch eine Maschine die Kinder, welche in Druckfabriken",,,,,
2443,,Friedrich,,,,,,"Zeugdruck, Farbenbürste",Wien,,1838,26.02.1838
"",Pasquier,,,,,,"zum Streichen der Farben auf den Sieben verwendet werden, ganz entbehrt werden",,,,,
2444,Vegiato,Joseph,,,,,"Beschreibung einer neuen Gattung Zündmaschine, ...",Feuerzeug,Wien,,1839,26.08.1839
2445,Jahn,Christoph Lorenz,,,,,Angebung eines neu verbesserten Quer-Fortepiano,Klavier,Wien,,1837,05.04.1837
"",,,,,,,"... zeigt ... an, eine Erfindung und Verbesserung gemacht zu haben, ..., das er aus allen Gattungen",,,,,
2446,Kaiser,Friedrich Wilhelm,,,,,"Holz und Metalle, in allen beliebigen Formen auf Harmonien, mit dem Mund zu blasen",Mundharmonika,Wien,,1837,17.05.1837
"",,,,,,,"anwendbar: verschiedene Figuren und Mechanische Gegenstände verwendet, ...",,,,,
"",,,,,,,"Nouveau Système d'Evaporation par Sain chand, dit Système de Phoenix ... [Apparat zur Zerteilung",,,,,
2447,Badoux,Pierre Josephe,,,,,,"Verdampfapparat, Gradierapparat",Wien,,1834,31.10.1834
"",,,,,,,der abzudampfenden Flüssigkeiten],,,,,
"",,,,,,,Beschreibung des Schnellgradirungsapparates zur schnellen Verdunstung von Flüssigkeiten bey,,,,,
2448,Weinrich,Karl,,,,,,"Gradierapparat, Verdampfapparat",Prag,,1835,06.05.1835
"",,,,,,,niedriger Temperatur,,,,,
"",,,,,,,"... Beschreibung nebst zwey Zeichnungen, einen Kühlapparat des Tabakrauches zu verfertigen,",,,,,
2449,Keiner,Franz,,,,,,"Tabakspfeife, Rauchkühlung",Wien,,1836,11.02.1836
"",,,,,,,"mittelst welchen der Rauch unmittelbar durchs Wasser gehen muß, ...",,,,,
2450,Felbinger,Joseph,,,,,Beschreibung und Verbesserung der [Bier]Kühle,"Bier, Kühlapparat",Helenenthal,,1836,13.12.1836
2451,Perpigna,Anton,,,,,Pläne der Maschine zur Erzeugung der Pyrogen-Zündfäden,"Pyrogen, Docht, Zündschnur",Wien,,1833,25.05.1833
2452,Goetzelmann,Gottfried,,,,,"Beschreibung der ... Verbesserung von Kaluschen /Uiberschuhen mit Holzsohlen, ...","Galosche, Schuhsohle",Wien,,1837,30.07.1837
2453,Eyme,August,Barthe,Anton,,,Beschreibung der Zeichnung der verbesserten Zuschneidmaschine der Herrn Eyme & Barthe,Schalausschneidemaschine,Wien,,1837,13.04.1837
2454,Allgaeuer,Joseph,,,,,[Beschreibung der Kapseln in der Mechanik der Fortepiano],Klaviermechanik,Wien,,1836,22.03.1836
2455,Kobau,Joseph,,,,,Beschreibung zur ... Zeichnung [der Siegelpresse],"Siegel, Presse",Wien,,1832,24.08.1832
2456,Wagner,Anton,,,,,Beschreibung der neu erfundenen mechanischen WeinEinschlagMaschine,"Weineinschlag, Tropfenfänger",Wien,,1832,16.11.1832
2457,Mandl,Mendl,,,,,Beschreibung der ... Verbeßerung der Zubereitung der Talglichter und Waschseife,"Unschlitt, Kerze, Seife",Wien,,1826,23.05.1826
2458,Pfandler,Franz,Pfandler,Joseph,,,Beschreibung der neu verbesserte Werkzeuge auf Kanal- u. Senkgruben Räumung,"Kanal, Senkgrube",Wien,,1831,22.07.1831
"",,,,,,,Beschreibung der Verbesserung in Verfertigung aller Gattungen Schuhmacherarbeiten: daß,,,,,
2459,Franz,Anton,Goldmann,Mathias,,,,"Schuh, Stiefel, Schweißleder",Wien,,1829,25.05.1829
"",,,,,,,inwendig der Vorfuß mit einem Schweißleder versehen wird,,,,,
"",,,,,,,Descrizione della nuova scoperta che ... consiste in sostanza in una modificazione delle macchine a,,,,,
2460,Minotto,Giovanni,,,,,,Dampfmaschine,Venezia,,1838,25.04.1838
"",,,,,,,vapore ... [Dampfmaschine],,,,,
"",,,,,,,"Beschreibung eines aus verschiedenen Gummi und fixen Oehlstoffen bereiteten Firnißen ""Tupf-",,,,,
