PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
2758,Bracegirdle,Thomas,,,,,Die Beschreibung des verbesserten Webstuhls und der Schlichtmaschine ...,"Webstuhl, Appreturmaschine",Prag,,1839,04.05.1839
"",,,,,,,"Beschreibung der ... Verbesserung, ..., daß bei der verbesserten Zündhölzchenfabrikazion die",,,,,
2759,Ehrlich,Rosa,,,,,,Zündholz,Karolinenthal,,1836,23.03.1836
"",,,,,,,"Zündhölzel anstatt der runden Form vierckig hergestellt werden, ...",,,,,
"",,Claude Marie,,,,,Demande d'un privilège pour un système nouveau et complet du tirage des cocons et du,"Seidenkokon, Seidenhaspel,",,,,
2761,Lafabreque,,,,,,,,Paris,,1837,22.05.1837
"",,Davide,,,,,"moulinage des Soies, à un on plusieurs touts, et en tonse sorse d'apprets [Text frz.]",Spinnmaschine,,,,
"",,,,,,,"Demade d'un brevet d'invention de Quinzeans de durée, pour procédés nouveaux de parés,","Asphalt, Feuchtigkeitsschutz,",,,,
2762,Welz,Joseph de,,,,,,,Paris,,1837,05.12.1837
"",,,,,,,"dallayes factices et enduits, ... [Text frz.]",Mauer/Isolierung,,,,
"",,,,,,,Beschreibung der neuerfundenen Luftstrom-Kamine für den ununterbrochenen Austritt des,,,,,
2763,Guggenberger,IG.M.,,,,,,Champion,Budapest,,1837,01.12.1837
"",,,,,,,Rauches ohne Zugluft in den Küchen und Heitzräumen,,,,,
"",,,,,,,Beschreibung der an den k.k. ausschließ. privilegirten verschiebbaren Stangenfedern von dem,,,,,
2764,Guggenberger,IG.M.,,,,,,Stahlfeder,Budapest,,1838,01.02.1838
"",,,,,,,Erfinder selbst angebrachten Verbesserungen,,,,,
"",,,,,,,"Beschreibung der ... verbesserten Haartouren, dann der Kleb- und Schnapperl-Touren genannt",,,,,
2765,Tommik,Joseph,,,,,,"Messingfeder, Perücke",Wien,,1840,16.05.1840
"",,,,,,,"Platten, nebst einer neu verbesserten Art Scheiteltouren",,,,,
"",,,,,,,"... zeigen ... an, eine neue Verbesserung gemacht zu haben, ..., die elastischen, steifen und",,,,,
2766,Albrecht,Alexander,Gruener,Karl,,,,"Armband, Schließe",Wien,,1840,18.07.1840
"",,,,,,,gegliederten Hand-Bracelet von edlen und unedlen Metallen ... zu verfertigen,,,,,
"",,,,,,,"Beschreibung der erfundenen Compositionsmassa, zur Erzeugung aller Gattungen von",,,,,
2767,Noetzl,Georg,Noetzl,Joseph,,,,"Bilderrahmen, Vergolden, Galanterie",Wien,,1839,20.07.1839
"",,,,,,,vergoldeten Bilderrahmen und sonstigen Galanterie-Gegenstände,,,,,
2768,Unger,Georg,,,,,"Beschreibung der Verbesserung: ""einen zweysitzigen Wagen in einen viersitzigen zu verwandeln.""",Wagen,Wien,,1840,12.09.1840
"",,,,,,,"Mein Verfahren beim Wasserdichtmachen, übertrifft alle übrigen mir bekannten, in folgenden 3","Gummiermaschine, Lösungsmittel,",,,,
2769,Krause,Friedrich,Schmitt,Jakob,,,Punkten: 1.) das Auflösen des Kautschuks. 2.) das Aufstreichen desselben auf den Stoff und 3.) das,"Imprägnierung/Stoff, Wasserdichter",Wien,,1839,21.09.1839
"",,,,,,,Trocknen des Stoffes im Winter,"Stoff, Luftdichter Stoff, Trockenapparat",,,,
"",,,,,,,"Beschreibung der ... Verbesserung, ..., daß er an den Sonn- u. Regenschirmen die Endtheile der",,,,,
2770,Hammer,Jakob,,,,,,"Sonnenschirm, Regenschirm",Wien,,1840,14.05.1840
"",,,,,,,"Gabeln aus Fischbein, Stahl, Messing ... verfertigt, ...",,,,,
"",,,,,,,Descrizione della nuova invenzione che ... sostanzialment consiste nell'esseguire qualunque sorta,,,,,
2771,Jappelli,Giuseppe,,,,,di distillazione od evaporazione col calore delle acque termali [Destillieren oder Verdunsten mit,"Destillieren, Verdampfen, Thermalbad",Venezia,,1825,10.06.1825
"",,,,,,,der Wärme der Thermalbäder],,,,,
"",,,,,,,Beschreibung der neuen Verbesserung der Windöfen zur Verkohlung der Thierischen Knochen um,,,,,
"",,,,,,,,"Knochenkohle, Salmiak,",,,,
2772,Herrmann,Franz Xaver,,,,,Kohlensäure /:Amonium:/ und andere daraus Erzeugbare Nebenproducte als Hirschhornsalz,,Wien,,1833,21.03.1833
"",,,,,,,,Ammoniumkarbonat,,,,
"",,,,,,,"Salmiac, etc. mit dem wenigsten Brennmateriale in größter Menge zu erzeugen",,,,,
2773,Delamotte,Elias,,,,,Meine neue Seife zum Walken der Tücher,Walkseife,Wien,,1834,01.04.1834
2774,Schmeer,August,,,,,Beschreibung der Brandweinbrennmaschine in ihren einzelnen Bestandtheilen,"Branntwein, Destillierapparat",Teschen,,1835,27.10.1835
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß sie das Geheimniß besitzen, Metallplatten so künstlich",,,,,
2775,Myers,Lewis,Newton,John,,,"zuzubereiten, daß sie für die Eingravierung der feinsten Schriftzüge und Bilder empfänglich","Schablone, Gravieren",Prag,,1835,06.07.1835
"",,,,,,,"werden, so wie auch der Kunst der durchgebrochenen Gravierung selbst ... [Text engl.]",,,,,
"",,,,,,,"Beschreibung der ... Erfindung ...: daß er vermittelst einer sehr bequemen Vorrichtung, in einem",,,,,
