PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
5321,Goldstein,Friederike,Nowotny,August,,,Beschreibung des erfundenen Photophore Syphons,"Kerze, Leuchter, Abtropfvorrichtung",Wien,,1847,19.11.1847
"",,,,,,,Specification eines neuen Verfahrens zu Entfernung des Bohrschlamms bey Bohrung von,"Tiefbohrung, Bohrapparat,",,,,
5322,Orth,Louis v.,,,,,,,Wien,,1848,09.06.1848
"",,,,,,,artesischen Brunnen,"Bohrschlamm, Förderung",,,,
"",Podstatsky -,,,,,,Beschreibung des verbeßerten Verfahrens bei der Bereitung der Zündmassa der,,,,,
5323,,Klaudius Frh.v.,,,,,,Reibzündmasse,Wien,,1848,09.03.1848
"",Tonsern,,,,,,Phosphorzündhölzchen,,,,,
5324,Lewy,Jakob,Lewy,Michael,,,Eine ganz neue Erfindung und Verbeßerung Entdeckung auf eine Stiefel Wichse ...,Wichse,Prag,,1849,23.11.1849
"",,,,,,,,,"Mühlau, Kreis",,,
5325,Gafenesch,Gebhard,,,,,Beschreibung des ... neu konstruirten Kunstkochofens ...,Kochherd,,,1849,19.10.1849
"",,,,,,,,,Schwaz,,,
"",,,,,,,Beschreibung der ... Erfindung: daß er die Kanten-Zurichtung der Schieferplatten ... mittelst,,Petersdorf/Mäh,,,
5326,Litsch,Wilhelm,,,,,,"Schiefer, Schneidemaschine",,,1845,07.10.1845
"",,,,,,,Maschinen in allen beliebigen Formen verrichtet,,ren,,,
5327,Bernasconi,Pietro,Biaxini,Bernardo,,,Descrizione della nuova invenzione ... di un nuovo ponte per attraversare fiumi. [Brücke],"Bogen, Träger, Brücke",Milano,,1845,15.07.1845
5328,Pollak,Johann,,,,,Beschreibung der ... Verbesserung der Fußbekleidungen,"Schuh, Stiefel, Filzeinlage",Teschen,,1844,10.06.1844
"",,,,,,,"Beschreibung der ... Erfindung ..., daß bei Schießgewehren ..., die bei der Mündung oder rückwärts",,,,,
5329,Jaeger,Eduard,,,,,"in das Geschoß eingebrachte Ladung im Innern desselben entzündet wird, ohne dabei Kapseln an-","Gewehrschloß, Patrone",Wien,,1846,20.10.1846
"",,,,,,,"oder aufzustecken, Zündkraut aufzuschütten, ...",,,,,
"",,,,,,,,"Galvanisieren, Vergolden, Versilbern,",,,,
"",,Heinrich Catharin,,,,,Beschreibung der Erfindung und Verbesserung ...: Aus verschiedenen Auflösungen mit Beihilfe der,,,,,
5330,Ruolz,,,,,,,"Platinüberzug, Verkupfern, Verzinken,",Wien,,1848,18.02.1848
"",,Camille,,,,,"Galvanischen Electrizität Metalle und deren Legierungen ... auszuscheiden, ...",,,,,
"",,,,,,,,"Verzinnen, Messingüberzug",,,,
"",,,,,,,,"Lokomotive, Dampfkessel, Wagenrad,",,,,
5331,Crampton,Thomas Russel,,,,,Thomas Russel Crampton's Verbesserungen in der Construction der Locomotive,,Wien,,1846,11.09.1846
"",,,,,,,,Kupplung,,,,
5332,Brett,Alfred,Little,George,,,Verbesserungen an elektrischen Telegraphen,Telegraph,Wien,,1847,29.10.1847
"",,,,,,,... Beschreibung einer neuen und nützlichen Verbesserung in der Kunst Eisenerz und Eisen in Stahl,"Eisen, Stahl, Hochofen, Puddelofen,","Hartford,",,,
5333,Marcy,Erastus E.,,,,,,,,,1843,
"",,,,,,,"zu verwandeln, ...","Luftvorwärmer, Gebläse","Conneticut, USA",,,
5334,Schultz,Michael,,,,,Beschreibung der neuerfundenen [Wagen]-Federn,"Wagen, Federung/Wagen",Wien,,1845,11.12.1845
"",,,,,,,"Beschreibung der ... Verbesserung in der Construction der Dampfmaschinen, sowie auch der","Dampfmaschine, Dampfkessel,",,,,
5335,Bodmer,Johann Georg,,,,,,,Wien,,1845,21.03.1845
"",,,,,,,"Feuerung der Dampfkessel, ...",Feuerung,,,,
"",,,,,,,"... Verbesserungen in Locomotiven und Wagen, die auf Eisenbahnen gebracht werden, in",,,,,
"",,,,,,,,"Dampfmaschine, Lokomotive,",,,,
5336,Bodmer,Johann Georg,,,,,"Schiffmaschinen, Fahrzeugen, und dazu erforderlichen Vorrichtungen zu Bewegung, sowie auch in",,Wien,,1845,01.09.1845
"",,,,,,,,"Schiffsantrieb, Dampfwagen",,,,
"",,,,,,,stehenden Dampfmaschinen ...,,,,,
"",,,,,,,"... ein Mittel ..., um allen Mängeln ... in der Ausmaß des Brennholzes ... zu steuern ...: einen Wagen","Brennholz, Transport,",,,,
5337,Stoechfelner,Andreas,,,,,,,Wien,,1847,28.01.1847
"",,,,,,,"zu construiren, der einen permanent constanten Rauminhalt in sich enthält, ...",Wagen/Geeichter,,,,
5338,Stowasser,Ignaz,,,,,"Beschreibung des neu erfundenen Metall-Baßinstrumentes ""Helikon""",Helikon,Wien,,1848,14.01.1848
5339,Planer,Alois,,,,,Beschreibung der Patent-Bigeleisen,Bügeleisen,Wien,,1848,04.02.1848
5340,Gessmann,Ignaz,,,,,"Beschreibung der Erfindung einer Wäschereinigungsseife, ...","Unschlitt, Seife",Wien,,1850,24.06.1850
"",,,,,,,Descrizione della nuova invenzione che ... consiste in sostanza nell'applicazione del vapore o gass,,,,,
"",,,,,,,,"Aeolopile, Lokomotive,",,,,
5341,Gavazzi,Pietro,,,,,"alla locomozione a moto diretto, ossia senza apparato mecanico [Den Dampf oder das Gas für",,Milano,,1845,02.10.1845
"",,,,,,,,Rückstoßantrieb,,,,
"",,,,,,,Lokomotive nach Art von Herons Aeolopile zu verwenden],,,,,
"",,,,,,,Beschreibung einer theilweisen erfundenen und theilweisen verbesserten Vorrichtung zum,,Smichov bei,,,
5342,Gras,Adolph,,,,,,"Zeugdruck, Druckmaschine",,,1848,17.02.1848
"",,,,,,,Behufe der Cotton- u. Tücheldruck Fabrication ...,,Prag,,,
"",,,,,,,"Beschreibung der von Henry Kendall, Handelsmann aus Aachen, ..., gemachten neuen",,,,,
5343,Kendal,Henry,,,,,,Walkseife,Wien,,1841,11.12.1841
"",,,,,,,Verbeserung in der Fabrication der für Manufakturen verwendbaren Walk-Seife ...,,,,,
