PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß er der rohen mit Quarz, Kalkspath und anderen tauben",,,,,
"",,,,,,,verhärteten eisenschüssigen Thonerden vermischten Graphit durch eigens hiezu erfundene Poch-,,,,,
"",,,,,,,,"Graphit, Ton, Pochwerk, Aufbereitung,",,,,
"",,,,,,,"und Schlemm-Maschinen auf das Beste zu reinigen, und durch Beymischung einer auf besondere",,,,,
1789,Kirsa,Anton,,,,,,"Schlämmapparat, Tonwaren,",Wien,,1832,22.10.1832
"",,,,,,,"Weise gereinigten Thonerde so zu bereiten verstehe, daß er aus dieser Massa alle feuerfesten",,,,,
"",,,,,,,,"Schamottestein, Schmelztiegel",,,,
"",,,,,,,"Gegenstände, als: Stucköfen, Herdplatten in allen Größen, Ziegel, alle Gattungen Schwarzgeschirre",,,,,
"",,,,,,,von bester Qualität und probehältige Schmelztiegel ... zu bereiten im Stande ist,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, ..., daß durch eine an dem seit kurzem in Baumwoll-",,,,,
"",,,,,,,,,Fischau bei,,,
1790,Schultus,Franz,,,,,Garnspinnereyen angewendeten Tuberowing-Vorspinn-Maschine angebrachte Verbesserung,Vorbereitungsmaschine,,,1833,13.02.1833
"",,,,,,,,,Wr.Neustadt,,,
"",,,,,,,"wenigstens das doppelte Quantum Vorgespinnst ... erzeugt werden kann, ...",,,,,
"",,,,,,,"Beschreibung der ... Verbesserung an [den] Dampfmaschinen, ...: 1.) in einem verbesserten Kolben",,,,,
"",,,,,,,"/:Piston:/ ... 2.) einem verbesserten Ventile /:Valve:/ ... 3.) in einer verbesserten Methode, Kolben,","Dampfmaschine, Kolben, Ventil,",,,,
1791,Harrison,Colpitts,Urling,Robert William,,,,,Hamburg,,1832,19.09.1832
"",,,,,,,"Kolbenstangen, Ventile und Hähne ... gut einzuschmieren ... 4.) ... den Dampf zu verdichten","Schmierbuchse, Kondensator",,,,
"",,,,,,,"/:condensiren:/, und die Kessel mit Wasser zu versehen",,,,,
1792,Jauernig,Jakob,,,,,Beschreibung der Schnellschwellung und Schnellgerbung,"Leder, Gerberei",Wien,,1827,01.07.1827
"",,,,,,,,"Druckmaschine, Buchdruckerei,",,,,
"",,,,,,,"Beschreibung gewisser neuer Verbesserungen bei Pressen zur Buchdruckerei, Lithographie,",,,,,
1793,Saston,Joseph,Witwell,Stedmann,,,,"Lithographie, Zinkographie,",Wien,,1835,20.10.1835
"",,,,,,,"Zinkographie, Kupferdruck und zum Briefkopieren",,,,,
"",,,,,,,,"Kupferdruck, Kopierdruck",,,,
"",,,,,,,Descrizione della nuova Scoperta ... che consiste in sostanza in una macchina per condurre qual si,,,,,
1794,Pusinich,Luigi,,,,,,Schiffsantrieb,Venezia,,1834,06.02.1834
"",,,,,,,"voglia barca cosi nè canali, come nelle lagune, laghi fiumi e mari ... [Schiffsantrieb]",,,,,
"",,,,,,,"Beschreibung ... zeigt ... an, eine Maschine ganz neu erfunden zu haben wodurch eine",,,,,
1795,Bilharz,Johann Nepomuk,,,,,"Verbesserung von Gold, Silber, Bronz und allen nur denkbaren Metallen, so wie auch eine","Perle, Schleudermaschine",Wien,,1837,01.05.1837
"",,,,,,,"Verbesserung von Strickperlen, ...",,,,,
"",,,,,,,"Genaue Beschreibung der Erfindung ..., dessen ganz neu erfundene Methode Metallene Walzen",,,,,
"",,,,,,,"zum Behufe des Kattundrucks mit den bisher unerreichbarsten Desseinen zu gyliogiren, nebst zur","Zeugdruck, Guillochiermaschine,",,,,
1796,Leithenberger,Eduard,,,,,,,Reichstadt,,1827,16.08.1827
"",,,,,,,Anwendung dieser Methode feine ganz neu erfundenen Maschine welche er mechanischen,"Gravieren, Dessin",,,,
"",,,,,,,gravür & zeichnungs Calaydograffen nennt ...,,,,,
"",,,,,,,Beschreibung der ganz neu erfundenen u. dem allgemeinen Besten sehr vortheilhaften Heitz u.,,,,,
1797,Eisenbrand,Franz,,,,,,Kachelofen,Prag,,1833,12.04.1833
"",,,,,,,"Dampföfen, ...",,,,,
"",,,,,,,Beschreibung der ... Erfundenen Tabakröhren: 1. Kurze Tabakröhren ... 2. Auf gleiche Art die,,,,,
1798,Jurmann,Johann,,,,,,"Tabakspfeife, Zigarrenspitze",Triest,,1833,05.01.1833
"",,,,,,,Cigarren-Röhre zu verbessern,,,,,
"",,,,,,,"Descrizione del miglioramento che ... consiste nel fare abiti a occhichessia a solo occhio, senza il",,,,,
1799,Federici,Pasquale,,,,,,"Kleidung, Schneiderei",Cremona,,1834,27.10.1834
"",,,,,,,soccorso della misura ... [Kleider ohne Maßnehmen],,,,,
"",,,,,,,... Die Einrichtung angezeigter Erfindung bezwekt ... vor allen gegenwärtig im Gebrauche,,,,,
