PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Beschreibung der ... Erfindung, ..., durch eine bisher noch nicht bekannt gewesene",,,,,
"",,,,,,,Verfahrensweise mit Verwendung von Wachstaffet und feinen Wollgeweben (welche von den,,,,,
"",,,,,,,berühmtesten Ärzten als die Vortrefflichsten Heilmittel gegen Gicht und Rheumatismen,,,,,
"",,,,,,,,"Schuh, Socken, Wachstaft,",,,,
2016,Adler,Valentin,,,,,"anempfohlen werden) eine neue Art von Fußbekleidung zu verfertigen, welche die Eigenschaft",,Wien,,1834,12.03.1834
"",,,,,,,,"Feuchtigkeitsschutz, Wärmeschutz",,,,
"",,,,,,,"hat, den Fuß stets trocken und in gleicher Wärme zu halten die Ausdünstung zu befördern, jeden",,,,,
"",,,,,,,"Zutritt äußerer Feuchtigkeit gänzlich zu beseitigen, und in jede beliebige Form gebracht werden",,,,,
"",,,,,,,können,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß er: 1.) mit seiner meistens aus inländischen Igredienzien",,,,,
"",,,,,,,"erzeugten Flüssigkeit, alle Gattungen von Geweben ... wasser und luftdicht macht. 2.) aus allen",,,,,
"",,,,,,,obgedachten Stoffen ... jede Art von Beschuhung ... verfertiget ... 3.) daß er ... mehr Wärme ... bei,,,,,
"",,,,,,,,"Imprägnierung, Wasserdicht(er) Stoff,",,,,
"",,,,,,,"... Kleidern ... hervorbringt. 4.) Aus den ... dichtgemachten Stoffen können ... Bett-, Möbeln- und",,,,,
"",,,,,,,,"Luftdicht(er) Stoff, Schuh,",,,,
2017,Ruziczka,Joseph,,,,,"Schwimmgegenstände ... verfertigt werden,  welche ... Leichtigkeit, Elastizität und Weichheit",,Salzburg,,1835,25.06.1835
"",,,,,,,,"Wärmeschutz, Feuchtigkeitsschutz,",,,,
"",,,,,,,"gewähren, sich besonders für Kranke ... eignen, ... Auch ...: Schwimmkleider u. Guten, Schläuche ...,",,,,,
"",,,,,,,,"Möbelstoff, Gummi, Lösungsmittel",,,,
