PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,"Kartoffelstärke, Stärkemehl,",,,,
"",,,,,,,"Beschreibung der neu entdeckten Verbesserung zur Erzeugung des Stärkemehles aus Kartoffeln,","Waschmaschine,",,,,
5079,Dietz,Johann,,,,,,,Wien,,1845,12.02.1845
"",,,,,,,...,"Reibmaschine/Kartoffel, Siebwerk,",,,,
"",,,,,,,,Elevator,,,,
5080,Mueller,Emil,,,,,"Specification einer verbeßerten Construktion von Schiffspropellern mit Schraubengewinden, ...",Schiffsschraube,Wien,,1846,09.09.1846
"",,,,,,,Beschreibung von Verbesserungen an Gasmessungs-Instrumenten oder Apparaten des Herrn,,,,,
5081,Hutchinson,Stephen,,,,,,Gasmesser,Wien,,1844,04.07.1844
"",,,,,,,"Stephen Hutchinson in London, ...",,,,,
"",,,,,,,"Beschreibung der Erfindung und Verbesserung neuer Rauchfang Hütte, Dachel und Maschinen",,,,,
5082,Bauer,Ferdinand,Bauer,Karl,,,,"Champion, Kaminaufsatz",Wien,,1846,27.05.1846
"",,,,,,,jeder Art zum Auf- und Abschrauben,,,,,
"",,,,,,,"Beschreibung der Erfindung, mittelst eines Malzdörr-Apparates das Malz mit gänzlicher",,,,,
5083,Lazina,Johann,,,,,,"Malzdörre, Dörrofen",Wien,,1847,08.06.1847
"",,,,,,,"Beseitigung der ... Holzfeuerung ... zu dörren, ...",,,,,
5084,Bertini,Giuseppe Maria,,,,,Bilanciere Idrofero [Wasserhebemaschine],Wasserhebemaschine,Pavia,,1844,17.06.1844
"",,,,,,,Descrizione dalla perfezionata legatura che ... consiste in sostanza- in una migliorata legatura di,,,,,
5085,Rossetti,Cesare,,,,,,"Geschäftsbuch, Buchbinderei",Milano,,1845,13.06.1845
"",,,,,,,"Mostri Giornali ... [Einbinden von Hauptbüchern, Journalen etc.]",,,,,
"",,,,,,,Descrizione ... del miglioramento ... per la filatura della seta ad un capo solo,,,,,
5086,Detoni,Francesco,,,,,,"Seide, Spinnmaschine",Milano,,1845,27.05.1845
