City,1,2,3,4,5,6,7,8,9,10,11,12,13
POPOLAZIONE RESIDENTE,1881,1871,1881,1901,1911,1921,1931,1936,1951,1961,1971,1981,1991
Sinio,716,760,801,948,964,988,1018,1000,777,594,505,422,483
Somano,959,1111,1126,1112,1060,1080,1019,1015,875,668,567,498,426
222 Sommariva del Bosco,5762,5909,5909,5989,5893,5757,5425,5018,5282,5299,5424,5787,5884
Sommariva Perno,2177,2167,2202,2495,2569,2734,2884,2749,2416,2205,2232,2249,2279
Stroppo,1739,1823,1742,1584,1335,1270,982,755,635,462,262,186,124
Tarantasca,1984,2113,2101,1811,1711,1872,2007,1849,1726,1550,1350,1445,1822
"Torre Bormida """,504,582,647,645,655,685,684,673,560,453,318,285,243
Torre Mondovi,1682,1739,1916,1674,1583,1573,1473,1377,1257,935,830,634,579
"Torre San Giorgio """,857,850,747,678,673,642,621,632,657,579,524,620,660
Torresina,269,242,255,254,267,286,314,301,274,220,150,110,84
Treiso,678,801,843,998,1106,1107,1084,1090,921,761,707,701,709
Trezzo Tinella,825,846,866,929,993,1062,1024,1007,768,574,498,408,363
Trinità,3240,3304,3464,3289,3272,3263,3032,2845,2737,2398,2117,2032,1939
233 Valdieri,3268,3539,3628,3248,3447,3423,2015,1934,1579,1369,1272,1088,1054
Valgrana,2349,2521,2483,2261,1843,1721,1488,1390,1203,974,927,814,775
Valloriate,1558,1710,1789,1902,2054,1963,1223,1072,877,605,454,325,206
Valmala,732,826,823,805,682,581,493,455,360,284,175,95,70
Venasca,2787,2830,3065,3405,3139,2468,2188,2219,2072,1925,1734,1592,1538
Verduno,709,697,770,771,741,771,782,755,627,501,465,433,430
Vernante,3419,3606,3654,4519,3614,3250,2701,2282,2248,1988,1777,1641,1477
Verzuolo,4804,5102,5217,5172,5250,5408,5668,5805,5904,6010,6265,6029,6020
Vezza d'Alba,2434,2502,2594,2703,2817,2893,2874,2760,2523,2020,1949,2025,2008
Vicoforte,2926,2843,2949,2969,3016,3047,2982,3030,2910,2626,2689,2710,2859
Vignolo,1317,1439,1689,1726,1685,1599,1533,1476,1373,1239,1263,1526,1745
Villafalletto,4133,4276,4296,3793,3873,3960,3961,3806,3744,3260,3073,3019,2977
Villanova Mondovì,3684,3918,4101,3813,4057,3841,3898,3637,3659,3359,3660,4323,4757
Villanova Solaro,1735,1732,1757,1531,1498,1426,1538,1438,1382,1079,954,910,808
Villar San Costanzo,2485,2561,2588,2431,2554,2501,2152,2132,1910,1641,1451,1223,1207
Vinadio,3735,3626,3463,3701,2942,2675,2319,1704,1489,1301,1091,897,801
Viola,1338,1416,1452,1354,1305,1339,1249,1148,1092,782,661,597,498
Vottignasco,748,757,863,826,945,986,1006,927,973,782,675,623,559
Agliano,2587,2905,3111,3652,3377,3430,3108,2953,2563,2173,1856,1774,1719
Albugnano,983,955,982,947,944,887,755,744,650,561,486,410,417
Antignano,1466,1495,1630,1829,1794,1753,1579,1557,1374,1229,1074,977,992
Aramengo,1692,1676,1591,1496,1346,1287,1231,1246,1050,775,644,546,522
Asti,34083,36917,38215,44533,46361,45810,48714,48898,52000,61044,76151,77681,73557
Azzano d'Asti,558,667,694,766,700,688,613,611,526,435,374,320,327
Baldichieri d'Asti,928,866,786,918,944,887,861,820,776,835,1018,1029,995
Belveglio,1045,1057,1102,1123,1046,1125,843,816,699,534,453,398,339
Berzano di San Pietro,706,733,732,776,749,714,641,646,480,400,338,338,354
Bruno,892,1048,952,1146,1137,1099,992,947,844,742,573,453,394
Bubbio,1455,1624,1611,1809,1804,1765,1651,1584,1449,1206,1024,1039,936
Buttigliera d'Asti,2699,2820,2779,2959,2665,2352,2213,2097,1877,1678,1698,1857,1954
Calamandrana,1802,1955,2126,2640,2687,2647,2264,2102,1885,1746,1425,1478,1459
Calliano,2890,2973,3354,3370,3009,3010,2501,2426,2267,1998,1684,1571,1393
Calosso,2414,2656,2684,3384,3319,3282,2984,2821,2412,2202,1846,1535,1356
Camerano Casasco,1139,1157,1113,1190,1195,1153,1047,1027,820,689,597,502,445
Canelli,4454,5150,5483,7428,8223,7964,7575,7389,7954,9421,10905,10723,10425
Cantarana,653,681,759,1016,1061,979,900,827,733,653,586,667,733
Capriglio,679,680,752,796,769,670,571,538,449,293,254,216,230
Casorzo,2106,2299,2386,2546,2245,2193,1890,1696,1449,1191,916,825,697
Cassinasco,1016,1193,1224,1473,1510,1451,1307,1199,1007,779,661,627,610
Castagnole delle,3191,3805,4390,5411,5438,5320,4750,4325,3964,3676,3643,3513,3486
Castagnole Monferrato,2331,2565,2808,3114,3015,2774,2487,2430,1820,1693,1417,1174,1226
Castel Boglione,1086,1156,1261,1652,1743,1713,1566,1506,1269,1008,755,747,702
Castell'Alfero,2033,2396,2529,2937,2925,2859,2755,2783,2280,2150,2167,2513,2580
Castellero,371,398,401,458,496,485,430,380,299,268,265,243,281
Castelletto Molina,384,446,444,613,559,549,482,486,412,283,226,207,165
Castello di Annone,2755,2958,3060,3200,2645,2691,2378,2232,2074,1718,1572,1639,1713
Castelnuovo Belbo,1640,1831,1956,2393,2116,2148,1864,1846,1563,1299,1118,1043,878
030 Castelnuovo Calcea,1665,1822,2037,2178,2182,2109,1897,1795,1482,1188,1003,887,795
Castelnuovo Don,3918,4039,4263,4228,3751,3846,3293,3235,2897,2761,2576,2712,2793
Castel Rocchero,617,617,682,683,883,849,878,824,769,69,695,622,532
