City,1,2,3,4,5,6,7,8,9,10,11,12,13
POPOLAZIONE RESIDENTE,1861,1871,1881,1901,1911,1921,1931,1936,1951,1961,1971,1981,1991
Piantedo,519,484,557,725,805,762,753,782,807,827,899,1039,1129
Piateda,1380,1474,1650,1918,2069,2012,2171,2464,2422,2307,2241,2329,2423
Piuro,1796,1997,2061,1914,1764,1746,1869,1647,1823,1694,1564,1697,1713
Poggiridenti,619,722,800,878,982,1084,1018,1019,1157,1236,1289,1559,1649
Ponte in Valtellina,3048,3187,3486,3216,3633,3650,3348,3310,3152,2962,2563,2329,2239
Postalesio,642,681,702,826,801,737,613,620,585,550,571,579,576
Prata Camportaccio,1091,1096,1245,1275,1248,1414,1443,1504,1583,1706,1926,2239,2570
Rasura,298,293,326,404,414,404,342,344,448,425,361,363,329
Rogolo,404,403,444,435,452,484,396,408,437,441,452,461,475
Samolaco,1305,1582,1876,1920,1952,2344,2128,2206,2312,2355,2497,2639,2780
San Giacomo Filippo,1649,1746,1632,1721,1550,1548,1244,1270,1206,1069,865,674,576
Sernio,866,899,940,799,832,786,635,630,569,521,449,454,459
Sondalo,2941,3103,3101,3177,3732,3469,3143,3819,4806,5434,5728,5217,4954
Sondrio,6284,6823,7342,7707,8862,9237,10554,11672,14643,18944,22990,22747,22097
Spriana,720,814,848,825,893,957,887,877,778,490,292,177,156
Talamona,2504,2517,2619,2723,2792,3052,3038,2931,3150,3578,3789,4057,4261
Tartano,1277,1374,1367,1410,1482,1400,1196,1189,1211,1162,707,489,328
Teglio,5155,5262,5421,5384,6092,6282,6000,5951,5858,5695,5240,5233,5116
Tirano,5220,5953,6199,6573,7104,7060,6518,6772,7056,7502,8519,8786,8919
Torre di Santa Maria,1277,1312,1351,1239,1381,1268,1164,1191,1247,1220,1107,1049,943
Tovo di Sant'Agata,456,474,523,470,538,506,441,476,397,403,456,496,522
Traona,1164,1218,1188,1272,1239,1341,1274,1297,1353,1422,1578,1725,1922
Tresivio,1295,1475,1684,1728,1917,2016,1690,1830,1855,1786,1697,1792,1882
Valdidentro,1448,1645,1761,1896,1996,1992,2378,2295,2789,3085,3365,3517,3708
Valdisotto,1992,2137,2313,2560,2643,2546,2387,2397,2705,2825,2825,3023,3043
Valfurva,1470,1537,1580,1578,1742,1860,1944,2006,2128,2343,2548,2788,2777
Val Masino,768,865,933,994,1098,1116,1106,1077,1176,1131,1061,989,931
Verceia,744,790,819,893,961,951,884,1010,940,1009,1130,1244,1166
Vervio,808,844,950,1003,931,1009,889,894,841,607,427,335,280
Villa di Chiavenna,1032,1136,1335,1312,1237,1296,1196,1228,1320,1404,1424,1245,1133
Villa di Tirano,3535,3436,3501,3623,3728,3434,3240,3431,3296,3159,3016,2935,2928
Aicurzio,406,470,472,553,521,555,470,475,420,380,272,297,284
,10073,10110,10652,12270,13168,13287,15852,16259,18001,21652,26955,27043,27541
,3199,3504,3557,4494,4762,4774,5460,5669,6238,6746,8742,10114,11963
,933,1154,1264,1506,1666,1699,1783,1717,1755,1634,1511,1611,1649
005 Albairate,2221,2217,2419,2672,2850,2825,2537,2487,2561,2546,2402,2828,3335
Albiate,1545,1755,1878,2734,3216,3332,3492,3530,3816,4064,4564,4465,4420
007 Arconate,1306,1412,1672,1862,2140,2106,2317,2339,2815,3286,4006,4402,4474
008 Arcore,2591,2891,3013,3656,4354,4658,5509,5654,6816,9442,12772,14373,15767
Arese,1751,1857,1954,2197,2285,2261,2231,2241,2470,3037,5052,15294,18612
