City,1,2,3,4,5,6,7,8,9,10,11,12,13
La Spezia,15330,26753,36046,73603,77543,100383,115118,106119,111849,121923,124547,115392,101442
Lerici,6301,6906,7286,9912,10518,11226,12091,12217,13243,13563,14680,13663,12233
Levanto,4643,4483,4482,4874,5164,5525,5778,5968,6152,6257,6599,6447,5925
Maissana,2524,2707,2577,2052,1861,2056,1860,1897,1668,1295,992,790,724
Monterosso al Mare,1613,1861,2051,2052,1849,2062,1961,1991,2071,2010,1922,1840,1732
Ortonovo,2308,2406,2591,3074,3637,3891,4267,4349,4746,5212,5831,7401,8135
Pignone,1283,1380,1360,1080,1031,1085,1024,1081,987,879,798,728,714
Portovenere,3733,3439,3567,5754,5624,6028,6968,5592,6057,5335,5187,4781,4534
Riccò del Golfo di,2722,2974,2810,3013,3135,3309,3353,3315,3455,3046,2797,2872,3296
Riomaggiore,2600,3183,3118,3463,3332,3572,3377,3355,3239,3066,2649,2441,2051
Rocchetta di Vara,1880,1940,1731,1802,1862,1806,1917,1812,1642,1311,1097,931,814
Santo Stefano di Magra,1963,2116,2112,2706,3081,3677,4155,4402,5211,5908,6117,6984,7884
Sarzana,9137,9629,9647,11850,12533,13289,13295,13492,16101,16986,18676,19212,19849
Sesta Godano,3990,4220,3885,3895,3684,4004,3616,3524,3092,2389,1839,1649,1585
Varese Ligure,7851,8063,8185,7154,7127,7158,6805,6762,5909,4710,3711,3118,2681
Vernazza,2080,2053,2011,2105,2041,2286,2236,2280,2305,2014,1668,1429,1184
Vezzano Ligure,1585,1742,1918,2829,3246,4212,4931,5070,6009,5981,6686,7233,7558
Zignago,1509,1603,1493,1469,1598,1602,1494,1503,1208,975,679,611,588
Agazzano,2599,2649,2855,3407,3590,3851,3467,3347,3095,2590,2136,1974,1903
Alseno,3987,4492,4545,5160,5549,6014,6083,6032,6013,4933,4310,4492,4566
Besenzone,1831,2091,2045,2126,2281,2563,2536,2443,2283,1894,1562,1235,1047
Bettola,6536,7298,7543,8033,7981,8854,8874,8784,8339,6499,4952,3964,3452
Bobbio,5996,6266,6108,6208,6445,6856,6722,7072,6538,5884,4922,4172,3867
Borgonovo Val Tidone,6341,6659,6917,8102,8738,9010,7735,7554,7566,6966,6613,6434,6559
Cadeo,2931,3338,3362,3394,3671,4197,4281,4309,4536,4206,4280,4616,5396
Calendasco,3130,3397,3500,3567,3895,3918,3768,3741,3753,3294,2612,2409,2170
Caminata,657,639,631,573,606,692,658,641,562,524,390,332,319
Caorso,4143,4383,4391,4619,5052,5372,5317,5214,5144,4909,4611,4461,4454
Carpaneto Piacentino,5379,5714,5636,6371,7270,8014,7930,7778,7680,6823,6252,6310,6206
Castell'Arquato,4358,4935,4857,5569,6059,6880,6890,6959,6365,5624,4646,4518,4405
Castel San Giovanni,7684,8475,8578,9444,9544,10211,10107,10191,10327,10255,11110,11898,11741
Castelvetro Piacentino,3725,3793,3929,4796,5111,5394,5155,5233,5380,5264,5061,5051,4874
Cerignale,1264,1286,1111,1153,1053,1146,1037,938,889,772,607,454,317
Coli,2886,3164,3344,3079,2850,3165,3115,3090,2697,2196,1697,1329,1187
Corte Brugnatella,1591,1743,1732,1749,1752,1884,1825,1840,1718,1593,1319,1026,914
Cortemaggiore,4555,4850,4546,4770,4738,4961,4991,4978,5524,6070,5221,4901,4481
019 Farini,6235,6272,6712,6187,7479,8014,6791,5996,5710,5021,3366,2770,2326
Ferriere,6629,7411,7373,7101,6844,7659,6142,6305,6469,5493,3629,3146,2675
Fiorenzuola d'Arda,6546,6830,6653,7792,8721,9379,10262,10261,11560,12904,14102,14113,13317
Gazzola,2528,2600,2667,3026,3260,3541,3294,3187,2913,2341,1666,1421,1473
Gossolengo,2013,2346,2487,2619,2913,3218,3114,2954,3293,3065,2224,2332,2907
Gragnano Trebbiense,3071,3357,3368,3619,3842,4084,4319,4025,4112,3622,3319,3051,3102
