City,1,2,3,4,5,6,7,8,9,10,11,12,13
POPOLAZIONE RESIDENTE,1861,1871,1881,1901,1911,1921,1931,1936,1951,1961,1971,1981,1991
Spinete,1861,1967,1914,1748,1866,1835,1921,2063,2265,1918,1666,1588,1530
Tavenna,2169,2163,2289,2412,2209,2090,2078,2098,2244,1923,1708,1418,1205
Termoli,2533,3172,4185,5124,5555,5934,6910,7574,10044,11278,15659,22849,28552
Torella del Sannio,1759,1635,1699,1904,1821,1910,1910,1984,1930,1504,1220,1010,949
Toro,2170,2373,2366,2369,2734,2486,2431,2494,2451,2021,1592,1573,1648
Trivento,4663,4987,4742,4925,4987,5067,5670,5792,6440,6418,5904,5764,5281
Tufara,2470,2316,2082,2040,2067,1982,2022,2080,2160,1821,1460,1397,1256
Ururi,2745,2872,3587,3824,4090,4057,4280,4545,4659,3799,3495,3345,3248
Vinchiaturo,3652,3784,4080,4110,4786,4567,4046,4092,4177,2979,2539,2519,2625
Ailano,1194,1351,1255,1301,1399,1408,1407,1470,1627,1711,1717,1788,1730
Alife,3282,3213,3806,3816,4017,4285,5009,5522,6631,6096,5811,6379,6930
Alvignano,3494,3638,3691,3696,3021,3432,3919,4273,4850,5002,4573,5038,5063
Arienzo,3852,3806,3708,3772,3631,3597,3956,4188,4629,4604,4345,4170,4738
Aversa,18549,21322,21173,23189,23203,23859,24953,26538,34103,40336,47332,56425,54032
Baia e Latina,1794,1839,1904,2442,2131,2023,2026,2132,2335,2329,2046,2097,2269
Bellona,2342,2495,2715,3216,2856,3096,3081,3328,3844,3739,3803,4593,4894
Caianello,1043,1201,1105,1254,1347,1310,1260,1398,1505,1436,1397,1559,1675
Caiazzo,5817,5971,6125,5843,5314,5255,5441,5878,6113,5848,5482,5411,5940
Calvi Risorta,2646,2897,2921,3399,3428,3463,3862,4052,4737,4676,4924,5476,5605
Camigliano,1755,1799,1745,1769,1623,1753,1721,1734,1789,1584,1505,1626,1741
Cancello ed Arnone,1118,1185,1231,1664,1864,1943,2306,2614,4765,5034,4102,4531,4865
Capodrise,2788,2845,2948,3199,3238,3323,3507,3673,4505,4362,4675,5620,6498
Capriati a Volturno,1468,1661,1587,1368,1192,1194,1576,1614,1843,2079,1872,1791,1746
Capua,12000,12966,13886,14114,13319,13216,14143,14072,15931,18242,17582,17977,18845
Carinaro,1189,1281,1434,1768,1971,1901,2071,2488,2941,3595,3848,4331,5490
Carinola,5043,5810,6036,7724,8595,8024,8447,8652,9529,9591,9001,8786,8629
Casagiove,4222,4627,4780,5683,5769,5933,6368,6403,7929,8882,9542,14605,15250
Casal di Principe,3237,3676,3898,5428,5892,6638,8111,9357,11544,13980,15716,16706,18499
Casaluce,1992,2169,2269,2986,3299,3311,3721,3988,4844,5320,5669,6902,8895
Casapesenna,1073,1152,1242,1618,1763,1927,2433,2592,3643,4590,5014,5954,6786
Casapulla,2720,2880,2948,2995,2993,3040,3054,3314,4175,4582,5037,5806,6386
Caserta,28505,30677,31943,34303,32904,35363,38224,35904,42481,48122,59960,66318,69027
Castel Campagnano,1365,1569,1563,1613,1716,1745,2029,2213,2363,2048,1673,1636,1642
Castel di Sasso,1330,1460,1355,1486,1316,1315,1330,1380,1551,1536,1386,1173,1245
Castello del Matese,1567,1551,1372,1173,1114,1098,1101,1126,1229,1211,1204,1286,1423
Castel Morrone,2352,2661,2764,3150,3287,3176,3443,3534,3838,3869,3511,3631,3879
Castel Volturno,495,477,561,858,943,997,1251,1278,2707,3248,3661,7311,15140
Cellole,1013,1085,1166,1559,1427,1778,2135,2374,3003,4544,3991,5696,7058
Cervino,2849,3174,3243,3168,3438,3355,3431,3590,4248,4484,4175,4382,4770
Cesa,1897,1958,2095,2310,2280,2445,2742,2986,4012,4724,5110,5678,6751
Ciorlano,753,829,803,776,726,710,857,922,1015,966,775,676,588
Conca della Campania,2523,2650,2787,3203,3115,2783,3033,3219,3431,2940,2189,1775,1600
Curti,2476,2469,2696,3159,3371,3646,3967,4125,4564,4583,5161,6099,6370
Dragoni,1968,2232,2204,2235,2031,1974,2139,2310,2601,2638,2179,2213,2271
Falciano del Massico,1624,1870,1943,2206,2672,2494,2696,2884,3593,3836,3317,3701,4078
Fontegreca,954,1004,915,802,769,711,793,857,976,981,877,977,958
Formicola,2273,2306,2451,2281,2067,2003,2053,2196,2304,2246,2205,2015,1551
Francolise,1535,1480,1675,2262,2474,2519,2911,3061,3917,4620,4547,4633,5018
Frignano,2673,2805,3073,3761,4148,4519,5121,5584,6652,7082,7429,8097,8556
Gallo Matese,2272,2494,2545,2603,3042,3417,2717,2681,2546,1800,1267,1029,927
Galluccio,3016,3163,3196,3778,4152,4200,4186,4354,4465,3780,2898,2555,2453
Giano Vetusto,780,915,935,1079,1013,977,948,981,962,919,788,743,717
Gioia Sannitica,3211,3317,3659,3518,3381,3588,3247,3464,4165,4002,3508,3773,3723
Grazzanise,2139,2443,2756,3123,3190,3489,4133,4336,6349,6485,6261,6248,6938
Gricignano di Aversa,1172,1236,1378,1773,2005,2110,2442,2539,3253,3859,4763,6144,8056
Letino,1207,1306,1279,1157,1220,1202,1205,1263,1346,1169,953,902,932
Liberi,1641,1736,1589,1709,1520,1525,1499,1522,1641,1616,1321,1462,1395
Lusciano,2827,2983,3157,3773,4119,4491,5240,5395,6804,7927,9116,10771,12855
Macerata Campania,3248,3580,3941,4363,4590,4864,5502,5621,6308,6687,7112,8300,8845
Maddaloni,19418,18137,18564,20458,19899,22046,21916,22648,27226,30071,31045,33721,37133
Marcianise,8867,9571,11138,12891,14071,15204,16767,17898,21230,24485,28431,33310,35929
Marzano Appio,4237,4677,4490,4714,4526,4007,3757,4056,4141,4084,3272,3316,3204
Mignano Monte Lungo,1926,2376,2406,2753,2775,3080,3491,3555,3808,3457,3113,3036,3317
Mondragone,2930,3928,4666,6125,7328,9012,10245,11376,15600,18053,19800,20539,22277
Orta di Atella,2417,2620,2969,3600,3846,4223,5020,5551,6699,7562,8670,10044,11535
