City,1,2,3,4,5,6,7,8,9,10,11,12,13
POPOLAZIONE RESIDENTE,1861,1871,1881,1901,1911,1921,1931,1936,1951,1961,1971,1981,1991
Montignoso,2160,2495,3008,3610,4045,4650,5195,5528,6091,6859,7605,8738,9158
013 Podenzana,1622,1813,1797,1945,1886,1981,2011,2043,1790,1571,1302,1392,1661
Pontremoli,12716,14330,14717,15015,15633,16552,14754,14919,14788,12603,10664,10106,8639
Tresana,3830,4481,4541,4638,4688,4950,4432,4257,4047,3217,2550,2246,2171
Villafranca in Luni,3251,3827,3935,4558,4761,5102,5310,5518,5293,4924,4368,4498,4733
Zeri,3294,3599,3618,3798,3914,3733,3528,3372,3367,2835,1867,1794,1563
Altopascio,5395,5828,6237,8177,8434,8546,8354,7647,7254,7462,8688,9580,9976
Bagni di Lucca,11394,12403,12518,13685,12939,13926,13262,12064,11567,9391,8153,8060,7336
Barga,7830,8316,8560,8100,8223,10158,11029,11708,11770,11062,10959,10835,10201
Borgo a Mozzano,8467,9056,9284,10352,10336,9315,8317,8037,8406,8032,7785,7745,7580
Camaiore,16250,16967,17224,18548,18822,20571,21136,22291,24682,26068,30099,30767,30648
Camporgiano,2384,2749,2799,2841,2867,3185,3442,3250,3300,3023,2758,2637,2463
007 Capannori,34257,39300,41231,46560,41622,45891,40174,41033,41874,39794,41403,44041,43874
Careggine,1563,1757,1808,1507,1642,1730,1656,1705,1688,1199,984,844,754
009 Castelnuovo di Garfa,4847,5166,5094,5198,5380,5789,5997,5915,6309,6276,6316,6384,6309
Castiglione di Garfa,3087,3689,3644,3359,3493,3715,3275,3318,3271,2907,2206,2108,2016
Coreglia Antelminelli,4668,5053,5197,4871,5165,5434,5886,5716,5564,5095,4940,5013,4866
Fabbriche di Vallico,1792,1851,1679,1400,1260,1382,1215,1249,1213,969,821,679,591
Forte dei Marmi,1184,1330,1430,2257,3011,4164,5516,6213,7878,8840,10229,10320,9514
Fosciandora,1496,1619,1554,1502,1382,1452,1375,1370,1296,1027,862,731,692
Gallicano,3879,4290,4361,4027,4492,4649,4655,4801,5145,4717,4398,4124,3935
Giuncugnano,1102,1212,1229,1162,1380,1254,1209,1174,1112,907,697,650,586
Lucca,66061,70537,70404,73465,75464,77880,79852,82300,88302,88428,90995,91246,87100
Massarosa,9456,9172,10074,11225,12030,12297,12546,13233,14501,15291,17071,17788,18897
Minucciano,2354,2731,2790,2816,3375,3620,4320,4432,4334,3657,3227,2862,2678
Molazzana,2230,2562,2600,2214,2375,2311,2285,2412,2306,1883,1534,1408,1257
Montecarlo,3309,3633,3787,4478,4395,4658,4342,4298,3834,3499,3300,3655,4065
Pescaglia,7033,7535,7655,8023,7239,7079,6415,6241,5725,4653,3859,3824,3762
023 Piazza al Serchio,1953,2162,2309,2393,2448,2915,2933,2938,2984,2920,2673,2670,2665
Pietrasanta,10763,12085,12997,15166,17007,18331,21027,21382,21812,24179,25314,25384,24817
Pieve Fosciana,2566,2852,2941,2591,2950,2861,3004,2911,2999,2754,2492,2501,2440
Porcari,4246,4871,5110,5796,5297,6001,5810,5482,5403,5476,6044,6699,6827
San Romano in Garfa,1787,1939,1890,2002,2244,2127,2190,2187,2010,1719,1535,1441,1408
Seravezza,8196,8858,9518,10530,11596,12280,12986,12655,11573,12391,13176,13038,12731
Sillano,1951,2130,2132,2379,2361,2228,2050,1902,1598,1332,1032,881,792
Stazzema,7013,7667,7997,7907,8772,8583,8628,7957,7058,6079,4895,4145,3637
Vagli Sotto,1881,1683,1688,1772,2735,2489,2595,2434,2294,1747,1537,1459,1325
Vergemoli,1909,2159,2071,2213,1844,1844,1537,1448,1282,1048,736,562,463
Viareggio,8765,12249,14164,17240,21410,27739,32452,35594,41764,47323,55737,58263,57514
Villa Basilica,2676,4017,4068,3271,3898,3430,2996,2938,2822,2670,2369,2166,2028
Villa Collemandina,2229,2517,2268,2141,2358,2206,2013,1970,1969,1722,1532,1366,1354
Abetone,628,712,701,809,806,823,773,776,823,825,833,821,758
Agliana,3919,4288,4657,5340,5693,5772,6268,6369,7386,10079,12626,13333,13410
Buggiano,4001,4440,4484,5152,5206,5371,5357,5426,5413,5376,6058,7314,7559
Chiesina Uzzanese,2735,2896,2959,3714,3557,3378,3350,3314,3240,3257,3755,3945,3934
Cutigliano,2233,2557,2510,2966,2996,3049,2836,2874,2692,2317,2035,1893,1827
Lamporecchio,3971,4182,4499,5656,6002,6487,6167,6320,6195,6292,6354,6524,6512
Larciano,3951,4160,4476,5062,5227,5412,5150,5145,5056,5175,5518,5958,6063
Marliana,3791,4295,4317,5005,5146,4794,3853,3837,3360,2865,2415,2376,2405
Massa e Cozzile,2719,2942,3023,3246,3426,3649,3521,3523,3550,3966,5240,5763,6598
009 Monsummano Terme,5867,6699,7040,8481,8812,9238,9256,9314,9708,11636,14495,17082,18228
Montale,3677,4022,4369,5010,5341,5363,5398,5320,5552,6410,7718,8804,9807
MontecatiniTerme,3315,3810,3871,6051,8279,10066,12399,12817,14847,17787,20639,21582,20653
Pescia,19307,20170,20439,21327,21962,21875,20546,20898,20798,20073,19304,18557,18123
Pieve a Nievole,2757,3168,3221,2812,3249,3341,3569,3581,3956,4440,6402,7619,8489
Pistoia,49584,54825,54731,65186,70009,72747,72553,71963,77783,84561,93185,92274,87830
Píteglio,3616,3874,4047,4486,4869,4761,3801,3689,3894,3406,2813,2307,2034
Ponte Buggianese,5762,6482,6545,7260,7524,7751,7092,6899,6521,6313,6576,7075,7274
