City,1,2,3,4,5,6,7,8,9,10,11,12,13
POPOLAZIONE RESIDENTE,1861,1871,1881,1901,1911,1921,1931,1936,1951,1961,1971,1981,1991
Casalduni,2649,3043,3119,3093,3184,3003,2407,2588,2765,2269,1660,1653,1595
Castelfranco in Miscano,3916,4143,4319,3944,3463,3011,2388,2437,2524,1987,1459,1257,1135
Castelpagano,2743,2826,2892,2864,3076,2763,2899,2989,2902,2448,2254,2006,1859
Castelpoto,1552,1648,1533,1790,1884,1870,2090,2229,2415,2173,1802,1707,1630
Castelvenere,714,915,944,1303,1676,1761,2149,2252,2646,2426,2223,2289,2507
Castelvetere in Val For,3898,4095,4009,4195,3874,4234,3820,3945,4010,3505,2949,3073,2664
Cautano,1149,1195,1276,1398,1648,1851,2056,2107,2286,2056,2019,2023,2138
Ceppaloni,2659,2906,3318,4427,5050,4927,5218,5308,5563,4277,3318,3201,3435
Cerreto Sannita,4922,6159,5265,5593,5018,5123,5119,5332,5675,5362,4697,4339,4468
Circello,3020,3100,2813,2997,2981,3150,4003,4032,4020,3836,3422,3347,3053
Colle Sannita,5129,5397,5415,5937,6023,5742,5713,5279,5119,4122,3905,3896,3571
Cusano Mutri,4608,4896,4347,4874,4382,4484,4572,4673,5173,5063,4325,4360,4469
Dugenta,702,924,1029,1366,1435,1798,1644,1770,2733,2696,2421,2664,2735
Durazzano,1798,1869,1864,2200,1971,2067,2081,2262,2580,2471,1916,1813,1913
Faicchio,3439,4015,4068,4123,3437,3460,3884,4241,4597,4006,3776,3877,3980
Foglianise,1924,1945,1872,2180,2308,2547,2691,2892,3109,3005,3022,3089,3350
Foiano di Val Fortore,1872,2000,2108,2107,2347,2442,2225,2303,2379,2143,1747,1540,1708
Forchia,984,985,988,1026,1009,972,1015,1074,1247,1158,944,1026,893
Fragnetc l'Abate,1985,2075,2019,2107,2003,2151,2154,2313,2415,1907,1597,1413,1454
Fragneto Monforte,1888,1986,1980,2265,2216,2124,2128,2327,2581,2260,2026,1967,2088
Frasso Telesino,4980,4191,4166,4233,4511,4282,4043,4341,4556,4025,3376,3291,3203
Ginestra degli Schiavoni,1014,1025,821,1004,965,816,893,955,1094,1010,911,844,712
Guardia Sanframondi,3818,4596,4895,5354,5099,5243,6155,6559,6982,6542,5897,5752,5786
Limatola,1711,2027,2093,2287,2260,2156,2478,2785,3389,3255,3150,3188,3527
Melizzano,1303,1713,1909,2066,2323,2609,2637,2883,2804,2480,1961,2007,1924
Moiano,2953,3103,2998,3167,3151,3295,3677,3879,4142,4116,4112,4059,4127
Molinara,2373,2496,2643,3210,3369,3261,3123,3145,3056,2332,2046,2018,2030
Montefalcone di Val,3654,3449,3503,3896,3807,3241,3444,3700,3651,3168,2639,2366,2063
Montesarchio,6711,6810,7223,7165,7405,8706,9056,9742,11372,10875,10523,11065,11298
Morcone,7141,7031,7205,8630,9050,9578,9522,9352,9338,8983,8027,7525,6705
Paduli,3566,3776,3661,4017,4032,4034,4594,5094,5613,5135,4427,4607,4866
Pago Veiano,2202,2295,2368,2707,2647,3161,3183,2875,3114,3002,2817,2775,2858
Pannarano,1748,2251,2635,2838,3094,3095,3163,3419,3431,2960,2262,2072,2086
Paolisi,1964,1896,1917,2003,2092,2081,2060,2133,2320,1913,1627,1733,1680
Paupisi,1311,1309,1409,1651,1985,1884,2233,2145,2265,1969,1948,1813,1709
Pesco Sannita,2325,2381,2442,2710,2840,2795,2959,3113,3152,2871,2548,2455,2266
Pietraroja,2131,2234,2245,2061,1439,1722,1288,1339,1279,1155,847,734,708
Pietrelcina,2986,3388,3692,4258,4769,3514,4090,4235,4302,3870,3139,3007,3026
Ponte,471,540,554,1569,1836,1707,2045,2151,2392,2333,2441,2499,2546
Pontelandolfo,4375,5079,4910,5950,6452,7121,5943,5882,6498,6217,4279,3993,3502
Puglianello,588,669,637,1032,826,1082,1144,1249,1398,1253,1149,1191,1260
Reino,1006,1120,1017,1176,1502,1578,1803,1796,1881,1709,1497,1365,1370
San Bartolomeo in,7633,7356,7692,8751,9651,10123,10178,10434,10384,8767,6981,6573,6367
San Giorgio del Sannio,1876,2263,2653,3508,3612,3579,4158,4627,5359,5523,5057,6158,8566
San Giorgio la Molara,4678,4818,4819,5359,5726,5526,5840,5702,5869,4895,3973,3700,3486
San Leucio del Sannio,2529,2588,2766,3467,3450,3552,3746,3940,4062,3526,3112,3179,3307
San Lorenzello,1895,2194,2221,2303,2250,2251,2304,2532,2625,2316,1997,2137,2392
San Lorenzo Maggiore,1842,2046,2192,2210,2304,2289,2631,2773,3095,2815,2411,2364,2287
