City,1,2,3,4,5,6,7,8,9,10,11,12,13
POPOLAZIONE RESIDENTE,1861,1871,1881,1901,1911,1921,1931,1936,1951,1961,1971,1981,1991
Serra Pedace,1477,1586,1455,1831,2017,2035,2048,2041,1890,1584,1247,1136,976
Spezzano Albanese,4035,4353,3936,3572,3991,4092,4449,4904,5923,6279,6421,7098,7621
Spezzano della Sila,2502,2607,2914,2935,3052,3173,3111,3369,4699,5420,4296,4542,5110
Spezzano Piccolo,1523,1654,1736,1797,1784,1970,1903,1907,2152,2267,1888,1705,1904
Tarsia,1889,1844,2228,2424,2427,1989,2003,2352,3146,3023,3079,2461,3027
Terranova da Sibari,2166,2554,2437,2762,3107,3283,3608,3776,4692,4665,5035,5268,5304
Terravecchia,823,899,985,1219,1336,1360,1326,1327,1660,1635,1508,1755,1506
Torano Castello,2403,2435,2517,2819,3370,3497,4248,4245,4976,4869,4469,4451,4757
Tortora,1799,1826,1856,1977,2355,2138,2422,2536,2901,3225,3794,4449,5368
Trebisacce,1490,1454,1545,2096,2539,2742,3813,4236,5097,7132,6730,7645,8738
Trenta,1282,1686,1640,1927,1664,1675,1767,1903,2248,1988,1871,2013,2466
Vaccarizzo Albanese,1437,1455,1650,1505,1636,2040,1649,1643,2005,1955,1680,1492,1425
Verbicaro,4532,5248,5478,5183,4830,4633,5337,5493,6144,5652,5301,4711,4224
Villapiana,954,1055,1160,1317,1450,1737,2139,2172,2801,3074,3362,4288,4487
Zumpano,1165,1273,1442,1581,1669,1515,1622,1690,1847,1593,1210,1345,1611
Acquaro,2194,2216,2086,2711,2777,3115,3541,3743,4327,4258,4072,3293,3293
Albi,1730,1764,1969,1903,2165,2055,2385,2079,2199,2025,1593,1326,1192
Amaroni,1066,1148,1163,1342,1493,1451,1546,1599,1883,2157,2323,2542,2533
Amato,1485,1579,1523,1708,1751,1702,1837,1790,2095,1643,1088,1068,1039
Andali,638,736,875,1042,1250,1200,1458,1615,1717,1644,1535,1261,1173
Arena,2381,2453,2448,2892,3048,3282,3190,3146,3565,3091,2706,2338,2069
Argusto,724,781,784,812,922,953,924,882,940,921,744,627,613
Badolato,3698,3969,3880,4556,4480,4482,4400,4456,4842,4421,3781,4006,3552
Belcastro,1053,1057,1102,1433,1427,1813,2019,2125,2473,2598,2308,1908,1648
Belvedere di Spinello,1064,1060,1285,1445,1557,1701,2030,2288,2963,3139,3063,3032,2935
Borgia,3757,3975,4399,4323,5216,5575,5581,5216,5831,6162,5663,5929,6568
Botricello,488,564,670,675,912,885,1142,1330,2532,3447,4023,4605,5010
Briatico,3005,3302,3287,3639,3392,3909,4042,4197,4826,4390,4126,4237,4333
Brognaturo,908,885,816,810,833,839,802,818,957,1027,821,803,833
Caccuri,1266,1430,1620,2297,2334,2056,1993,2155,2617,2654,2136,2098,1851
Capistrano,1271,1236,1143,1351,1422,1553,1541,1605,1951,2108,1622,1298,1309
Caraffa di Catanzaro,1276,1414,1360,1478,1511,1551,1810,1982,2450,2768,2448,2318,2189
Cardinale,3214,3496,3413,3753,3864,4002,3429,3293,3790,3863,3343,3379,3382
Carfizzi,948,1043,1088,1343,1221,1123,1195,1203,1441,1471,1391,1353,1327
Carlopoli,3378,3123,3344,3080,3711,3561,3429,3398,3806,3179,2175,1958,1907
Casabona,1875,2149,2480,2816,2786,2587,3102,3549,4422,4846,4081,3956,3733
Castelsilano,1613,1734,2044,2476,2554,2378,2474,1768,1999,1778,1553,1448,1400
Catanzaro,22378,24226,27814,32005,34103,35623,40533,45400,59969,74037,86284,100832,96614
Cenadi,910,960,963,1052,1124,1101,1175,1146,1211,1146,1114,916,771
Centrache,1145,1165,1240,1404,1531,1369,1472,1539,1655,1281,985,871,692
Cerenzia,438,439,675,951,1083,1035,998,966,1325,1449,1297,1378,1328
Cerva,873,897,1024,1231,1531,1264,1284,1303,1645,1558,1306,1373,1408
Cessaniti,2072,2413,2496,3173,3054,3454,3589,3716,4089,3939,3775,3879,4079
Chiaravalle Centrale,3302,3845,4232,4765,5184,5049,6127,6121,7005,7297,7289,7216,7711
Cicala,2208,2045,1965,2213,2098,2014,2060,2183,1913,1786,1258,1125,1078
Cirò,3718,3464,4076,4281,4408,4341,4660,4690,5335,5294,5204,5318,5264
Cirò Marina,1495,1393,1639,2720,2907,3856,4478,5150,7294,10005,10369,13007,14113
Conflenti,3035,3040,2994,3446,3537,3706,4214,3982,4472,3955,3014,2151,1877
Cortale,4199,4310,4090,4199,4050,4196,4338,4236,4409,3894,3108,3022,2898
Cotronei,1495,1728,2091,2097,2461,2823,3660,4046,5145,5250,4989,5187,5331
Cropani,1341,1337,1581,2192,2378,3142,4033,2954,3616,3614,3580,3377,3659
Crotone,5945,7100,8642,9545,10162,11600,18721,21496,31928,43256,50970,58262,59001
038 Crucoli,1982,1808,2118,2447,2424,2326,2334,2598,3330,3589,3542,3578,3936
039 Curinga,3220,3164,3504,4349,4972,5004,5459,5758,6605,6653,6180,6629,6824
Cutro,2881,3392,4361,4933,5476,6080,6570,6731,10080,12370,14806,15546,11431
Dasà,1666,1635,1584,1854,1854,2091,2172,2168,2528,2453,1912,1603,1496
Davoli,2935,3113,3022,3137,3867,3791,3743,3599,4027,4167,4007,4063,4954
Decollatura,4597,4802,5245,5599,5114,5272,5436,5632,5680,5054,4326,4082,3617
044 Dinami,1604,1633,1591,2500,2903,3217,3449,3622,4126,4331,4021,3250,3245
Drapia,2750,2584,2988,3331,4063,4390,3844,3287,3172,3044,2672,2461,2444
Fabrizia,4044,4395,3927,4257,4596,4222,4294,4533,4741,5154,4404,3344,3026
Falerna,2719,2839,2952,3117,3450,3255,3373,3687,3992,3778,3515,3316,3504
Feroleto Antico,2200,2241,2182,2394,2922,3004,2717,2896,3394,3042,2342,2197,2280
049 Filadelfia,5422,6046,6480,6634,7895,9480,9588,8748,9674,9092,8651,8495,8099
Filandari,1505,1522,1686,1990,2132,2169,2123,2222,2437,2142,1910,1729,1703
