Name	Place	Description	Pdf
Baldi (HENRI)	Florence, rue Borgognissanti, 16	Formes pour chaussures de pieds défectueux.	Paris_1900_Italy_16.jpg
Bianchi (AURÈLE)	Rome	Appareils. Instruments pour exploration médicale.	Paris_1900_Italy_16.jpg
Boschetti (FRÉDÉRIC)	Turin, rue Nizza, 113	Appareil pour la tremolothérapie humaine et vétérinaire.	Paris_1900_Italy_16.jpg
Capelli (VIRGINIE)	Turin	Chaussures orthopédiques.	Paris_1900_Italy_16.jpg
Condorelli Maugeri (MARIUS)	Catane	Pièces anatomiques embaumées.	Paris_1900_Italy_16.jpg
Fazio (MICHEL)	Caltanisette	Un cathéter d'argent flexible.	Paris_1900_Italy_16.jpg
Ghillini (CÉSAR)	Boulogne	Appareil pour mesurer les courbes de la colonne vertébrale.	Paris_1900_Italy_16.jpg
Hôpital civil	Udine	Album radio-graphique.	Paris_1900_Italy_16.jpg
Institut Rota	Turin, rue Lagrange, 40 et 42	Intruements de chirurgie. Bandages. Appareils d'orthopédie. Vitrines. Étagères porte-instruments.	Paris_1900_Italy_16.jpg
Marangoni (GERVAIS)	Turin	Travaux de prothèse dentaire.	Paris_1900_Italy_16.jpg
Maria (JOSEPH DE)	Turin, rue Garibaldi, 45	Lits. Fauteuils. Voitures et appareils mécaniques.	Paris_1900_Italy_16.jpg
Marini Effisio	Naples, rue Summonte, 18	Procédés de conservations cadavériques.	Paris_1900_Italy_16.jpg
Martinotti (C.) & Tirelli	Turin, Asile des aliènes.	Clichés microphotographiques du système nerveux.	Paris_1900_Italy_16.jpg
