Name	Place	Description	Pdf
Sanromerio (J.-B.)	Rome	Spécimen de reliure ; un volume in-16 relié en peau.	Paris_1878_Italy_9.jpg
Société anonyme de la papeterie italienne	Siège à Turin, établissement à Serravalle Sesia	Papier à dessin, à lettre et papier ministre.	Paris_1878_Italy_9.jpg
Société des papeteries méridionales	Isola del Liri (Caserte)	Papier d'emballage et pour oranges, cigarettes, impression de journaux, ouvrages de luxe, papier à écrire et à lettre, papier colorié, papier buvard et cartons.	Paris_1878_Italy_9.jpg
Sonzogno (G.- C.) et Cie	Milan, fabrique à Pella (Novare)	Papier en rouleaux et en rames.	Paris_1878_Italy_9.jpg
Tadini (F.)	Turin	Cire à cacheter de diverses qualités ; encres.	Paris_1878_Italy_9.jpg
Tartaglia (G.)	Florence	Spécimens de reliure ; un album en maroquin doré avec garde de parchemin enchâssé de pierreries, etc. ; un livre de prières relié dans le même forme ; six petits volumes de la collection Diamant, reliés en parchemin à mosaïque style du xve siècle.	Paris_1878_Italy_9.jpg
Airaghi et Boni	Milan	Ouvrages en terre cuite.	Paris_1878_Italy_9.jpg
Aleantarino (P.-A.)	Naples	Fruits artificiels en cire ; pièces d'anatomie et autres travaux en cire.	Paris_1878_Italy_9.jpg
Barducci (L.)	Florence	Spécimen d'encadistique sur une table.	Paris_1878_Italy_9.jpg
Bertini (E.)	Pise	Spécimens d'auto-litho-plastique sur porcelaine, teraillée et verre.	Paris_1878_Italy_9.jpg
Boni (A.)	Milan	Ouvrages en terre cuite.	Paris_1878_Italy_9.jpg
Bruno et Salomone	Rome	Travaux lithographiques et chromolithographiques ; album artistique à l'usage des lithographies.	Paris_1878_Italy_9.jpg
Capra (C.) et fils	Brescia	Ouvrages en lithographie.	Paris_1878_Italy_9.jpg
Dellavalle (A.)	Modène	Tableaux oléographiques (n° 6).	Paris_1878_Italy_9.jpg
Doyen frères	Turin	Carte postale du royaume d'Italie ; alphabet artistique pour les écoles ; reproductions chromolithographiques ; dessins et travaux au crayon ; gravures et travaux à la plume.	Paris_1878_Italy_9.jpg
Foggi (A.)	Florence	Gravures sur bois ; spécimen de sculpture sur bois.	Paris_1878_Italy_9.jpg
Frauenfelder (G.)	Paleme	Travaux lithographiques.	Paris_1878_Italy_9.jpg
Garnier Valletti (F.)	Turin	Fruits artificiels avec la dénomination respective pomologique, ampélographique, horticole et agricole.	Paris_1878_Italy_9.jpg
Lazzarini (C.)	Forli	Ouvrages en lithographie ; ornements style renaissance.	Paris_1878_Italy_9.jpg
Ministère des finances	Rome	Papiers valeurs fabriqués dans l'imprimerie du gouvernement.	Paris_1878_Italy_9.jpg
Smorti (P.) et Cie	Florence	Actions et papiers valeurs ; reproduction photolithographique.	Paris_1878_Italy_9.jpg
Spithöver, libraire	Rome	Chromolithographie.	Paris_1878_Italy_9.jpg
Talotti (J.-B.)		Ingénieur, directeur du musée industriel de Trapani. Fruits artificiels en albâtre de Volterra	Paris_1878_Italy_9.jpg
Terzi (A.)	Paleme	Deux chromolithographies ; album avec les huit premiers fascicules de l'ouvrage : la chapelle de Saint-Pierre dans le Palais-Royal de Paleme.	Paris_1878_Italy_9.jpg
Tarai (M.)	Bologne	Gravures à graphie sur cristal argenté et leurs reproductions.	Paris_1878_Italy_9.jpg
