Name	Place	Description	Pdf
Mognaini (Georges) et fils	Sienne	Cocons de la province de Sienne.	Paris_1867_Italy_55.jpg
Marcucci (Annibal),	Bibbiéna (Arezzo)	Cocons provenant de vers à soie, race du Cosentin.	Paris_1867_Italy_55.jpg
Santoolini (Egidus)	Montevarchi (Arezzo)	Cocons jaunes, verts, blancs du Japon et indigènes.	Paris_1867_Italy_55.jpg
Bintori (Marius)	Cortone (Arezzo)	Cocons de Cortone par des vers de Chili.	Paris_1867_Italy_55.jpg
Biscardi frères	Ceva (Cu-neo) Cocons.		Paris_1867_Italy_55.jpg
Coppelli (Renier)	Foligno	Cocons.	Paris_1867_Italy_55.jpg
Bruschetti (François)	Pé-rouse	Cocons.	Paris_1867_Italy_55.jpg
Montori (Joseph)	Teramo	Cocons de soie blanche du Japon.	Paris_1867_Italy_55.jpg
Passerí (Gabriel,)	Teramo	Cocons indigènes jaunes; cocons du Japon blancs.	Paris_1867_Italy_55.jpg
Vanzina (Joseph)	Leza (Novare)	Laines brutes.	Paris_1867_Italy_55.jpg
Ferrari (Joseph de)	Chiava-ri (Gênes)	Laines mérinos et de chèvres du Thibet.	Paris_1867_Italy_55.jpg
Bentivoglio (Ce Claude)	Modène	Laines indigènes, laines de races croisées.	Paris_1867_Italy_55.jpg
Boni (Joseph) et Cie	Arezzo	Laines noires de Zugo.	Paris_1867_Italy_55.jpg
Collacchioni (Cière J.-B.)	Borgo-San-Sepolcro (Arezzo-Florence)	Toisons de mérinos.	Paris_1867_Italy_55.jpg
Gori (comte Auguste de)	Sienne	Laines.	Paris_1867_Italy_55.jpg
Valle et Vanni	Sienna	Laines de Grosseto.	Paris_1867_Italy_55.jpg
Mognaini (Georges) et fils	Sienne	Laines mérinos de Badiola, laine métisse d'Alberese et de Mattei-raia.	Paris_1867_Italy_55.jpg
Traversí (Antoine)	Radico-fani (Sienne)	Laines brutes et fines.	Paris_1867_Italy_55.jpg
Marcucci (Annibal-Ugolin)	Bibbiena (Arezzo)	Laines blanches de métis, races de Pouille et de mérinos de Collacchioni (Toscane).	Paris_1867_Italy_55.jpg
Morí (Louis)	Macerata.	Laines du pays.	Paris_1867_Italy_55.jpg
Torella (prince de)	Foggia.	Laines.	Paris_1867_Italy_55.jpg
Vacenarella (Antoine)	Foggia.	Laines.	Paris_1867_Italy_55.jpg
Volpe (Constantin)	Foggia.	Laines.	Paris_1867_Italy_55.jpg
Pasqui (Gaëtan)	Forlí.	Houblon.	Paris_1867_Italy_55.jpg
Brasini frères	Forlí.	Anis de Forlí.	Paris_1867_Italy_55.jpg
Angelící (Henri)	Arezzo.	Moutarde.	Paris_1867_Italy_55.jpg
Minu (Candidé)	Bari.	Moutarde noire.	Paris_1867_Italy_55.jpg
Lega (Michel)	Bresighella (Ravenne)	Anis.	Paris_1867_Italy_55.jpg
Antonelli (Casimir)	Bari.	Anis.	Paris_1867_Italy_55.jpg
Ferri (Vito-Nicolas)	Bari.		Paris_1867_Italy_55.jpg
Luciani (Sébastien)	Bari.	Graine d'anís, de Cumin et de mou-tarde.	Paris_1867_Italy_55.jpg
Sous-commission de Ca-tane.		Graines de fenouil et de sénévé; feuilles et baies de laurier; ricin et racines de scamserméro.	Paris_1867_Italy_55.jpg
Baccagni (Bernard)	Bre-scia.	Plantes tinctoriales.	Paris_1867_Italy_55.jpg
Chérici (Joseph)	San-Se-pólcro (Arezzo)	Guède fermentée.	Paris_1867_Italy_55.jpg
Salvadori (Ce Louis)	Fermo.	Garance en gabo et en poudre.	Paris_1867_Italy_55.jpg
Comité de Caramanico	Chieti.	Noix de galle, vallonée et garance.	Paris_1867_Italy_55.jpg
Goríano (Augustin)	Cagliari.	Garance.	Paris_1867_Italy_55.jpg
Maselli (Antoine)	Foggia.	Garance.	Paris_1867_Italy_55.jpg
Del Cappellano (Raphaél)	Nola (Caserte)	Garance.	Paris_1867_Italy_55.jpg
Sideri (Auguste)	Naples.	Garance.	Paris_1867_Italy_55.jpg
Spinelli (Antoine)	Naples.	Garance.	Paris_1867_Italy_55.jpg
Vonwiller (D. et C.)	Naples.	Garancíne.	Paris_1867_Italy_55.jpg
Bellelli (Henry)	Capaccio (Salerno)	Racine de garance.	Paris_1867_Italy_55.jpg
Lanzara (Raphaél)	Salerno.	Racine de garance.	Paris_1867_Italy_55.jpg
