Name	Place	Description	Pdf
Belloni (Guy)	Milan	Ponts aeriens sur char a quatre roues	Paris_1900_Italy_38.jpg
Buffi (L.)	Florence, Viale Regina Margherita 5	Plâtre	Paris_1900_Italy_38.jpg
Buselli (J.) & fils	Querceta (Lucques)	Dessins de machines à travailler les marbres	Paris_1900_Italy_38.jpg
Cangialori (Philippe)	Turin	Asphalte artificiel	Paris_1900_Italy_38.jpg
Cantalupi (Jean)	Milan	Modèle	Paris_1900_Italy_38.jpg
Cianciafara (François)	Messine	Chaux hydraulique et ciment	Paris_1900_Italy_38.jpg
Entreprise Ricciardi Borelli & Mannajolo	Naples	Projets divers. Dessins	Paris_1900_Italy_38.jpg
Errante Florio (Pierre)	Messine	Chaux hydraulique	Paris_1900_Italy_38.jpg
Fabbri (Hippolyte)	Rome	Dalle en asphalte. Mémoire	Paris_1900_Italy_38.jpg
Falorni (Jean)	Incisa Valdarno (Florence)	Chaux et ciments	Paris_1900_Italy_38.jpg
Fedreghini (Junius)	Milan, Via Panfilo Castaldi, 1	Ciments	Paris_1900_Italy_38.jpg
Gabellini (Charles)	Rome	Travaux en granit artificiel en ciment armé	Paris_1900_Italy_38.jpg
Meucci (Antoine)	Rome	Ponzzolanes de Vicovaro	Paris_1900_Italy_38.jpg
Patricolo (Vincent)	Palerme	Moules en fer pour la fabrication des briques en ciment	Paris_1900_Italy_38.jpg
