Name	Place	Description	Pdf
Seravegna (Antoine) et Cie	Castiglione (Cuneo)	Organsins	Paris_1867_Italy_31.jpg
Denina (Vincent)	Verzuolo (Turin)	Organsins	Paris_1867_Italy_31.jpg
Kircher (Antivari)	Udine	Trame filée à la vapeur	Paris_1867_Italy_31.jpg
Battaggia (Alexis)	Venise	Soie ouvrée	Paris_1867_Italy_31.jpg
Marincola (Louis et Philipp) frères	Catanzaro	Soie organsin	Paris_1867_Italy_31.jpg
Primicerio et Cie	Catanzaro	Soie organsin	Paris_1867_Italy_31.jpg
Bianchi (Daniel)	Catanzaro	Organsin blanc et coloré; soie ordinaire; soie filée; tissues de soie	Paris_1867_Italy_31.jpg
Lodigiani (Jean)	 Côme	Soie noire et de différentes couleurs	Paris_1867_Italy_31.jpg
Rogani (François)	Milan	Soie gréége, ouvrée et teinte; soie à coudre gréége, ouvrée et teinte	Paris_1867_Italy_31.jpg
Cimbardi (Alexandre)	Milan	Soie à coudre	Paris_1867_Italy_31.jpg
Previtalli (Bonfiglio)	Vérone	Soie à coudre à poil d'or	Paris_1867_Italy_31.jpg
Ravizza (Joseph)	Novare	Tableaux tissés en soie	Paris_1867_Italy_31.jpg
Toniotti (Joseph)	Vercelli (Novare)	Tissus à la Jacquard	Paris_1867_Italy_31.jpg
Exposition collective de la chambre de commerce de Côme			Paris_1867_Italy_31.jpg
Agliate (César)		Taffetas noirs et de couleurs	Paris_1867_Italy_31.jpg
Bartoletti	Corti (Rampaldi)	Etoffes de soie	Paris_1867_Italy_31.jpg
Bellani frères		Etoffes blanche, jaune, boutun d'or et cerise pour tapisserie, dite apamulglioni	Paris_1867_Italy_31.jpg
Bianchi (Louis)		Etoffes de soie	Paris_1867_Italy_31.jpg
Brutti (Ange)		Etoffes de soie noir et de couleur	Paris_1867_Italy_31.jpg
Camoszi, Borghi et Pinchetti		Etoffes de soie assorties	Paris_1867_Italy_31.jpg
Cannati frères		Taffetas bleu, vert de lumière, clair de lune, noblesse noire	Paris_1867_Italy_31.jpg
Cantuagna et Mazzucchelli		Satin noir, taffetas grisaille, blanc, paille noir	Paris_1867_Italy_31.jpg
Corti (Jean-baptiste)		Etoffes de soie pour robes	Paris_1867_Italy_31.jpg
Curioni (Constant)		Satin, soie et mélangé de coton	Paris_1867_Italy_31.jpg
Rossi (Louis de)		Etoffes de soie, noblesse noire, taffetas de couleurs, robes rayées	Paris_1867_Italy_31.jpg
Ferrario et Bonanomi		Taffetas noir	Paris_1867_Italy_31.jpg
Guaita (G.) et Cie		Etoffes de soie noblesse, noire	Paris_1867_Italy_31.jpg
Magni Gaetan		Etoffes de soie couleurs, dite morallina	Paris_1867_Italy_31.jpg
Paravicini (Pierre et frères)		Taffetas noir	Paris_1867_Italy_31.jpg
Tagliabeni (Joseph)		Etoffes de soie, gaze changeante	Paris_1867_Italy_31.jpg
Tacca frères		Taffetas noir, etoffes pour parapluie, foulards	Paris_1867_Italy_31.jpg
Torinani (G.) et Pusher		Etoffes	Paris_1867_Italy_31.jpg
Travella et Cassella		Taffetas noir et de couleur	Paris_1867_Italy_31.jpg
Bossi (Antoine) et Cie	Milan	Mouchoirs de soie et de soie et coton; écharpes de soie; tissue de soie avec portrait; gilets laine et coton; soie et coton	Paris_1867_Italy_31.jpg
Gaspfelder (Antoine)	Bergame	Foulards de soie, pièces, foulards gréges	Paris_1867_Italy_31.jpg
Agnino (Jean-Baptiste) et frères	Venise	Etoffes de soie brochées	Paris_1867_Italy_31.jpg
Lazzeri (Rose)	Lucques	Voile de soie pour moustiquaire	Paris_1867_Italy_31.jpg
Malpelhi (Mme Vve Cécile)	Camerino (Macérata)	Tissu de soie blanche, rouge et verte, fabriqué à main; fils de soie, gaze de soie tissée à la main	Paris_1867_Italy_31.jpg
Sarti (Léonidas)	Camerino (Macérata)	Tissus de soie de couleur	Paris_1867_Italy_31.jpg
Pirami (Marie)	Camerino (Macérata)	Voile de soie écrue	Paris_1867_Italy_31.jpg
Giannini (Frédéric)	Naples	Satin à ramages	Paris_1867_Italy_31.jpg
Haas (Philippe) et fils	Milan	Velours impérial; damas	Paris_1867_Italy_31.jpg
Solan (frères)		Brocart; brocarts; satins brochés; damas pour meubles	Paris_1867_Italy_31.jpg
Sartori (Bartolo)	Venise	Velours de soie	Paris_1867_Italy_31.jpg
