Name	Place	Description	Pdf
Jona frères Feu Donato	Camul	 NA	Paris_1900_Italy_123.jpg
Jovene Nicolas & fils	Naples-Corrieri, Santa-Brigida, 9	Vins rouge et blanc	Paris_1900_Italy_123.jpg
Laborel Melini Adolphe	Florence, rue Calzaioli	Vins	Paris_1900_Italy_123.jpg
Lami Victor	Pise	Vin Chiuti 1798	Paris_1900_Italy_123.jpg
Lavagnino Philippe	Alexandrie, Gènes, Ricaldone	Vins blancs et rouges	Paris_1900_Italy_123.jpg
Leonardi Calanna Joseph	Acireale (Catane)	Vins rouges	Paris_1900_Italy_123.jpg
Lottaringhi Della Stufa Marquis Antonin	Florence	Vin noir	Paris_1900_Italy_123.jpg
Macario Charles & fils	Cartell'Alfero (Asti)	Barbera 1891, 1895, 1896, 1897, 1898, 1899 ; Grignolino 1897 et 1899	Paris_1900_Italy_123.jpg
Maggiora Clément	Turin, rue Garibaldi, 34	Vins	Paris_1900_Italy_123.jpg
Mannino Anthony	Catane	Vin blanc	Paris_1900_Italy_123.jpg
Marcaccini Ubalde	Morciano Forli	Vin 1898	Paris_1900_Italy_123.jpg
Mirto Seggio P.A.	Palermo ou Monreale	Vins blancs et rouges	Paris_1900_Italy_123.jpg
Moisello Émile	Gènes, Cornigliano Ligure, Coronata	Vin de Coronata	Paris_1900_Italy_123.jpg
Moreggia Dominique & fils	Naples	Vins	Paris_1900_Italy_123.jpg
