Name	Place	Description	Pdf
ANGELIS (Sébastien de)	Naples, galléra Princepe.	Bronzes d'art.	Paris_1889_Italy_19.jpg
BASTIANZETTI (Donato)	Udine	Clochea et sonnettes artistiques en bronze.	Paris_1889_Italy_19.jpg
DE POLI (François)	Vittorio (Vénétie).	Clocheo en bronze avec bas-reliefs.	Paris_1889_Italy_19.jpg
ERRICO (Saverio)	Naples, strada Capiolinonte, 75	Bronzes d'art.	Paris_1889_Italy_19.jpg
LOMAZZI (Gh.)	Milan.	Jardinière en bronze.	Paris_1889_Italy_19.jpg
NOGARA (Isaie)	 Venise, cersino dell' Ansccta.	Lustres en bronze.	Paris_1889_Italy_19.jpg
PANDIANI (Antonio)	Milan, via Piasiolini, 15.	Statucttes, bustes, sandaleibres, lampes.	Paris_1889_Italy_19.jpg
PIN Frères et Cie	Venise	Clocheo en bronze ornceo en reliefs.	Paris_1889_Italy_19.jpg
TANZINI (Adam)	Sicue.	Bronzes d'art.	Paris_1889_Italy_19.jpg
Usine 300ppérativc « Archimède »	Milan, via Croceilisso, 15.	Travaux en fer forgé ot autres métaux.	Paris_1889_Italy_19.jpg
