Name	Place	Description	Pdf
Morabito	Naples	Objets en corail, en lave, coquillages et en or.	Paris_1878_Italy_31.jpg
Morelli (A.)	Rome	Orfèvrerie, joaillerie, émaux.	Paris_1878_Italy_31.jpg
Panerai (E.)	Florence	Objets en turquoises et perles.	Paris_1878_Italy_31.jpg
Piscione (R.-N.)	Naples	Objets en corail.	Paris_1878_Italy_31.jpg
Ricci (L.) et fils	Florence	Bijoux en turquoise montés sur or et sur argent.	Paris_1878_Italy_31.jpg
Salvo (C.) et fils	Gênes	Filigrane d'argent, d'argent doré et d’or.	Paris_1878_Italy_31.jpg
Santamaria (P.)	Rome	Filigrane, bijouterie romaine.	Paris_1878_Italy_31.jpg
Sandrini (A.)	Florence	Petits objets en mosaïque.	Paris_1878_Italy_31.jpg
Scarpini (J.)	Florence	Médaillons, croix en mosaïque.	Paris_1878_Italy_31.jpg
Searscill (N.)	Florence	Mosaïques.	Paris_1878_Italy_31.jpg
Stella (J.)	Naples	Collection de coquilles sarloines et roses; collection de laves du Vésuve.	Paris_1878_Italy_31.jpg
Torrini (J.)	Florence	Travaux en mosaïque; médaillons.	Paris_1878_Italy_31.jpg
Trifari (L.)	Naples	Travaux en brillants.	Paris_1878_Italy_31.jpg
Ugolini (J.) et cя	Florence	Bijouterie en mosaïque.	Paris_1878_Italy_31.jpg
Vandelli et Lodi	Modène	Travaux en argent; pour hommes et pour femmes.	Paris_1878_Italy_31.jpg
Venturini (P.)	Ascoli Piceno	Orfèvrerie.	Paris_1878_Italy_31.jpg
Vichi (C.)	Florence	Colliers pour dames en mosaïque montés en or et en argent.	Paris_1878_Italy_31.jpg
Vichi (F.)	Florence	Objets en mosaïque.	Paris_1878_Italy_31.jpg
Bertoldo (J.)		Un fusil à répétition.	Paris_1878_Italy_31.jpg
Cominazzi frères	Gardone Val Trompia (Brescia)	Un canon damasquiné transformé au chargement par la culasse (système Lefaucheux), pour la chasse.	Paris_1878_Italy_31.jpg
Frattola (S.)		Un fusil; une crosse.	Paris_1878_Italy_31.jpg
Gasparrini (J.)	Rome	Armes de nouveaux modèles, un fusil et deux pistolets.	Paris_1878_Italy_31.jpg
Musso (M.)	Gênes	Fusil de chasse à double canon, se chargeant par la culasse, système de l'exposant.	Paris_1878_Italy_31.jpg
Varriale (P.)	Naples	Deux fusils à deux canons, pour la chasse, système central, avec fermeture à ressort; une carabine à percussion lafaiylae, système central; un fusil de chasse avec canon ancien de la fabrique royale de Naples, transformé au chargement par la culasse; fusil se chargeant par la culasse avec percussion centrale.	Paris_1878_Italy_31.jpg
Venditti (P.)	Fisciano (Salerne)	Un pistolet mitrailleur à vingt-six coups; deux pistolets à répétition à neuf coups; petit pistolet se chargeant par la culasse.	Paris_1878_Italy_31.jpg
Zanotti (J.)	Bologne	Fusil de chasse à quatre canons se chargeant par la bouche avec une seule gâchette; fusil de chasse à quatre canons se chargeant par la culasse, invention de l'exposant; fusil de chasse à quatre canons à percussion et se chargeant par la culasse.	Paris_1878_Italy_31.jpg
Franzi (F.)	Milan	Caisses, valises, gibecières et sacs de voyage.	Paris_1878_Italy_31.jpg
