Name	Place	Description	Pdf
Schneiderff (R.)	Bagno a Ripoli (Florence)	Vin Vernalese, rouge 1867, 1869, 1873, 1874, 1875; vin blanc de table 1870	Paris_1878_Italy_80.jpg
Sinsicalchi (Dr J.)	Avellino	Vin rouge de table	Paris_1878_Italy_80.jpg
Société d’assurances générales	Venise	Vin Raboso 1874	Paris_1878_Italy_80.jpg
Société œnologique parthenopéenne	Naples	Vin Pompéi rouge; vin blanc	Paris_1878_Italy_80.jpg
Société œnologique scandianaise	Scandiano (Reggio Emilia)	Vin vieux demi-sec; vin doux	Paris_1878_Italy_80.jpg
Société œnologique trévisienne	Trévise	Vin vermout	Paris_1878_Italy_80.jpg
Société œnologique de Trévise	Trévise (Représentant : M. CARPEUX, docteur) à Conegliano (Trévise) : Vin Raboso rouge, de table, 1874; vin de Trévise, de table, 1874; vin Verdiso blanc, 1873; vin prosecco blanc, 1877; vin prosecco blanc, de dessert, 1874		Paris_1878_Italy_80.jpg
Société œnologique valtellinaise	Sondrio	Vin Sassella fin, sec, 1874; vin Grumello, fin, sec, 1874; vin Inferno, 1874	Paris_1878_Italy_80.jpg
Société œnologique véronaise	Vérone	Vin blanc Garganego, 1875; vin Corvino, Valpolicella, 1874, 1875, 1876; vin Corvino, Valpaitena, 1874, 1875, 1876	Paris_1878_Italy_80.jpg
Société Union œnophile	Asti (Alexandrie)	Vin de Champagne, 1876; vin Muscat Champagne; vin Barloj; vin passito, vin passito de table	Paris_1878_Italy_80.jpg
Société Union œnophile	Asti (Alexandrie)	Vin vermout	Paris_1878_Italy_80.jpg
Solarino (J.) et Melchiorre père et fils	Modica (Syracuse)	Alcool; rhum au quinquina.	Paris_1878_Italy_80.jpg
Sona (C.)	Alexandrie	Vin vermout	Paris_1878_Italy_80.jpg
Sora (Duc de)	Foligno (Pérouse) (Représentant : M. A. MAINFURT)	Vin de table, 1876	Paris_1878_Italy_80.jpg
Spano (M.) et Cie	Marsala (Trapani)	Vin Marsala, qualité d’Italie; vin qualité d'Angleterre; vin supérieur S. O. M.	Paris_1878_Italy_80.jpg
Strutt (A.)	Rome	Vin de Civitatalvinia, rouge, 1871, 1873, 1875; vin blanc 1874	Paris_1878_Italy_80.jpg
Taceolea (C.)	Uliveto (Pise)	Vin vermout	Paris_1878_Italy_80.jpg
Tani (F.M. et Cie)	Rome	Vermout de Frascati	Paris_1878_Italy_80.jpg
Tartuferi (A.)	Fabriano (Ancône)	Vin Pitiot au miel; rossolis au miel	Paris_1878_Italy_80.jpg
Ternavasio Russo	Brà (Cûni)	Vins de table ordinaires	Paris_1878_Italy_80.jpg
Toaldi (Dr A.)	Schio (Vicence), député au Parlement	Vin Pinot et Riessing, 1874; vin Carbenet et Riessing, 1874; vin Riessing blanc, 1874	Paris_1878_Italy_80.jpg
Torlonia (Prince)	Savignano (Forli) (Représentant : M. RIPPEY)	Vin Sangiovese de la vigne Selvetta	Paris_1878_Italy_80.jpg
Tosetti et Musso	Asti (Alexandrie)	Vin vermout	Paris_1878_Italy_80.jpg
Tosi (Ingénieur L.)	Rimini (Forli)	Vin rouge de table Sangiovese.	Paris_1878_Italy_80.jpg
Travostini (Notaire A.)	Gattinara (Novare)	Vin Spanna, 1876	Paris_1878_Italy_80.jpg
Tritta (D.)	Trani (Bari)	Vin muscat blanc; vin Zagarase rouge, idem Nennaveco	Paris_1878_Italy_80.jpg
Vagliasindi Piccolo (D.)	Randazzo (Catane)	Vin rouge ordinaire de table, deux qualités.	Paris_1878_Italy_80.jpg
