Name	Place	Description	Pdf
Fiore (de frères)	Moida (Catanzaro)	Coton indigene	Paris_1867_Italy_53.jpg
Riso (Alphonse de)	Catanzaro	Coton brut et égrené	Paris_1867_Italy_53.jpg
Riso (Vitalien de)	Catanzaro	Coton indigine égrené	Paris_1867_Italy_53.jpg
La Pietra (Dominique)	Ca- rigliano Calabro (Cosenza)	Coton grège	Paris_1867_Italy_53.jpg
Giannuzzi Savelli (Hercule, princes de Cerenzia)	Cotrone (Catanzaro)	Coton brut et égrené de la Nouvelle-Orléans	Paris_1867_Italy_53.jpg
Mazza (Nicolas)	Borgio (Catanzaro)	Coton	Paris_1867_Italy_53.jpg
Mazzitelli (Joseph)	Tropea (Catanzaro)	Coton	Paris_1867_Italy_53.jpg
Evêque de Squillace (Mgr I)	Catanzaro	Coton indigene	Paris_1867_Italy_53.jpg
Zannone (François-Xavier)	Saint-André (Catanzaro)	Coton brut et égrené	Paris_1867_Italy_53.jpg
Sous-Commission de Catanzaro		Cotons	Paris_1867_Italy_53.jpg
Satriano (Philippe)	Briatico (Catanzaro)	Cotons bruts et égrenés	Paris_1867_Italy_53.jpg
Veraldi Gironda (César)	Catanzaro	Cotons bruts	Paris_1867_Italy_53.jpg
Barbolace [Joseph d)	Rossorons (Calabre ultérieure)	Coton brut de Siam, de la Nouvelle-Orléans, de Sea-Island; graines et plantes	Paris_1867_Italy_53.jpg
Grossi (Jean-Baptiste)	Locellalonia (Calabre ulteriere)	Coton épluché par la machine Platt	Paris_1867_Italy_53.jpg
Felice-Grotopapa (chevalier de)	Galatron (Calabre ulterieur)	Coton brut indigene	Paris_1867_Italy_53.jpg
Cappellieri (Joseph)	Locellalonia (Reggio dc Calabre)	Coton brut et épluche	Paris_1867_Italy_53.jpg
Municipalité de Catane		Cotons	Paris_1867_Italy_53.jpg
Iannclin (baron Henri)	Palerme	Cotons	Paris_1867_Italy_53.jpg
Sambuy (Émile)	Cuneo	Lin en tige, roui, tille et peigné, chauvre en tige, roui, tillé et peigne	Paris_1867_Italy_53.jpg
Marcetli (Octave)	Gallale (Turin)	Lin brut, roui, lin ouvré, graine de Iin	Paris_1867_Italy_53.jpg
Zanetti (Edouard)	Cameri (Turin)	Lins, graine de colza et de foin	Paris_1867_Italy_53.jpg
Crilloue (Dominique)	Alexandrie	Lin de Villanova	Paris_1867_Italy_53.jpg
Guidi (Jean)	Novare	Lin	Paris_1867_Italy_53.jpg
MarteUi (Octavo)	Gallaler (Novare)	Lin brut roui, travaillé et semence de lin	Paris_1867_Italy_53.jpg
Venturoli (Clet)	Padoue	Lin en tige et graine de fin	Paris_1867_Italy_53.jpg
Clizzoli (Louis)	Crema (Cre'mone)	Lin de Riga en tiges, tifle et carde	Paris_1867_Italy_53.jpg
Caporali (Achille)	Picenneg, Cascina Breda (Cremone)	Lin vert indien broyé et méles de lin peigné	Paris_1867_Italy_53.jpg
Carioni (Antone)	Crema (Crémone)	Lin d'été tille	Paris_1867_Italy_53.jpg
Chizzoli (Antone)	Crema (Crémone)	Lin d'été indigène broyé tille et peigne, étou[pes; graine de lin de Rigi	Paris_1867_Italy_53.jpg
Gianozzi (Ange et Ferdinand)	Corleano (Crémone)	Lins dc Riga ct'indigene, préparé, peigné et repigne; graine et farine de lin	Paris_1867_Italy_53.jpg
Donati (Jean et Françoia, frères)	Crema (Crémone)	Lin d'hiver et d'été	Paris_1867_Italy_53.jpg
Depoli (François)	Acquanagna (Crémoae)	Lin en tige, lin peigné	Paris_1867_Italy_53.jpg
Gosi (Ludovic)	Crémone	Lin indigène	Paris_1867_Italy_53.jpg
Société économique agricole de Pérouse	Foh'gn	Lin et chanvre	Paris_1867_Italy_53.jpg
Bellini (Jean)	Brescia	Lin	Paris_1867_Italy_53.jpg
Burtoni (Louis)	Crema (Crémone)	Lin de Riga broyé	Paris_1867_Italy_53.jpg
Direetti (César)	Brescia	Lin et graine de lin	Paris_1867_Italy_53.jpg
Morelli frères	Brescia	Lin d'hiver et de mars	Paris_1867_Italy_53.jpg
Serafini (Philippe)	Crema (Crémone)	Lms de crème et de monographie du lin	Paris_1867_Italy_53.jpg
Casertano (Prisco)	Caserl-a	Lin	Paris_1867_Italy_53.jpg
