Name	Place	Description	Pdf
Eboli (Nicolas)	Bari		Paris_1867_Italy_96.jpg
Fritta (Dominique)	Trani (Bari)	Erbetta (liqueur); vinaigre de muscat	Paris_1867_Italy_96.jpg
Varolà (Louis)	Bari		Paris_1867_Italy_96.jpg
Sous-Commission de Caltanissetta (Torrtoreci Carmel)		Curaçao	Paris_1867_Italy_96.jpg
Celano (Gaétan)	Vasto (Chieti)	Fruits à l'eau-de-vie	Paris_1867_Italy_96.jpg
Bolognesi (Angelo)	Saumur (Maine-et-Loire)	Liqueurs obtenues avec des vins de Ravenne	Paris_1867_Italy_96.jpg
Salomon (Antoine)	Mondovi Breo (Cuneo)	Vermout, ratafia et esprit de cerise	Paris_1867_Italy_96.jpg
Canton (Jules)	Turin	Vermout	Paris_1867_Italy_96.jpg
Cinzano (François)	Turin	Vermout et liqueurs	Paris_1867_Italy_96.jpg
Cora (Joseph et Louis) frères	Turin	Vermout et liqueurs	Paris_1867_Italy_96.jpg
Martini-Sala et Cie	Turin	Liqueurs et vermout de vin blanc d'Asti	Paris_1867_Italy_96.jpg
Ulrich (Dominique)	Turin	Drogues, liqueurs et vinaigres aromatiques	Paris_1867_Italy_96.jpg
Boratto (Dominique)	Alexandrie	Vermout	Paris_1867_Italy_96.jpg
Michel et Ambrosii (Michel de)	Alexandrie	Vermout	Paris_1867_Italy_96.jpg
Florio frères	Asti (Alexandrie)	Vermout	Paris_1867_Italy_96.jpg
Florio (Michel)	Asti	Vermout	Paris_1867_Italy_96.jpg
Vittore (Félix)	Milan	Vermout et liqueurs	Paris_1867_Italy_96.jpg
Seriga (Joseph)	Cagliari	Vermout	Paris_1867_Italy_96.jpg
Ammannati (Raphaël)	Pistoie (Florence)	Vermout mousseux	Paris_1867_Italy_96.jpg
Banci (Sybruis)	Florence	Vermout	Paris_1867_Italy_96.jpg
Bargioni (Joseph)	Florence	Vermout	Paris_1867_Italy_96.jpg
Cenci (Joseph)	Prato (Florence)	Vermout et vinaigre vieux	Paris_1867_Italy_96.jpg
Mariani (Napoléon)	Florence	Vermout	Paris_1867_Italy_96.jpg
Piccardi (Joseph)	Florence	Vermout	Paris_1867_Italy_96.jpg
Tofanari (Joseph)	Florence	Vermout	Paris_1867_Italy_96.jpg
Viciani (Pellegrino)	Florence	Vermout	Paris_1867_Italy_96.jpg
Dusmet (Anne)	Sienne	Vermout	Paris_1867_Italy_96.jpg
Samuelli (Michel)	Sienne	Vermout	Paris_1867_Italy_96.jpg
Paolini (François)	Montepulciano	Vermout	Paris_1867_Italy_96.jpg
Bigonzelli (Benigne)	Fabriano (Ancône)	Vermout	Paris_1867_Italy_96.jpg
Grassi (Louis)	Nola (Caserta)	Vermout	Paris_1867_Italy_96.jpg
Santifoller (Joseph)	Bergame	Essence de vinaigre	Paris_1867_Italy_96.jpg
Zigliani (Camille)	Bergame	Extrait et essence de vinaigre; vinaigre	Paris_1867_Italy_96.jpg
Canago (Louis)	Brescia	Vinaigre de vin	Paris_1867_Italy_96.jpg
Scarpatelli (Georges)	Brescia	Vinaigre de vin	Paris_1867_Italy_96.jpg
Monardo de Rizzoni (Louis)	Vérone	Vinaigre balsamique	Paris_1867_Italy_96.jpg
Laschi (Maurice)	Vicence Vinegar, moutarde		Paris_1867_Italy_96.jpg
Bornia frères	Trévise	Vinaigre et essence de vinaigre	Paris_1867_Italy_96.jpg
Guarnaschelli (Jean)	Broni (Pavie)	Vinaigre balsamique	Paris_1867_Italy_96.jpg
Guffanti (Aléxandre)	Bo-vescala (Pavie)	Vinaigre	Paris_1867_Italy_96.jpg
Gicera (François) et Cie	Crémone	Acide acétique; vinaigre; glucose de framboiser	Paris_1867_Italy_96.jpg
Cottarelli (Léonard)	Vescovato (Crémone)	Vinaigre	Paris_1867_Italy_96.jpg
Mengotto (Pierre)	Padoue	Vinaigre	Paris_1867_Italy_96.jpg
Rossi-Deodoti (Joseph)	Reggio (Emilie)		Paris_1867_Italy_96.jpg
Bellentani (Joseph)	Modène	Vinaigre balsamique	Paris_1867_Italy_96.jpg
Bellucei (Jean-Baptiste)	Modène	Vinaigre balsamique	Paris_1867_Italy_96.jpg
Ferrari (Joseph)	Modène	Vinaigre balsamique	Paris_1867_Italy_96.jpg
