Name	Place	Description	Pdf
Fumagalli	Milan	Amidon et glucose	Paris_1867_Italy_60.jpg
Anselmi et Maransi	Milan	Crème de tartre brute	Paris_1867_Italy_60.jpg
Chambre de commerce de Ferrare		Crème de tartre; savons communs; circ.	Paris_1867_Italy_60.jpg
Rizzi (Maffeo)	Sarnico (Bergame)	Crème de tartre brute, raffiné et en grumeaux; tartrate de chaux.	Paris_1867_Italy_60.jpg
Grassin-Gentil (Joseph)	Padoue	Crème de tartre	Paris_1867_Italy_60.jpg
Conti (Honoré)	Fermo (Ascoli)	Crème de tartre.	Paris_1867_Italy_60.jpg
Gaspard (Michel)	Teramo	Crème de tartre.	Paris_1867_Italy_60.jpg
Tucci (Alexandre)	Chieti	Crème de tartre.	Paris_1867_Italy_60.jpg
Tucci (Raphaël)	Chieti	Crème de tartre.	Paris_1867_Italy_60.jpg
Cianci (Justin)	Nasto (Chieti)	Crème de tartre brute et raffinée.	Paris_1867_Italy_60.jpg
Fusco (Casimir)	Castellamare (Naples)	Crème de tartre brute.	Paris_1867_Italy_60.jpg
Nicotera (Louis)	Vola (Casseria)	Crème de tartre brute.	Paris_1867_Italy_60.jpg
Chambre de Commerce des arts	Palerme	Tartre brut.	Paris_1867_Italy_60.jpg
Ruggieri (Vincent)	Bari	Tartre.	Paris_1867_Italy_60.jpg
Travia frères	Reggio de Calabre	Crème de tartre.	Paris_1867_Italy_60.jpg
Vazzana (Pascal)	Reggio de Calabre	Crème de tartre brute et raffinée.	Paris_1867_Italy_60.jpg
Anfengo frères	Savone	Savons fabriqués avec des huiles d'olives.	Paris_1867_Italy_60.jpg
Massucohetti	Turin	Savons.	Paris_1867_Italy_60.jpg
Del Cerè (Antoine) et Cie	Venise	Savons.	Paris_1867_Italy_60.jpg
Pinchetti (Jean)	Forli	Savons.	Paris_1867_Italy_60.jpg
Conti (E.) et fils	Livourne	Savons.	Paris_1867_Italy_60.jpg
Leone (Mathieu)	Livourne	Savons marbré, rouge et de couleurs.	Paris_1867_Italy_60.jpg
Nanni (Raphaël)	Cascina (Pise)	Savons blanc, marbré, bleu et rouge.	Paris_1867_Italy_60.jpg
Guasti (Félix)	Prato (Florence)	Savon tendre, par les procédés de N. Gazzeri de Florence.	Paris_1867_Italy_60.jpg
Marco (Louis de)	Naples	Savons.	Paris_1867_Italy_60.jpg
Comovais (Félix)	Naples	Savons de toilette.	Paris_1867_Italy_60.jpg
Dutto (Joseph)	Cuneo	Bougies de cire.	Paris_1867_Italy_60.jpg
Lanza frères	Turin	Acide stéarique; bougies stéariques; savon d'acide oléique.	Paris_1867_Italy_60.jpg
Gambarova (Joseph)	Verceil	Bougies et cierges.	Paris_1867_Italy_60.jpg
Scudellari (Dominique)	Vérone	Bougies de cire.	Paris_1867_Italy_60.jpg
Becali (Joseph) et Gavazzi (héritiers)	Venise	Cire blanchie en granzolo; pains et bougies de cire.	Paris_1867_Italy_60.jpg
Ivandich (A.-L.)	représenté par M. Jean Ivancich, à Venise	Bougies de cire.	Paris_1867_Italy_60.jpg
Gaviano (Augustin)	Cagliari	Cire jaune et blanche feuilletée; bougies de cire à modeler.	Paris_1867_Italy_60.jpg
Bancalari frères	Chiavari	Cire blanchie; bougies de cire.	Paris_1867_Italy_60.jpg
Serventi (Héritiers)	Parme	Bougies de cire blanchie et cire en granzolo.	Paris_1867_Italy_60.jpg
Romagnoli (Louis)	Forli	Cire blanchie et travaillée.	Paris_1867_Italy_60.jpg
Carobbi (Jules)	Florence	Bougies de cire au blanc de baleine et stéariques; objets de fantaisie de cire coloriée; pains de cire, de blanc de baleine et de stéarine.	Paris_1867_Italy_60.jpg
Tavolacci (Jean-Baptiste)	Foligno	Bougies de cire.	Paris_1867_Italy_60.jpg
Manni (Pantaléon)	Vasto (Chieti)	Cire jaune en pains; bougies.	Paris_1867_Italy_60.jpg
Manganoni (Louis)	Milan	Bougies stéariques et stéarine.	Paris_1867_Italy_60.jpg
Fabrique de bougies stéariques de Mira	Venise	Stéarine en pain, bougies stéariques et savons.	Paris_1867_Italy_60.jpg
