Name	Place	Description	Pdf
Bornati (J.)	Brescia	Gourolles pour machines; ajoutées sans couture par un système chimique mécanique.	Paris_1878_Italy_46.jpg
Buonanno (F.)	Solofra (Avellino)	Cuirs.	Paris_1878_Italy_46.jpg
Capretti (P.)	Brescia	Cuirs traités par la noix de galle et par l'écorce de chêne; veau imperméable, cylindré et ciré.	Paris_1878_Italy_46.jpg
Casarino (M.)	Gênes	Peaux des abattoirs de Gênes et de Buenos-Ayres.	Paris_1878_Italy_46.jpg
Cerletti (L.)	Chiavenna (Sondrio)	Cuirs pour sellier; peaux de mouton; veau en grain.	Paris_1878_Italy_46.jpg
Corica (R.)	Messine	Cuirs pour semelle.	Paris_1878_Italy_46.jpg
Cremonini frères	Crevalcuore (Bologne)	Cuirs travaillés, brillants et mats.	Paris_1878_Italy_46.jpg
D'Amico Litterio	Messine	Demi-cuir tanné.	Paris_1878_Italy_46.jpg
Deleuca (P.) et Cie	Turin	Peaux diverses provenant des abattoirs de Turin.	Paris_1878_Italy_46.jpg
Durio frères	Turin	Cuir blanc pour semelle, rouge à l'instar baudrier; cuir pour courroies.	Paris_1878_Italy_46.jpg
Durio (J.)	Turin	Peaux diverses.	Paris_1878_Italy_46.jpg
Eredi d'Isaia Norsa	Mantoue	Deux demi-peaux de taureaux pour servir à faire des semelles.	Paris_1878_Italy_46.jpg
Fiorio frères	Turin	Peaux tannées d'agneau et de chevreau blanches et colorées.	Paris_1878_Italy_46.jpg
Gargani (M.)	Legnaia (Florence)	Peaux de mouton et de veau.	Paris_1878_Italy_46.jpg
Gaviano (A.)	Lanusei (Cagliari)	Tissu de poil de chèvre.	Paris_1878_Italy_46.jpg
Gerlin (S.)	Venise	Echantillons de cuirs et de peaux.	Paris_1878_Italy_46.jpg
Giannantonj (T.)	Ostiglia (Mantoue)	Cuirs.	Paris_1878_Italy_46.jpg
Gilardini (J.)	Turin	Cuir pour semelle et pour la sellerie; peaux de vache.	Paris_1878_Italy_46.jpg
Loteta (G.)	Messine	Un morceau de semelle de Buenos-Ayres de poids fort et de poids moyen; un morceau de semelle des abattoirs de Sicile.	Paris_1878_Italy_46.jpg
Marini (D') (Chevalier E.)	Naples	Peau de boeuf pour semelle.	Paris_1878_Italy_46.jpg
Musumeci (D.)	Catane	Peaux tannées.	Paris_1878_Italy_46.jpg
Narizzano frères et Ghersi	Gênes	Cuirs pour cordonnerie et pour courroie; peaux de veau et de chèvre chagrinées et cylindrées; peaux de mouton préparées de différentes manières.	Paris_1878_Italy_46.jpg
Paoli (G.) et Hallin (A.)	Prato (Florence)	Peaux d'agneau et de chevreau pour fourrures et pour gants.	Paris_1878_Italy_46.jpg
Paroni (A.)	S. Croce Sull'Arno (Florence)	Peaux de veau, de cheval, de petite vache, travaillées de différentes manières.	Paris_1878_Italy_46.jpg
Pugelli (A.)	Domaso (Côme)	Peau rendue imperméable à moitié d'épaisseur.	Paris_1878_Italy_46.jpg
Ravenna (L. et S.)	Rovigo	Peaux de boeuf et veaux blanches tannées.	Paris_1878_Italy_46.jpg
Righetti (L.)	Trevise	Cordes harmoniques.	Paris_1878_Italy_46.jpg
Rivolin (J.)	Chatillon (Turin)	Veaux cirés et blancs.	Paris_1878_Italy_46.jpg
Ruffini (G.-B.)	Naples	Cordes harmoniques à boyaux.	Paris_1878_Italy_46.jpg
Snechetta (S.)	Bologne	Veaux, petites vaches, cuirs.	Paris_1878_Italy_46.jpg
