Name	Place	Description	Pdf
Société anonyme des terres jaunes du mont Amiata	Sienne	Terres jaunes du mont Amiata, appelées communément terres de Sienne.	Paris_1878_Italy_36.jpg
Société anonyme du domaine et des mines de cuivre de Terriccio	Pise	Représentée par son directeur MAYR (Chevalier H.). -- Minerais de cuivre et carte générale des mines de Terriccio.	Paris_1878_Italy_36.jpg
Société anonyme pour l'aluminie et l'alun romain	Allumiere (Rome)	Plan général de l'établissement d'Allumiere.	Paris_1878_Italy_36.jpg
	Florence	Échantillons de charbon de bois naturel de Castelnuovo, près San Giovanni (Valdarno supérieur).	Paris_1878_Italy_36.jpg
Société des mines de Poggio Alto	Florence	Minerais et autres produits de Poggio Alto.	Paris_1878_Italy_36.jpg
Société des mines sulfatées de Romagne	Bologne	Soufre brut et raffiné; minerais de soufre; fleur de soufre; soufre en bâton, et fil de soufre.	Paris_1878_Italy_36.jpg
Société générale des pierres lithographiques de Diano Marina	Pôrtô Maurizio	Échantillons de pierres lithographiques.	Paris_1878_Italy_36.jpg
Société générale des soufres	Brescia	Soufre en bâtons et en pains; fleur de soufre; soufre noir; soufre en poudre pour la vigne.	Paris_1878_Italy_36.jpg
Société industrielle italienne pour l'exploitation des mines de Murlo	Modeni (Sienne)	Échantillons de charbon de bois naturel de Murlo.	Paris_1878_Italy_36.jpg
Société minéralogique Appenninig, Nicetora et Cie		Minerai de soufre du territoire de Contursi; soufre en pain et en poudre; asphalte naturel.	Paris_1878_Italy_36.jpg
Taramelli (F.)	Pavie	Document, professeur de géologie à l'Université royalo de Pavie. -- Atlas de six grandes cartes coloriées, représentant les terrains tertiaires et sous-tertiaires des Alpes orientales.	Paris_1878_Italy_36.jpg
Ulrich (D.)	Turin	Amiante travaillé.	Paris_1878_Italy_36.jpg
Vezzoni (A.)	Mantoue	Fers pathologiques pour chevaux.	Paris_1878_Italy_36.jpg
Villa Pernice	Milan	Chaudiere de cuivre battue avec la masse.	Paris_1878_Italy_36.jpg
Vittone (J.)	Turin	Kaolin à l'état naturel et lavé pour fabriques de papier.	Paris_1878_Italy_36.jpg
Zamara (J.)	Brescia	Fer naturel et fondu de la mine de Regina Zoje di Pezzaze, près Brescia; fonte obtenue de ce minerai par le charbon de bois.	Paris_1878_Italy_36.jpg
Zamparini (F., ingénieur)	Aliavilla (Avellino)	Soufre brut et purifié des mines d'Altavilla Irpina.	Paris_1878_Italy_36.jpg
Zolesi (J.)	Gênes	Analyses, decrets, observations, descriptions, etc., relatifs au pétrole et à l'eau bromo-asilo-iodurée de Rivanazzano (Pavie); échantiillons de pétrole de Rivanazzano.	Paris_1878_Italy_36.jpg
Direction de l'agriculture	Rome	Collection illustrée et explicative des produits forestiers.	Paris_1878_Italy_36.jpg
Pôrecar (Baron A.)	Palermo	Collection des différents produits des industries forestières.	Paris_1878_Italy_36.jpg
