Name	Place	Description	Pdf
Mundo (Janvier)	Naples	Dessin d'un bateau sous-marin de guerre, machines de guerre. (Voir cl. 33, no 000.)	Paris_1867_Italy_80.jpg
Exposito (Ferdinand)	Naples	Instrument pour decrire la marche et la direction des navires, dit odographe.	Paris_1867_Italy_80.jpg
Novi (Joseph)	Naples	Jaune intense pour signaux de nuit. (Voir cl. 24, no 000.)	Paris_1867_Italy_80.jpg
Ansaldo (Jean) et Cie	Gênes	Tige de fer et bielle pour machine à vapeur, plaques de blindage, projectiles d'acier; vues photographiques.	Paris_1867_Italy_80.jpg
