Name	Place	Description	Pdf
Parola (C.)	Borgo San Dalmazzo (Côni)	Bière de Chiavenna.	Paris_1878_Italy_78.jpg
Parrucci (T. de Vitaliano)	Catanzaro	Vin Lacrima Gerace ; vin Cirò vieux. 	Paris_1878_Italy_78.jpg
Patriarca (Ingénieur F.)	Gattinara (Novare)	Vin Spanna 1874, 1875.	Paris_1878_Italy_78.jpg
Patriarca (J.)	Gattinara (Novare)	Vin Spanna, 1873, 1874.	Paris_1878_Italy_78.jpg
Patriarca (V.)	Gattinara (Novare)	Vin Spanna 1870, 1874.	Paris_1878_Italy_78.jpg
Pedroni et Cie	Milan	Vin vermout. 	Paris_1878_Italy_78.jpg
Pellini (Chevalier L.)	Vicence	Vin Bugano rouge 1872, 1874; vin blanc 1874.	Paris_1878_Italy_78.jpg
Pennisi (C.)	Acireale (Catane)	Vin ordinaire de table 1876.	Paris_1878_Italy_78.jpg
Pennisi et Garaffo	Catane	Vin ordinaire de table 1876.	Paris_1878_Italy_78.jpg
Peruzzi (Commandeur C.)	Florence (Représenté par M. H. Donnini)	Vin rouge de table; fin; vin muscat.	Paris_1878_Italy_78.jpg
Peruzzi (Commandeur U.), député au Parlement, maire de Florence	Florence	Vin rouge de table 1875.	Paris_1878_Italy_78.jpg
Pestellini (H.)	Florence	Vin rouge ordinaire, en bouteilles, 1874, 1875.	Paris_1878_Italy_78.jpg
Petrilli (Docteur R.)	Ornano (Teramo)	Vin Gran Sasso d'Italia.	Paris_1878_Italy_78.jpg
Piga (V.)	Sassari	Vin rouge 1876.	Paris_1878_Italy_78.jpg
Pigo (V.)	Sassari	Vin vermout. 	Paris_1878_Italy_78.jpg
Piombino (Prince de), représenté par M. A. Marfurt.		Vin de table 1874, 1875, 1876.	Paris_1878_Italy_78.jpg
Pisopo (L.)	Pratola Serra (Avellino)	Vin rouge de table.	Paris_1878_Italy_78.jpg
Platamone frères et Cie	Trapani	Vin Marsala.	Paris_1878_Italy_78.jpg
Porcari (Baron A.)	Palermo	Alcool de 48 degrés; alcool de marc de raisin; alcool de lie; alcool extrait de substances végétales ; rhum de cannes à sucre; rhum blanc; rhum rouge; rhum de vin.	Paris_1878_Italy_78.jpg
Protto (J.)	Rome	Vin amer, tonique Protto.	Paris_1878_Italy_78.jpg
Pucci Sansedoni (Marquis A.)	Sienne	Vin rouge de table, n° 1 et 2; vin Santo, 1865.	Paris_1878_Italy_78.jpg
Pugno (M.)	Casale (Alexandrie)	Vin de table 1876; vin Barbera 1874; vin Bonarda 1874.	Paris_1878_Italy_78.jpg
Pulvirenti (G.)	Catane	Vin noir ordinaire de table.	Paris_1878_Italy_78.jpg
Radaelli (P.)	Bellagio (Cômo)	Vin rouge de table 1870.	Paris_1878_Italy_78.jpg
Raiter frères	Côni	Vin vermout.	Paris_1878_Italy_78.jpg
Ricasoli (Chevalier, baron B.)	Brolio (Sienne)	Vin Brolio 1862, 1864, 1867, 1871; vin Vernaccia 1866.	Paris_1878_Italy_78.jpg
Ritter (J.)	Chiavenna (Sondrio)	Bière de Chiavenna.	Paris_1878_Italy_78.jpg
Riva (V.) et frères	Turin	Vin vermout.	Paris_1878_Italy_78.jpg
Rizzo (A-Z.)	Vittoria (Syracuse)	Vin muscat de Syracuse.	Paris_1878_Italy_78.jpg
Ronzani (C.)	Bologne	Bière.	Paris_1878_Italy_78.jpg
Rossetti (L.)	Iseo (Brescia)	Vin Monticelli rouge 1875; vin Valtenice rouge 1875; vin Trebbiano 1875.	Paris_1878_Italy_78.jpg
