Name	Place	Description	Pdf
Rustichelli frères	Asti (Alexandrie)	Vins	Paris_1867_Italy_100.jpg
Succi (Charles)	Castelnuovo (Alexandrie)	malvoisie blanc	Paris_1867_Italy_100.jpg
Terracini (B.) et fils	Asti (Alexandrie)	Vins	Paris_1867_Italy_100.jpg
Varvello (François)	Asti	Vins	Paris_1867_Italy_100.jpg
Alberici (François)	Broni (Pavie)	Aletaïque blanc, amarone, tokay et montarco	Paris_1867_Italy_100.jpg
Cappa (Jean)	Palestro-Mortara (Pavie)	Vins barbera, bracketto	Paris_1867_Italy_100.jpg
Comice agricole de Voghera	Pavie	Vins de Voghera et de Bobbio	Paris_1867_Italy_100.jpg
Giorgetti (Jacques)	Vazzi per Bognassi (Pavie)	Vins rouge et blanc remiglio et atacio	Paris_1867_Italy_100.jpg
Guarnascheli (Jean)	Broni (Pavie)	Vins rouge et blanc	Paris_1867_Italy_100.jpg
Giulietti (Charles)	Casteggio (Pavie)	Vins blanc et rouge	Paris_1867_Italy_100.jpg
Cuffnati (Alexandre)	Rovescola (Pavie)	Vin santo	Paris_1867_Italy_100.jpg
Montemerlo (Benjamin)	Voghera (Pavie)	Vin rouge	Paris_1867_Italy_100.jpg
Pisani (Pierre)	Voghera (Pavie)	Muscat blanc et vermilio	Paris_1867_Italy_100.jpg
Scotti (Ange)	Santa-Giuietta (Pavie)	Vins barbera et malvoisie	Paris_1867_Italy_100.jpg
Verdi (Joseph)	Casteggio (Pavie)	Vin rouge croalino	Paris_1867_Italy_100.jpg
Cavagnoli	Crémone	Vins rouge et blanc	Paris_1867_Italy_100.jpg
Cocastelli Montiglio (Adeline)	Mantoue	Vin rouge	Paris_1867_Italy_100.jpg
Comice agricole de Crème	Crémone	Vins rouges	Paris_1867_Italy_100.jpg
Granselli (Antoine et Jules)	Crémone	Vins blanc et rouge	Paris_1867_Italy_100.jpg
Griffini (Louis)	Crème (Crémone)	Vins rouge et blanc	Paris_1867_Italy_100.jpg
Loranzo-Vidoni	Crémone	Vins rouge et blanc	Paris_1867_Italy_100.jpg
Oppici (Louis)	Crémone	Vin blanc de Malvoisie 	Paris_1867_Italy_100.jpg
Pini (Amédée)	Crème (Crémone)	Vin noir et blanc	Paris_1867_Italy_100.jpg
Gasparini (François)	Padoue	Vin	Paris_1867_Italy_100.jpg
Levi (Alexandre)	Padoue	Vins	Paris_1867_Italy_100.jpg
Magarotti (Jacques)	Padoue	Vins	Paris_1867_Italy_100.jpg
Melandri (Pierre)	Padoue	Vins	Paris_1867_Italy_100.jpg
Scalabrin (Balthasar)	Padoue	Vins des collines Eugaukénues	Paris_1867_Italy_100.jpg
Scolari (Gaétan)	Padoue	Vins	Paris_1867_Italy_100.jpg
Sette (Alexandre)	Padoue	Vin	Paris_1867_Italy_100.jpg
Tansi (Antoine)	Padoue	Vin	Paris_1867_Italy_100.jpg
Beltrame (Bertrand-Zacharie)	Portorguaro (Venise)	Vin du pays	Paris_1867_Italy_100.jpg
Gaviano (Augustin)	Cagliari	Vins blanc et rouge	Paris_1867_Italy_100.jpg
Gulis (François)	Cagliari	Vins blanc et noir	Paris_1867_Italy_100.jpg
Marciellis (Joseph)	Cagliari	Vins muscat, malvoisie, giro, uranao, canonaï, monica et nasco	Paris_1867_Italy_100.jpg
Marini (Pierre)	Cagliari	Vins Giro, monica, malvoisie, semidano	Paris_1867_Italy_100.jpg
Marini (Thomas)	Cagliari	Vins malvoisie, semidano, nasco, canonau, muscat	Paris_1867_Italy_100.jpg
Montaldo (Joseph)	Cagliari	Vin	Paris_1867_Italy_100.jpg
Mossa (Frédéric)	Cagliari	Vins malamatia, malvoisie, nasco	Paris_1867_Italy_100.jpg
Pilia (Antoine)	Cagliari	Vins malvoisie, turbato, cononato	Paris_1867_Italy_100.jpg
Prunas (Raphaël)	Bosa (Cagliari)	Vins de Malvoisie, vin blanc, muscat, vinaigre	Paris_1867_Italy_100.jpg
Serra (François)	Cagliari	Vins madras et Girè, malvoisie 	Paris_1867_Italy_100.jpg
Bancellari (Lazare)	Génes	Vins du pays	Paris_1867_Italy_100.jpg
Bovone (Mathieu)	Génes	Vins	Paris_1867_Italy_100.jpg
Oudart (Louis)	Génes	Vins nerri, barbera, nebuolo, nero, cortese et malvoisie	Paris_1867_Italy_100.jpg
Palermo (Antoine)	Génes	Vins	Paris_1867_Italy_100.jpg
Reggio (Vincent)	Génes	Vins nebiolo et muscat	Paris_1867_Italy_100.jpg
Spano (Henri)	Génes		Paris_1867_Italy_100.jpg
