Name	Place	Description	Pdf
Cariolato (Mmes Anne et Marie)	Rome	Tapisseries peintes	Paris_1900_Italy_153.jpg
Cassanelli (Marc) & fils	Florence	Décoration sur cuir. Imitation ancienne	Paris_1900_Italy_153.jpg
Garbaccio & Cie	Turin	Tapis d’Italie. Broderies. Velours haut relief	Paris_1900_Italy_153.jpg
Gentili (Pierre)	Rome, Vatican	Tapisserie	Paris_1900_Italy_153.jpg
Hospice Saint-Michel	Rome	Tapisserie	Paris_1900_Italy_153.jpg
Modigliani (Mme Corinne)	Rome, place des Capucins, 8	Bandes de velours peintes	Paris_1900_Italy_153.jpg
Mora frères	Bergame	Tapisseries et plafonds en bois	Paris_1900_Italy_153.jpg
Patarchi (Philippe)	Turin, Corso Valdocco, 1	Impressions et reliefs sur cuir	Paris_1900_Italy_153.jpg
Porrovecchio (Joseph)	Palermo	Tapisserie	Paris_1900_Italy_153.jpg
Vismara (Emile)	Milan	Miniatures peintes à la main sur étoffes	Paris_1900_Italy_153.jpg
