Name	Place	Description	Pdf
Caisse de Subventions	Rieti (Pérouse)	Statuts. Comptes rendus. Monographie.	Paris_1900_Italy_249.jpg
Caisse Rurale	Albano (Padoue)	Statuts. Comptes rendus. Monographie.	Paris_1900_Italy_249.jpg
Caisse Rurale	Sanguinetto (Vérone)	Statuts. Comptes rendus. Monographie.	Paris_1900_Italy_249.jpg
Chambre de Commerce de Rovigo	Rovigo	Tableaux et statistiques.	Paris_1900_Italy_249.jpg
Chambre de Commerce de Trévise	Trévise	Essai sur le développement de la coopération dans la province de Trévise. Associations coopératives.	Paris_1900_Italy_249.jpg
Coopérative des Baguettes dorées	Milan	Tableaux statistiques. Photographies. Machines, etc. Statuts. Règlements, etc.	Paris_1900_Italy_249.jpg
Crédit Agricole Bresciano	Brescia	Statuts. Comptes rendus. Monographie.	Paris_1900_Italy_249.jpg
Crédit Coopératif agricole	Cagliari (Sardaigne)	Statuts. Comptes rendus. Monographies.	Paris_1900_Italy_249.jpg
Flora	Dominique (Modugno)	Balance de comptes.	Paris_1900_Italy_249.jpg
Groupe Emilien des Banques Populaires	Parme	Monographie.	Paris_1900_Italy_249.jpg
Hospice Royal des Femmes Pauvres	Palerme	Statistiques et documents.	Paris_1900_Italy_249.jpg
Institut Populaire de Crédit & d'Epargne	Sanseverino Marche (Macerata)	Statuts. Comptes rendus et relations.	Paris_1900_Italy_249.jpg
Lazzari	Emile (Leno Brescia)	Registres. Comptes. Relations. Prospectus de la Caisse coopérative.	Paris_1900_Italy_249.jpg
