Name	Place	Description	Pdf
Abbati (Pierre)	Parme	Soie filée et grége.	Paris_1867_Italy_30.jpg
Ceresa frères	Plaisance	Soie grége.	Paris_1867_Italy_30.jpg
Alimansi (Allegra)	Reggio (Émilie)	Soie grége, blanche de cocons bitolonti; soie grége jaune de cocons ordinaires; soie grége de cocons doubles.	Paris_1867_Italy_30.jpg
Vecchi-Todi	Reggio (Émilie)	Soie grége, jaune et blanche.	Paris_1867_Italy_30.jpg
Diéna (Ange)	Modène	Soie grége.	Paris_1867_Italy_30.jpg
Diéna (feu M.-G.-Jacob)	Modène	Soies gréges.	Paris_1867_Italy_30.jpg
Sala (Elisabeth)	Modène	Soie grége.	Paris_1867_Italy_30.jpg
Vittoni (Antoine)	Castelnuovo de Garfagnane	Soie indigène.	Paris_1867_Italy_30.jpg
Cessi et Rizzoli	Pieve di Cento (Ferrare)	Soie grége.	Paris_1867_Italy_30.jpg
Oppi (Joseph)	Bologne	Soie grége; jaune, blanche et verte.	Paris_1867_Italy_30.jpg
Lecca (Michel)	Ravenne	Soie grége et double grége.	Paris_1867_Italy_30.jpg
Bersani (Marc)	Savignano (Forli)	Soie grége.	Paris_1867_Italy_30.jpg
Liverani (Pierre)	Faenza (Ravenne)	Soie grége et double grége.	Paris_1867_Italy_30.jpg
Selagualtia (Samuel)	Lugo (Ravenne)	Soie.	Paris_1867_Italy_30.jpg
Adduci (Gaëtan)	Rimini	Soie grége.	Paris_1867_Italy_30.jpg
Gardini (Louis)	Rimini	Soie grége.	Paris_1867_Italy_30.jpg
Sari (Balthasar)	Villa Basilica (Lucques)	Soie grége.	Paris_1867_Italy_30.jpg
Gamba (Pierre)	Piétarsanta (Lucques)	Soie grége.	Paris_1867_Italy_30.jpg
Del Corona (César)	Prato (Florence)	Soie grége filée, blanche et jaune.	Paris_1867_Italy_30.jpg
Baldasceï (Hermogène)	Pistoie	Soie grége.	Paris_1867_Italy_30.jpg
Giovanelli (Aimé et Dominique)	Pesaro	Echeveaux de soie grége.	Paris_1867_Italy_30.jpg
Valazzi (Louis)	Pesaro	Soies gréges de cocons japonais, de cocons indigènes et de cocons croisés.	Paris_1867_Italy_30.jpg
Bianchi frères	Pise	Soie grége.	Paris_1867_Italy_30.jpg
Boscarelli (Raphaël)	Florence	Soie grége.	Paris_1867_Italy_30.jpg
Cantini, Borgognini et Cie	Florence	Soie grége et ouvrée en organins et trames.	Paris_1867_Italy_30.jpg
Paperini (Alphonse)	Florence	Soie grége.	Paris_1867_Italy_30.jpg
Larduinielli (Benott) et fils, à Usimo (Ancône)	Soie grége; cuvettes à filer, bassins à carder la soie.		Paris_1867_Italy_30.jpg
Stacchini (Joseph)	Jési (Ancône)	Soie grége.	Paris_1867_Italy_30.jpg
Rocceïtti (Dominique)	Filotrano (Ancône)	Soie grége.	Paris_1867_Italy_30.jpg
Giovanelli (Jérôme)	Montoroni d'Arbia (Sienne)	Soie grége.	Paris_1867_Italy_30.jpg
Leporatti (Ludovic)	pour M. Piéri, à Sienne	Soie de qualités de titres divers.	Paris_1867_Italy_30.jpg
Lunghetti (Joseph) et fils	Sienne	Soie grége.	Paris_1867_Italy_30.jpg
Macatelli (Antoine)	Monteverchi (Arezzo)	Soie grége.	Paris_1867_Italy_30.jpg
Maceucci (Annibal)	Arezzo	Soie grége janne. (Voir cl. 43.)	Paris_1867_Italy_30.jpg
Santoelini (Egide)	Montevarcchi (Arezzo)	Soie grége des cocons jaunes indigènes, verts et blancs du Japon.	Paris_1867_Italy_30.jpg
Serristori (Alfred)		Soie jaune et soie blanche.	Paris_1867_Italy_30.jpg
Pasqualini (Amalia)	Cingoli (Macerata)	Soie grége.	Paris_1867_Italy_30.jpg
Rosmini (Jean)	Terni (Fuligno)	Soie grége.	Paris_1867_Italy_30.jpg
Lofara (Rocco)	Villa san Giovanni (Calabre ultérieure)	Soie grége de différents titres.	Paris_1867_Italy_30.jpg
Lucisano (Jean) et frères, à Ville Saint Jean (Calabre ultérieure)	Soie grége de différents titres.		Paris_1867_Italy_30.jpg
Plutino (Augustin et Fabrice)	Reggio (Calabre)	Soie grége.	Paris_1867_Italy_30.jpg
Abegg (Charles)	Cuneo	Organins.	Paris_1867_Italy_30.jpg
Alberti (Vincent) et neveux, à Turin		Organins blancs et jaunes.	Paris_1867_Italy_30.jpg
Mocheletti (Jean)	Boves (Cuneo)	Organins.	Paris_1867_Italy_30.jpg
