Name	Place	Description	Pdf
Sous-commission productive	Reggio de Calabre	Sumac	Paris_1867_Italy_56.jpg
Gardiner-Rose et Cie	Paleme	Sumac en poudre	Paris_1867_Italy_56.jpg
Sous-comité de Catane, de Palerne et de Scordio		Sumac en feuilles et moulé	Paris_1867_Italy_56.jpg
Maceri (Joseph)	Golosaa Ionica (Reggio de Calabre)	Réglisse brute et travaillée	Paris_1867_Italy_56.jpg
Sous-commission productive	Reggio de Calabre	Réglisse brute et travaillée	Paris_1867_Italy_56.jpg
Priori (Antoine)	Chieti	Racine de réglisse	Paris_1867_Italy_56.jpg
Ianelli (Henry)	Palerme	Sumac et réglisse	Paris_1867_Italy_56.jpg
Pietrocola (Joseph)	Vasto (Chieti)	Racines de réglisse	Paris_1867_Italy_56.jpg
Compagna (Bon Louis)	Corigliano-Calabra (Coenza)	Réglisse spontanée	Paris_1867_Italy_56.jpg
Sous-commision de Catane	Patamira-Albiche	Gommes	Paris_1867_Italy_56.jpg
Luce (Sébastien de)	Naples	Résine d'olivier et ses produits	Paris_1867_Italy_56.jpg
Carruti (Antoine)	Savone	Miel et cire brute	Paris_1867_Italy_56.jpg
Cherici (Nicolas)	San Sepolcro (Arezzo)	Cire, miel brut et raffiné	Paris_1867_Italy_56.jpg
Nardi (Pascal)	Macerata	Miel	Paris_1867_Italy_56.jpg
Barracco frères	Cotrone (Catanzaro)	Miel	Paris_1867_Italy_56.jpg
Scarlata (Alexandre)	Catane	Miel	Paris_1867_Italy_56.jpg
Sous-comité de Catane et de Syracuse, Chambre de commerce de Caltanisette		Miel	Paris_1867_Italy_56.jpg
Campanella (Eugene)	Declicetto (Foggia)	Miel, cire bruté	Paris_1867_Italy_56.jpg
Sous-comité de Catane	Syracuse	Miel	Paris_1867_Italy_56.jpg
Marra (Henri)	Salerne	Mannes grasses; mannite.	Paris_1867_Italy_56.jpg
Lancia di Brolo (Frédéric)		Miel ibleé; manne fine.	Paris_1867_Italy_56.jpg
Sous-Comité de Catane et Sous-comité de Palerme		Manne.	Paris_1867_Italy_56.jpg
Polenghi (Charles)	Lodi	Foin de mai et d'aóut.	Paris_1867_Italy_56.jpg
Albeni (Louis)	Brescia	Foin.	Paris_1867_Italy_56.jpg
Deretti (César)	Brescia	Foin.	Paris_1867_Italy_56.jpg
Montemerlo (Benjamin)	Voghera (Pavie)	Foin de mai et d'aóut.	Paris_1867_Italy_56.jpg
Comité d'agriculture de Padoue		Graines de tréfle et de luzerne.	Paris_1867_Italy_56.jpg
Sette (Alexandre)	Padoue	Semence de tréfle et de luzerne.	Paris_1867_Italy_56.jpg
Curti (Jean)	Castello, près Lecco (Còme)	Huiles.	Paris_1867_Italy_56.jpg
Fumegalli	Milan	Huiles.	Paris_1867_Italy_56.jpg
Bopoli (François)	Acquamagna (Crémone)	Fourages et graines de plantes à fourrages; graine de lin.	Paris_1867_Italy_56.jpg
San-Severino (Faustin)	Crema (Cremone)	Foins.	Paris_1867_Italy_56.jpg
Meardì (Charles)	Cascigolera (Pavie)	Foin de mai.	Paris_1867_Italy_56.jpg
Ballarini (Joseph)	Rocca-Bianca (Parme)	Graines de tréfle et luzerne.	Paris_1867_Italy_56.jpg
Sous-commision de Reggio (Emilie)		Fourrages secs; graines de plantes à fourrages.	Paris_1867_Italy_56.jpg
Institut industriel et professionnel de Ferrare		Graines de plantes à fourrages.	Paris_1867_Italy_56.jpg
Comestabile (Jean-Charles)	Pérouse	Fourrages.	Paris_1867_Italy_56.jpg
Société économique granière de Pérouse		Fourrages et graines de plantes à fourrages.	Paris_1867_Italy_56.jpg
Sous-comité de Catane		Fourrages et légumes.	Paris_1867_Italy_56.jpg
Camozzi (Ange et Ferdinand)	Cortelano (Cremone)	Huiles de lin, de colza et de noix; tourteau de graine de lin; huile de graines de raisin.	Paris_1867_Italy_56.jpg
Zucecani (Bernard)	Brescia	Colza; cícine; camomille.	Paris_1867_Italy_56.jpg
Fradi Bruno (Alexandre)	Alexandrie	Huile d'araehides.	Paris_1867_Italy_56.jpg
Association agricole lom-			Paris_1867_Italy_56.jpg
