Name	Place	Description	Pdf
Carapelli frères	Sienne	Viandes de porc salées et préparées	Paris_1900_Italy_98.jpg
Carella (Maxime)	Plaisance	Viandes salées	Paris_1900_Italy_98.jpg
Carulli (David)	Crémone	Produits divers de la charcuterie	Paris_1900_Italy_98.jpg
Cavaliere (Vincent)	Mesagne (Lecce)	Figues sèches	Paris_1900_Italy_98.jpg
Celaschi (Émile)	Plaisance	Viandes salées	Paris_1900_Italy_98.jpg
Centoni (Dominique)	Sienne	Viandes de porc salées et préparées	Paris_1900_Italy_98.jpg
Cerpi frères	Costalpino (Siennes)	Viandes de porc salées et préparées	Paris_1900_Italy_98.jpg
Chambre de Commerce	Lecce	Figues sèches, raisins secs	Paris_1900_Italy_98.jpg
Coco Testa (Sauveur)	Catane	Sauce tomate concentrée	Paris_1900_Italy_98.jpg
Coldo (Joseph)	Sala Bagauza (Parme)	Jambons, Saucissons, etc., et sauce tomate	Paris_1900_Italy_98.jpg
Comité d'Avellino pour l'Exposition de Paris en 1900	Avellino	Fruits secs et frais	Paris_1900_Italy_98.jpg
Compagnie vésuvienne de Produits conservés	Milan, Corso S. Gottardo, 22	Extrait et purée de tomates, conserve de tomates, etc.	Paris_1900_Italy_98.jpg
Consortini (Jean)	Poggibonsi (Sienne)	Saucissons	Paris_1900_Italy_98.jpg
Ducci (Théobald)	Massa Marittima (Sienne)	Viandes de porc salées et préparées	Paris_1900_Italy_98.jpg
Elia (François)	Ceglie Messapica (Lecce)	Figues sèches	Paris_1900_Italy_98.jpg
