Name	Place	Description	Pdf
Perani (Antonio)	Castano Primo (Milan)	Soies grèges et ouvrées.	Paris_1900_Italy_187.jpg
Piccoli & Panizzon	Magre (Schio) Vicenza	Soies grèges et ouvrées.	Paris_1900_Italy_187.jpg
Pierandrei Nazaveno	Osimo (Ancône)	Soie.	Paris_1900_Italy_187.jpg
Pizzala Gajo & Cie	Côme, rue Volta, 46	Tissus de soie.	Paris_1900_Italy_187.jpg
Plantier & Cie	Gorlago (Bergamo)	Soies grèges et ouvrées.	Paris_1900_Italy_187.jpg
Prina frères	Milan, rue Monte-di-Pieta, 17	Soies grèges et ouvrées.	Paris_1900_Italy_187.jpg
Radaelli, Finzi, Perrier & Cie	Rancio di Lecco (Côme)	Velours. Peluches, etc.	Paris_1900_Italy_187.jpg
Recanatesi (Gaétan)	Osimo (Ancône)	Soies grège.	Paris_1900_Italy_187.jpg
Redaelli (Félix)	Milan, rue Pontaccio, 14	Soies grèges et ouvrées.	Paris_1900_Italy_187.jpg
Rendano frères	Cosenza	Soie grège.	Paris_1900_Italy_187.jpg
Ricci (Antonio)	Ello (Côme)	Soies grèges et ouvrées.	Paris_1900_Italy_187.jpg
Richenbach (Frédéric)	Milan, rue Oriani, 7	Soies grèges et ouvrées.	Paris_1900_Italy_187.jpg
Riva (Français)	Milan, rue Pontaccio, 10	Soies grèges et ouvrées.	Paris_1900_Italy_187.jpg
Riva di Luigi (Ernesto)	Milan, rue Bossi, 2	Soies grèges et ouvrées.	Paris_1900_Italy_187.jpg
Rizzi frères	Plaisance	Soies brutes.	Paris_1900_Italy_187.jpg
