Name	Place	Description	Pdf
Lesca (J.)	Turin	Vin vermout.	Paris_1878_Italy_77.jpg
Malatesta (A.)	Modène	Vin Lambrusco de table.	Paris_1878_Italy_77.jpg
Maneinn (A.)	Catane	Vin de table, en bouteilles ; vin ordinaire vieux, dessert.	Paris_1878_Italy_77.jpg
Manna (V.)	Atripalda (Avellino)	Eau-de-vie; alcool.	Paris_1878_Italy_77.jpg
Mannino (F.)	Catane	Vin blanc fin.	Paris_1878_Italy_77.jpg
Marchesci (Ingénieur L.)	Ponte di Valtellina (Sondrio)	Vin Valtellina rouge, 1865, 1867, 1870 B., 1871, 1874., 1875.	Paris_1878_Italy_77.jpg
Marini (D.)	Cagliari, représenté par A Marini	Vin Malvoisie, 1872 ; vin Semidane, 1874.	Paris_1878_Italy_77.jpg
Massone (A.)	Andorno (Turin)	Vin vermout.	Paris_1878_Italy_77.jpg
Martini (S.) et Cie	Turin	Vin vermout.	Paris_1878_Italy_77.jpg
Mattioli (V.)	Scandiano (Reggio Emilia), président de la Société œnologique scandinise	Vin Scandiano demi-sec, 1873 ; vin Scandiano doux.	Paris_1878_Italy_77.jpg
Meletti (S.)	Ascoli Piceno	Vin vermout.	Paris_1878_Italy_77.jpg
Melà Sant'Antonino (Baron J.-B.)	Chiaramonte (Syracuse)	Vin de Chiaramonte, de table et fin.	Paris_1878_Italy_77.jpg
Mendola (G.)	Faccace (Girgenti)	Vin de table, Nicolizie; vin qualité Marsala.	Paris_1878_Italy_77.jpg
Menotti (L.)	Turin	Vin Barolo, 1873 ; vin Muscat (Strevi) supérieur, 1876.	Paris_1878_Italy_77.jpg
Metzger frères	Asti (Alexandrie)	Bière pale-ale; bière cimna; bière , 1877.	Paris_1878_Italy_77.jpg
Meynardi (J.)	Chieri (Turin)	Vin amer tonique, digestif, de Chieri.	Paris_1878_Italy_77.jpg
Michel (C.) et fils	Alexandrie	Bière blanche pour être conservée.	Paris_1878_Italy_77.jpg
Milone (S.)	Forio, Isola d'Ischia (Naples)	Vin de Montecorvo, blanc et rouge.	Paris_1878_Italy_77.jpg
Mombello (C.)	Asti (Alexandrie)	Bière claire; bière noires; vermout hygiénique.	Paris_1878_Italy_77.jpg
Montanari (C.)	Finalmarina (Gênes)	Vin de l'extrait pur d'orange.	Paris_1878_Italy_77.jpg
Montanaro (E.)	Modène	Vin vermout.	Paris_1878_Italy_77.jpg
Montini (P.)		Vin vermout simple; vin vermout au quinquina.	Paris_1878_Italy_77.jpg
Mortillaro di Villarena (Marquis C.)	Paleme	Vin blanc supérieur ;vin rouge supérieur; vin noir supérieur; vin muscat supérieur; vin muscat; Lunel ;vin Amarena; vin Guarnaccia ;vin calabrais.	Paris_1878_Italy_77.jpg
Mossa (F.)	Cagliari	Vin Malvoisie de Cagliari, 1872, 1874 ; vin Kalamathios de Pirri, 1874.	Paris_1878_Italy_77.jpg
Neccolini (J.)	Sorbara (Modène)	Vin Lambrusco de Sorbara.	Paris_1878_Italy_77.jpg
Nieddu-Cappai (H.)	Cagliari	Vin San-Raimondo.	Paris_1878_Italy_77.jpg
Ortolan (J.)	Trévise	Vin blanc proseco de table 1874; vin blanc mousseux.	Paris_1878_Italy_77.jpg
Ottavi (Professeur O.)	Casal Monferrato (Alexandrie)	Vin Nebbiolo sec.	Paris_1878_Italy_77.jpg
Paolotti frères	Gattinara (Novare)	Vin Spanna 1874 ; vin de table 1875.	Paris_1878_Italy_77.jpg
Papadopoli (Comtes N. et A.)	San Paolo di Piave (Trévise)	Vin bougrogne rouge 1874 et 1875; vin rouge, Castel San Paolo 1875; vin blanc, Castel San Paolo 1875 ; vin blanc, Verdiso 1874, 1875.	Paris_1878_Italy_77.jpg
Pappalardo (V.)	Pedara (Catane)	Vin de table.	Paris_1878_Italy_77.jpg
