Name	Place	Description	Pdf
CASTALDI (Andrea)	Grugliasco	Colle	Paris_1889_Italy_34.jpg
Fabrique lombarde de produits chimiques	Milan	Sels de quinine et succédanés. Produits pharmaceutiques	Paris_1889_Italy_34.jpg
Huileries et Savonneries méridionales	Bari	Huiles et savons	Paris_1889_Italy_34.jpg
LARDEREL (Comte de)	Livourne	Acide borique. Borate de soude	Paris_1889_Italy_34.jpg
LUCIANO (Joseph)	Pancalieri, près de Turin	Essences d'herbes aromatiques, menthe glaciale, éther	Paris_1889_Italy_34.jpg
MARTINEZ (J.-J.)	Girgenti	Quinine. Huiles d’amandes douces	Paris_1889_Italy_34.jpg
MASCITELLI (Titus)	Naples, vice Madona delle Grazie	Charbon artificiel	Paris_1889_Italy_34.jpg
MAZZOLINI (Jean)	Rome, Quattro Fontane, 18.	Sirop de parigliaina, eau ferruginieuse et pastilles de mûres	Paris_1889_Italy_34.jpg
MILANI (Paul)	Milan	Savons	Paris_1889_Italy_34.jpg
