Name	Place	Description	Pdf
Birindelli (Alfred)	Rome	Eaux minerales naturelles, eaux de table de Monticchio.	Paris_1900_Italy_274.jpg
Birocchi (Philippe)	Cagliari	Eau alcaline, bicarbonate de soude.	Paris_1900_Italy_274.jpg
Cardone (Raphael)	Rionero-in-Vulture	Eau acidulee alcaline gazeuse naturelle des fontaines Cardone et Pallattino.	Paris_1900_Italy_274.jpg
Cateni Melitina	Sienne	Eau minerale chloro-sulfuree, sodique, bromo-ioduree.	Paris_1900_Italy_274.jpg
Cesqui (Sante)	Norcia (Perouse)	Tuyaux en ceramique, email.	Paris_1900_Italy_274.jpg
Chambre de Commerce de Sienne & Grosseto	Sienne	Eaux minerales, monographie, etc.	Paris_1900_Italy_274.jpg
Chiari (Jean)	Florence	Eau de table gazeuse naturelle.	Paris_1900_Italy_274.jpg
Chigi Zondadari	Sienne	Eau thermale.	Paris_1900_Italy_274.jpg
Cittadella Vigodarzere (Comte Antoine)	Padoue	Boues thermales et eaux minerales.	Paris_1900_Italy_274.jpg
Conti (Aristide)	Castrocaro (Florence)	Eaux chlorurees, iodiques, etc.	Paris_1900_Italy_274.jpg
Controle Chimique Permanent Italien	Génes	Documents.	Paris_1900_Italy_274.jpg
Corazza (Jacques)	Tabiano (Parme)	Eaux sulfureuses.	Paris_1900_Italy_274.jpg
Craveri (Caliste)	Turin, Corso Valdocco, 17	Allumettes sans phosphore.	Paris_1900_Italy_274.jpg
Crema (Albert)	Riolo (Ravenne)	Etablissement hydrotaphique ; dessins ; eaux minerales ; analyses, etc.	Paris_1900_Italy_274.jpg
