Name	Place	Description	Pdf
Atelier de la maison de détention de Volterre		Serrure à secret.	Paris_1867_Italy_78.jpg
Cherciel (Jean-Marie)	Arezzo	Serrure de coffre-fort.	Paris_1867_Italy_78.jpg
Migliorini (Ferdinand)	Montevarchi (Arezzo)	Serrures en fer battu et poli.	Paris_1867_Italy_78.jpg
Alleva (Romolo)	Macéarta	Serrure de coffre-fort.	Paris_1867_Italy_78.jpg
Regis (Jean)	Turin	Modèles d’échelle articulée, d’échelle double et de pont mobile.	Paris_1867_Italy_78.jpg
Landi (Thomas)	Messine	Ponts pour magasins.	Paris_1867_Italy_78.jpg
Guppy et Cie	Naples	Dessin du pont de fer construit sur le Fortore (Capitanate).	Paris_1867_Italy_78.jpg
École d'application pour les ingénieurs lauréats	Turin	Modèles de voûte.	Paris_1867_Italy_78.jpg
Timolati (Sébastien)	Lodi	Modèle de deux têtes de poutres jointes, bois de couleur pour parquets et lambris.	Paris_1867_Italy_78.jpg
Fusina (Vincent)	Pavie (Brescia)	Modèle de pilotis pour former la pile de ponts sur des fleuves très-larges.	Paris_1867_Italy_78.jpg
Nicoli (Charles)	Castasina (Pavie)	Modèle de repaires pour protéger les bords des fleuves contre l'action des eaux.	Paris_1867_Italy_78.jpg
Giovanardi (Lampridié)	Modène	Modèle de pont militaire portatif.	Paris_1867_Italy_78.jpg
Institut technique Royal de Florence		Modèles d'ouvrages d'art, du défrichement des marennes et de la vallée de la Chiana, dessins et coupe des puits artésiens de la Toscane. (Voir cl. 12.)	Paris_1867_Italy_78.jpg
Guiscardi (Guillaume)	Naples	Dessins de puits forés dans les environs de Naples. (Voir cl. 40.)	Paris_1867_Italy_78.jpg
Galleani (Pierre)	Alexandrie	Modèle d'architecture en liège.	Paris_1867_Italy_78.jpg
Capurro (Jean-François)	Novii (Alexandrie)	Dessins et relation sur le théatre de Liborio.	Paris_1867_Italy_78.jpg
Municipalité de Milan		Dessins, photographies et lithographies des statues et des monuments de Milan.	Paris_1867_Italy_78.jpg
Breda (Antoine)	Bergame	Album de photographies et dessins d'architecture. (Voir cl. 9.)	Paris_1867_Italy_78.jpg
Société modénaise des bains	Modène	Dessin de l'établissement balnéaire de la Savonarole.	Paris_1867_Italy_78.jpg
Panciatichi (Ximénès-Ferdinand)	Florence	Modèle d'une salle de justice, style sarrasin.	Paris_1867_Italy_78.jpg
Municipalité de Pérouse	Fuligno	Photographies de bustes de marbre et de monuments de la municipalité.	Paris_1867_Italy_78.jpg
Onesci (Pierre)	Arezzo	Album photographique des monuments et des hommes illustres de la ville d'Arezzo.	Paris_1867_Italy_78.jpg
Cavalieri (Paulin)	Fuligno (Pérouse)	Album photographique de monuments.	Paris_1867_Italy_78.jpg
Cirotti (Cyrus)	Pérouse	Photographies des tables Eugubines et du palais des consuls.	Paris_1867_Italy_78.jpg
Municipalité de Rimini		Vue, plan et sections du théâtre de Rimini.	Paris_1867_Italy_78.jpg
Lo Faso (Hyacinthe)	Termini (Palermo)	Photographies des monuments publics et d'édifices privés.	Paris_1867_Italy_78.jpg
Damiani (Joseph)	Palermo	Projet de construction d'un théâtre diurne à Palerme.	Paris_1867_Italy_78.jpg
Tranchida (Pierre-Joseph)	Girgenti	Dessin de la réparation faite au temple d'Hercule.	Paris_1867_Italy_78.jpg
Sous-Commission de Catanes (Nicastro de Caltagirone)		Dessins d'architecture, aquarelles et études.	Paris_1867_Italy_78.jpg
Guillaume (Charles)	Naples (Robert Paul, auteur)	Relief d'une maison de Pompéi; ouvrages de liège représentant diverses monuments anciens.	Paris_1867_Italy_78.jpg
Levallosi (Nazarin)	Pérouse	NA.	Paris_1867_Italy_78.jpg
