year;comune_code;n;location;country;lat;long;COMUNE;PRO_COM
1865;46017;1;Lucca;NA;43,8430391000000;10,51565320000000;Lucca;46017
1865;48017;13;Firenze;NA;43,7699685000000;11,25767060000000;Firenze;48017
1865;49009;5;Livorno;NA;43,5484760000000;10,31060870000000;Livorno;49009
1865;50808;1;Piombino;NA;42,9255951000000;10,52595350000000;Piombino;49012
1865;52032;3;Siena;NA;43,3184741000000;11,33058120000000;Siena;52032
1865;58091;3;Roma;NA;41,8967068000000;12,48220250000000;Roma;58091
1865;63049;14;Napoli;NA;40,8517983000000;14,26812000000000;Napoli;63049
1865;72807;1;Fasano;NA;40,8355304000000;17,36202500000000;Fasano;74007
1865;75802;1;Brindisi;NA;40,6327732000000;17,94187240000000;Brindisi;74001
1865;83048;1;Messina;NA;38,1937342000000;15,55420880000000;Messina;83048
1866;1191;2;Pinerolo;NA;44,8845906000000;7,33066760000000;Pinerolo;1191
1866;1272;31;Torino;NA;45,0703155000000;7,68685520000000;Torino;1272
1866;3068;1;Galliate;NA;45,4785452000000;8,69338100000000;Galliate;3068
1866;3919;1;Biella;NA;45,5628842000000;8,05833970000000;Biella;2012
1866;4215;1;Savigliano;NA;44,6481313000000;7,65394570000000;Savigliano;4215
1866;6003;1;Alessandria;NA;44,9072727000000;8,61167960000000;Alessandria;6003
1866;6114;1;Novi Ligure;NA;44,7627882000000;8,79502540000000;Novi Ligure;6114
1866;6121;1;Ovada;NA;44,6383461000000;8,64341280000000;Ovada;6121
1866;10025;10;Genova;NA;44,4071448000000;8,93473810000000;Genova;10025
1866;10926;1;Savona;NA;44,3034046000000;8,47433150000000;Savona;9056
1866;13075;1;Como;NA;45,8063817000000;9,08518670000000;Como;13075
1866;15146;9;Milano;NA;45,4641943000000;9,18963460000000;Milano;15146
1866;28060;1;Padova;NA;45,4105029000000;11,87820710000000;Padova;28060
1866;37006;3;Bologna;NA;44,4948870000000;11,34261630000000;Bologna;37006
1866;40007;1;Cesena;NA;44,1396438000000;12,24642920000000;Cesena;40007
1866;42002;1;Ancona;NA;43,6071395000000;13,51017410000000;Ancona;42002
1866;48017;15;Firenze;NA;43,7699685000000;11,25767060000000;Firenze;48017
1866;48034;1;Prato in Toscana;NA;43,8777049000000;11,10222800000000;Prato;48034
1866;49009;1;Livorno;NA;43,5484760000000;10,31060870000000;Livorno;49009
1866;58091;1;Roma;NA;41,8967068000000;12,48220250000000;Roma;58091
1866;63049;11;Napoli;NA;40,8517983000000;14,26812000000000;Napoli;63049
1866;67824;1;Penne;NA;44,0767000000000;1,73031000000000;NA;NA
1866;81019;1;Santa Ninfa;NA;37,7714679000000;12,87667140000000;Santa Ninfa;81019
1866;85004;1;Caltanissetta;NA;37,4900647000000;14,06315760000000;Caltanissetta;85004
1867;1272;28;Torino;NA;45,0703155000000;7,68685520000000;Torino;1272
1867;3106;1;Novara;NA;45,4467749000000;8,61686960000000;Novara;3106
1867;3482;1;Valle Inferiore Mosso;NA;NA;NA;NA;NA
