year;location;COMUNE;lat;long;PRO_COM;comune_code;patents_austria;patents_italy;patents_together
1865;Reggio nell'Emilia;Reggio nell'Emilia;44,7030966000000;10,63461530000000;35033;35033;0;2;2
1865;Bologna;Bologna;44,4948870000000;11,34261630000000;37006;37006;0;3;3
1865;Cento;Cento;44,7274917000000;11,29037080000000;38004;38004;0;2;2
1865;Lucca;Lucca;43,8430391000000;10,51565320000000;46017;46017;0;1;1
1865;Firenze;Firenze;43,7699685000000;11,25767060000000;48017;48017;0;13;13
1865;Livorno;Livorno;43,5484760000000;10,31060870000000;49009;49009;0;5;5
1865;Piombino;Piombino;42,9255951000000;10,52595350000000;49012;50808;0;1;1
1865;Siena;Siena;43,3184741000000;11,33058120000000;52032;52032;0;3;3
1865;Roma;Roma;41,8967068000000;12,48220250000000;58091;58091;1;3;4
1865;Napoli;Napoli;40,8517983000000;14,26812000000000;63049;63049;0;14;14
1865;Fasano;Fasano;40,8355304000000;17,36202500000000;74007;72807;0;1;1
1865;Brindisi;Brindisi;40,6327732000000;17,94187240000000;74001;75802;0;1;1
1865;Messina;Messina;38,1937342000000;15,55420880000000;83048;83048;0;1;1
1866;Pinerolo;Pinerolo;44,8845906000000;7,33066760000000;1191;1191;0;2;2
1866;Torino;Torino;45,0703155000000;7,68685520000000;1272;1272;1;31;32
1866;Galliate;Galliate;45,4785452000000;8,69338100000000;3068;3068;0;1;1
1866;Biella;Biella;45,5628842000000;8,05833970000000;2012;3919;0;1;1
1866;Savigliano;Savigliano;44,6481313000000;7,65394570000000;4215;4215;0;1;1
1866;Alessandria;Alessandria;44,9072727000000;8,61167960000000;6003;6003;0;1;1
1866;Novi Ligure;Novi Ligure;44,7627882000000;8,79502540000000;6114;6114;0;1;1
1866;Ovada;Ovada;44,6383461000000;8,64341280000000;6121;6121;0;1;1
1866;Genova;Genova;44,4071448000000;8,93473810000000;10025;10025;0;10;10
1866;Savona;Savona;44,3034046000000;8,47433150000000;9056;10926;0;1;1
1866;Como;Como;45,8063817000000;9,08518670000000;13075;13075;0;1;1
1866;Milano;Milano;45,4641943000000;9,18963460000000;15146;15146;0;9;9
1866;Padova;Padova;45,4105029000000;11,87820710000000;28060;28060;0;1;1
1866;Bologna;Bologna;44,4948870000000;11,34261630000000;37006;37006;0;3;3
1866;Cesena;Cesena;44,1396438000000;12,24642920000000;40007;40007;0;1;1
1866;Ancona;Ancona;43,6071395000000;13,51017410000000;42002;42002;0;1;1
1866;Firenze;Firenze;43,7699685000000;11,25767060000000;48017;48017;0;15;15
1866;Prato in Toscana;Prato;43,8777049000000;11,10222800000000;48034;48034;0;1;1
1866;Livorno;Livorno;43,5484760000000;10,31060870000000;49009;49009;0;1;1
1866;Roma;Roma;41,8967068000000;12,48220250000000;58091;58091;0;1;1
1866;Napoli;Napoli;40,8517983000000;14,26812000000000;63049;63049;0;11;11
1866;Penne;NA;44,0767000000000;1,73031000000000;NA;67824;1;1;2
1866;Santa Ninfa;Santa Ninfa;37,7714679000000;12,87667140000000;81019;81019;0;1;1
1866;Caltanissetta;Caltanissetta;37,4900647000000;14,06315760000000;85004;85004;0;1;1
1867;Torino;Torino;45,0703155000000;7,68685520000000;1272;1272;2;28;30
1867;Novara;Novara;45,4467749000000;8,61686960000000;3106;3106;0;1;1
1867;Valle Inferiore Mosso;NA;NA;NA;NA;3482;1;1;2
1867;Pallanza;Verbania;45,9258794000000;8,54991790000000;3156;3874;0;1;1
1867;Biella;Biella;45,5628842000000;8,05833970000000;2012;3919;0;2;2
1867;Cherasco;Cherasco;44,6476518000000;7,85818820000000;4067;4067;0;1;1
1867;Cuneo;Cuneo;44,3844766000000;7,54267110000000;4078;4078;0;1;1
1867;Monasterolo di Savigliano;Monasterolo di Savigliano;44,6874868000000;7,62081890000000;4128;4128;0;1;1
1867;Mondovì;Mondovi';44,3956154000000;7,81864900000000;4130;4130;0;1;1
1867;Alessandria;Alessandria;44,9072727000000;8,61167960000000;6003;6003;0;2;2
1867;Pontedassio;Pontedassio;43,9407013000000;8,01275580000000;8045;8045;0;1;1
1867;Genova;Genova;44,4071448000000;8,93473810000000;10025;10025;0;8;8
1867;Cornigliano;Genova;44,4268770000000;8,87406970000000;10025;10807;0;1;1
1867;San Francesco d'Albaro;Genova;44,3968314000000;8,96823170000000;10025;10819;0;1;1
1867;Sestri Ponente;Genova;44,4276588000000;8,85281640000000;10025;10826;0;2;2
1867;Savona;Savona;44,3034046000000;8,47433150000000;9056;10926;0;2;2
1867;Como;Como;45,8063817000000;9,08518670000000;13075;13075;0;1;1
1867;Vendrogno;Vendrogno;46,0341907000000;9,32919500000000;13237;13237;0;1;1
1867;Lodi;NA;38,1341477000000;-121,27221940000000;NA;15126;1;1;2
1867;Milano;Milano;45,4641943000000;9,18963460000000;15146;15146;0;23;23
1867;Olgiate Olona;Olgiate Olona;45,6327865000000;8,88496820000000;12108;15414;0;1;1
1867;Bergamo;Bergamo;45,6941966000000;9,67074620000000;16024;16024;0;1;1
1867;Martinengo;Martinengo;45,5697537000000;9,76497090000000;16133;16133;0;1;1
1867;Brescia;Brescia;45,5415526000000;10,21180190000000;17029;17029;0;2;2
1867;Palazzolo sull'Oglio;Palazzolo sull'Oglio;45,5958996000000;9,88606970000000;17133;17133;0;1;1
1867;Pavia;Pavia;45,1853967000000;9,15525620000000;18110;18110;0;1;1
1867;Voghera;Voghera;44,9917543000000;9,01185100000000;18182;18182;0;1;1
1867;Vicenza;Vicenza;45,5461815000000;11,54137790000000;24116;24116;0;1;1
1867;Treviso;Treviso;45,6669338000000;12,24306080000000;26086;26086;0;1;1
1867;Venezia;Venezia;45,4403790000000;12,31595470000000;27042;27042;0;10;10
1867;Padova;Padova;45,4105029000000;11,87820710000000;28060;28060;1;1;2
1867;Borgo Taro;Borgo Val di Taro;44,4876053000000;9,76739070000000;34006;34006;0;2;2
1867;Parma;Parma;44,8014788000000;10,32799110000000;34027;34027;0;1;1
1867;Modena;Modena;44,6471280000000;10,92522690000000;36023;36023;0;1;1
1867;Bologna;Bologna;44,4948870000000;11,34261630000000;37006;37006;0;5;5
1867;San Giovanni in Persiceto;San Giovanni in Persiceto;44,6411090000000;11,18447120000000;37053;37053;0;1;1
