City,1,2,3,4,5,6,7,8,9,10,11,12,13
Belvedere Langhe,679,618,575,635,627,705,633,6329,691,622,549,432,324
Bene Vagienna,6306,6285,6646,6638,6345,6219,5907,5421,4697,4013,3528,3255,3193
Benevello,378,426,440,523,506,537,545,531,489,345,356,366,419
Bergolo,209,244,228,277,271,262,285,261,245,204,108,77,73
Bernezzo,3323,3479,3596,3564,3125,3078,2543,2470,2360,2019,1895,2108,2554
Bonvicino,653,619,669,670,586,586,567,542,455,293,211,163,127
Borgomale,451,458,496,634,648,603,703,724,589,419,380,358,343
Borgo San Dalmazzo,4004,4317,4391,4699,4700,4534,4949,4717,5717,6356,8041,10079,10939
Bosia,438,496,498,578,549,617,598,622,429,354,308,241,225
Bassalasca,1126,1139,1121,1184,1120,1177,1107,1136,1006,813,642,615,674
Boves,9222,9744,10733,10137,9218,9741,8840,8281,8365,8027,7875,8457,8827
Bra,13908,13658,14214,15676,17120,16932,17519,17139,18005,19163,23541,26441,27211
Briaglia,581,594,629,642,712,673,643,565,491,397,368,279,263
Briga Alta,1291,1361,713,545,776,679,418,379,285,225,161,120,81
Brondello,959,1060,1053,1001,1014,922,917,849,772,581,427,341,330
Brossasco,2512,2694,2828,2817,2848,2565,2314,2142,2003,1674,1317,1222,1177
Busca,9837,9844,9931,9298,9359,9475,8895,8494,8458,7787,7851,8182,8913
Camerana,1696,1671,1646,1678,1569,1708,1550,1651,1476,1234,1049,907,772
Camo,302,341,395,438,556,567,498,461,367,301,244,238,235
Canale,4733,4934,5309,5557,5400,5103,5052,4965,4593,4409,4733,4876,4965
Canosio,791,760,742,649,666,488,399,331,270,241,162,136,106
Caprauna,583,609,615,514,505,414,390,366,339,331,270,218,171
Caraglio,6728,7074,6937,5970,5333,5592,5543,5535,5541,5097,5203,5554,5721
Caramagna Piemonte,3643,3620,3630,3009,2825,2686,2435,2312,2090,2011,2114,2216,2406
Cardè,2114,2145,2187,1897,1966,1879,1979,1784,1576,1312,1243,1127,1068
Carrú,3996,3977,4128,4507,4445,4282,4394,4298,4278,4046,4075,4138,3957
Cartignano,973,1040,892,851,860,897,817,569,440,357,241,204,177
045 Casalgrasso,1496,1539,1512,1308,1410,1325,1290,1290,1188,1135,1105,1199,1412
Castagnito,1004,1062,1119,1301,1309,1224,1196,1140,1099,907,932,1383,1519
Casteldelfino,1258,1356,1254,1123,1124,1103,861,832,792,650,548,416,296
Castellar,399,422,408,316,295,325,306,300,274,218,195,236,241
Castelletto Stura,1294,1280,1619,1560,1522,1441,1408,1399,1352,1175,1064,1035,1072
Castelletto Uzzone,1032,965,951,1015,959,1045,966,949,810,568,471,421,395
Castellinaldo,1433,1480,1553,1698,1714,1661,1646,1475,1277,1041,893,814,783
Castellino Tanaro,895,893,923,901,842,924,847,837,764,649,461,389,343
Castelmagno,1310,1448,1431,1315,1210,1062,769,698,485,294,186,211,163
Castelnuovo di Ceva,441,496,519,339,340,358,315,333,307,237,180,159,143
Castiglione Falletto,542,589,576,629,639,660,638,600,555,513,535,514,515
Castiglione Tinella,1262,1506,1668,2056,2105,2103,1896,1783,1552,1284,1078,996,949
Castino,1126,1237,1248,1460,1390,1422,1470,1527,1240,890,678,584,549
Cavallerleone,1377,1393,1232,1126,1211,1209,1136,1059,1005,774,650,567,570
Cavallermaggiore,5453,5599,5676,5011,4948,4823,4709,4608,4521,4254,4418,4576,4542
Celle di Macra,1465,1521,1328,1331,1448,1383,1194,1006,758,528,216,193,147
Centallo,4813,4751,4931,4564,4704,4927,5074,5098,5124,4465,4715,5512,5846
Ceresole Alba,1969,1857,1940,1778,1930,2037,2155,1827,1697,1577,1711,1845,1940
Cerreto Langhe,642,683,640,695,830,777,782,778,740,591,441,391,383
064 Cervasca,2690,2905,3005,2848,2688,2772,2592,2526,2593,2431,2794,3432,3673
Cervere,2328,2220,2280,2241,2291,2453,2261,2117,2023,1645,1516,1538,1682
Ceva,4454,5180,5864,5034,5514,6054,5822,5534,5581,5052,5221,5645,5568
Cherasco,8592,8991,9515,9077,9312,8819,8846,8388,7716,6359,6052,6254,6503
Chiusa di Pesio,6232,6738,7136,6516,5829,5752,5102,4553,4467,4017,3628,3509,3389
Cigliè,619,623,670,742,671,625,636,599,526,386,292,249,197
Cissone,489,481,469,518,474,460,488,505,376,310,219,160,136
Clavesana,1524,1591,1633,2100,2223,2217,2009,2006,1859,1633,1349,1118,941
Corneliano d'Alba,1988,2167,2306,2412,2308,2312,2452,2391,1995,1766,1851,1773,1845
Cortemilia,3000,3460,3350,3790,3567,3620,3618,3576,3138,2729,2606,2681,2587
Cossano Belbo,1837,1971,2059,2245,2388,2473,2398,2343,1966,1546,1384,1255,1145
Costigliole Saluzzo,2654,2821,2735,2633,2644,2750,2678,2790,2903,2818,2941,3211,3097
Cravanzana,810,878,788,840,788,789,781,800,778,588,549,458,441
077 Crissolo,1400,1388,1245,1142,1371,1426,915,722,586,527,422,316,247
Cuneo,22731,23453,24746,26879,29421,31741,35522,35321,39867,46065,54544,55875,55794
079 Demonte,7564,7768,7898,7107,6362,5811,3969,3503,3241,2857,2470,2275,2134
Diano d'Alba,1750,2063,2254,2915,3044,3201,3113,2960,2629,2250,2217,2482,2734
Dogliani,4823,5076,5432,5826,5562,5730,5631,5687,5297,4750,4849,4854,4666
Dronero,7981,8260,8098,7679,7561,7602,7950,6493,6615,6670,7107,7124,6969
Elva,1276,1266,1264,1319,1264,1203,801,692,556,396,252,199,154
Entracque,3318,3245,2762,2996,2394,2589,1875,1559,1398,1092,944,895,878
