City,1,2,3,4,5,6,7,8,9,10,11,12,13
POPOLAZIONE RESIDENTE,1861,1871,1881,1901,1911,1921,1931,1936,1951,1961,1971,1981,1991
Domus de Maria,721,679,644,835,840,774,819,918,1315,1360,1329,1392,1444
Domusnovas,2042,2583,2503,3013,2957,3448,3630,3483,4839,5773,5601,6117,6926
Donorì,815,786,806,791,918,970,1179,1218,1591,1924,1859,1998,2045
Elmas,789,632,743,816,924,942,1260,1689,2467,3633,4473,5773,7348
Fluminimaggiore,1869,2192,2797,3990,4229,3900,3821,3374,3820,4067,3690,3357,3241
Furtei,1030,915,981,1057,1118,1179,1280,1422,1728,1846,1788,1830,1793
Genuri,359,400,434,383,440,446,535,575,654,706,567,518,444
Gesico,992,814,742,802,846,751,864,864,1189,1223,1239,1149,1020
Gesturi,1660,1457,1430,1431,1507,1455,1643,1709,1827,1801,1567,1515,1480
Giba,815,833,869,924,1120,1218,1335,1525,2297,2645,2288,2286,2286
"Goni """,306,315,347,384,419,414,454,499,656,718,679,620,591
Gonnesa,960,1251,1686,3243,2847,3582,4302,4240,5571,5366,4887,5202,5458
Gonnosfanadiga,3573,3863,4091,4485,5176,5337,5480,5822,7259,7211,7079,7322,7320
Guamaggiore,668,598,603,532,644,656,756,842,1068,1172,1118,1168,1112
Guasila,2234,2056,1902,1908,2122,2149,2404,2538,3173,3458,3099,3158,3063
Guspini,4799,5357,6351,6946,7889,7446,8435,9368,11744,12318,12936,13539,13380
Iglesias,4951,7222,10679,19879,20505,18878,22335,20685,26146,28004,28081,30119,30134
Las Plassas,486,459,429,397,454,500,587,502,566,632,379,298,317
Lunamatrona,968,1018,1104,1148,1299,1278,1467,1640,1948,2017,1850,1896,1896
Mandas,2340,2054,2022,2104,2302,2282,2438,2586,3047,3003,2750,2723,2648
Maracalagonis,1099,1109,1097,1519,1791,2061,2277,2587,3133,3677,4164,5180,5982
Masainas,626,635,660,710,884,893,1024,946,1344,1587,1462,1563,1546
Monastir,1360,1273,1274,1293,1557,1773,2010,2016,2592,3029,3345,4149,4539
Muravera,1794,1550,2316,2528,2683,2963,2497,3026,3519,4032,3614,3880,4348
Musei,637,670,697,711,700,801,806,878,1188,1326,1257,1304,1451
Narcao,1750,1625,1986,2186,2142,1968,2469,2484,2795,3330,3002,3332,3579
Nuraminis,2057,2030,2010,2015,2172,2185,2446,2517,2935,3045,3024,3107,3124
Nuxis,1358,1426,1490,1537,1676,1574,1747,1799,2187,1998,1808,1848,1834
Ortacesus,516,548,517,536,616,559,708,677,890,1057,947,875,921
Pabillonis,1389,1449,1563,1483,1670,1668,1813,1983,2539,2793,3150,3123,3106
Pauli Arbarei,433,424,409,401,477,530,656,676,801,797,787,778,719
Perdaxius,579,538,657,674,833,878,823,842,1211,1677,1427,1477,1516
Pimentel,723,641,591,566,647,783,814,847,1144,1165,1160,1241,1249
Piscinas,639,654,682,676,662,720,835,756,877,806,938,973,992
Portoscuso,502,676,788,1161,1294,1693,1936,2070,2535,3615,4800,5670,5868
Pula,1700,1485,1668,1781,1964,2066,2131,2275,2611,3642,4770,5371,5857
Quartucciu,2084,1938,1970,2317,2795,3013,3654,3985,5561,6611,7526,8427,9599
Quartu Sant'Elena,6491,6324,6636,8453,9247,9936,10913,12201,17579,22916,30700,43896,61636
Samassi,2509,2316,2477,2379,2827,3003,3446,3525,4337,4534,4742,5312,5463
Samatzai,1402,1262,1244,1159,1401,1455,1557,1578,1705,1754,1574,1678,1708
San Basilio,1291,1165,1161,1136,1160,1041,1147,1279,1293,1488,1512,1497,1459
San Gavino Monreale,2654,2654,2841,3247,3527,3809,4183,5061,7410,8344,8723,10013,10119
San Giovanni Suergiu,1206,1310,1519,1555,1644,1836,2191,2652,4308,5353,5043,5711,6342
Sanluri,4199,4177,4177,4403,4593,4786,5449,5721,7555,7595,7402,8305,8499
San Nicolò Gerrei,983,1009,1056,1192,1394,1338,1258,1316,1384,1395,1237,1094,1041
San Sperate,1876,1772,1866,1884,2272,2565,2872,2861,3676,4247,4978,5916,6468
Santadi,1520,1677,1787,2163,2456,2812,3069,3213,4142,4538,3964,3944,4061
Sant'Andrea Frius,1016,936,964,1057,1080,1163,1383,1404,1618,1769,1763,1815,1854
Sant'Anna Arresi,501,511,533,703,779,867,1030,1213,1607,1890,2013,2304,2516
Sant'Antioco,3065,3188,3495,4052,4613,5249,6564,6774,9816,10993,11313,12404,12313
San Vito,2865,2863,3290,4297,4451,4317,4289,4756,4792,5277,4215,4125,4009
Sardara,2474,2683,2661,3084,3306,3099,3369,3541,3942,4137,4155,4406,4503
Sarroch,1198,1150,1142,1350,1646,1680,1742,1807,2261,2710,3944,4968,5379
Segariu,700,588,647,661,732,750,899,989,1308,1441,1409,1432,1383
Selargius,3215,2976,3099,3393,3780,3856,4351,4668,6916,8768,12110,18245,23237
Selegas,1131,1048,910,969,1162,1153,1426,1488,1756,1827,1483,1439,1506
Senorbì,2040,2060,2142,2065,2309,2525,2711,2824,3488,3972,3680,3977,4228
Serdiana,1006,881,857,899,1063,1322,1405,1342,1560,1714,1691,1993,2160
Serramanna,3047,2791,3027,3672,4303,4524,5233,5408,6556,7701,8578,9446,9837
Serrenti,2294,2124,2257,2452,2736,2814,3335,3526,4401,4559,4674,5149,5327
Sestu,1680,1573,1756,2289,2752,3227,3771,4392,5640,6739,8730,10561,12182
Settimo San Pietro,1801,1530,1550,1770,1915,1953,2143,2208,2740,3285,3583,4792,5524
Setzu,302,330,276,240,292,267,304,325,278,278,223,223,189
Siddi,608,615,603,636,631,802,869,871,987,1121,990,903,878
Siliqua,2307,2236,2290,2427,2609,2586,2934,3130,3851,4187,4040,4265,4430
Silius,823,892,903,971,1020,1015,1021,1025,1133,1328,1411,1472,1383
Sinnai,2984,2977,3101,3847,4444,4658,5122,5617,6736,7725,8799,11229,13086
"Siurgus Donigala """,1723,1710,1654,1736,1900,1799,2051,2125,2837,2860,2390,2293,2202
