City,1,2,3,4,5,6,7,8,9,10,11,12,13
Melendugno,2187,2578,3079,3405,3724,3787,4678,4917,6182,6893,6665,7781,8789
Melissano,1121,1356,1618,2312,2811,3319,3858,4162,5130,5685,6228,6687,7124
Melpignano,715,909,1010,1169,1430,1461,1641,1767,2089,2369,2086,2197,2156
Miggiano,1188,1316,1322,1458,1627,1778,2089,2186,2753,3096,3220,3550,3666
Minervino di Lecce,2574,2588,2899,3198,3505,3365,3734,4022,4547,4394,4041,4138,4113
Monteroni di Lecce,3017,3207,3737,4598,5149,5928,7118,7772,9098,10187,10968,12637,13382
Montesano Salentino,737,773,838,1088,1138,1283,1396,1452,1704,2105,2250,2494,2626
Morciano di Leuca,1560,1568,1737,2106,2364,2409,2718,2983,3490,3876,3869,3744,3521
Muro Leccese,2135,2299,2445,3061,3455,3467,3994,4389,4829,5066,4860,5083,5173
Nardò,8197,9378,9622,12943,14873,15932,18667,19780,23983,26802,26466,28461,31490
Neviano,1725,1906,2144,2923,3365,3767,4477,4847,5411,6067,5982,6393,6330
Nociglia,1176,1220,1412,1619,1728,1672,2008,2213,2436,2499,2639,2728,2766
Novoli,3412,4158,4774,6027,6686,6727,7454,8307,9600,9567,9198,9017,8771
Ortelle,1211,1330,1429,1711,1896,1925,2197,2310,2511,2641,2637,2554,2520
Otranto,2111,2030,2417,2295,2485,3009,2897,3033,3409,4309,4151,4803,5114
Palmariggi,800,787,840,830,861,919,1094,1193,1430,1494,1470,1632,1622
Parabita,2656,2944,3256,4454,5171,5776,6542,7183,8483,9068,9309,8984,10039
Patù,1024,930,1041,1176,1339,1231,1335,1364,1503,1555,1533,1608,1696
Poggiardo,2198,2398,2547,3280,3511,3644,4616,4751,5456,5643,5522,5750,6071
Porto Cesareo,801,917,940,1265,1454,1557,1825,1934,2344,2620,2587,3402,4044
Presicce,2786,2768,3212,3809,4210,4436,5028,5265,5912,6461,6836,6556,5794
Racale,1792,2048,2197,3034,3696,4112,4860,5118,6029,6489,7270,8714,9978
Ruffano,3361,3303,3847,4326,4914,5343,6250,6691,7879,8341,8331,10881,10092
Salice Salentino,2096,2537,3038,3647,4171,4545,5174,5558,6901,7527,7789,8416,8963
Salve,1790,1717,1960,2518,2717,2959,3451,3833,4574,5053,4207,4640,4524
Sanarica,643,739,745,1008,1202,1288,1271,1383,1497,1574,1338,1413,1495
San Cassiano,656,693,771,959,1158,1139,1454,1497,1809,1847,1993,2184,2263
San Cesario di Lecce,4166,4308,4562,5141,5398,5602,5959,6298,6829,6884,7058,7449,7351
San Donato di Lecce,2210,2468,2631,2921,3104,3243,3775,4060,4533,4848,4827,5429,5641
Sannicola,1547,1600,1729,3140,3854,4832,5460,5756,6875,6779,5972,6219,6414
San Pietro in Lama,1675,1864,2013,2424,2727,3027,3684,3957,4523,4379,4002,3875,3788
Santa Cesarea Terme,1259,1325,1452,1585,1697,1855,2089,2391,2748,3007,3073,3129,3014
Scorrano,1771,1861,2149,2583,2718,2861,3395,3698,4534,5290,6096,6670,6671
Secli,765,752,809,950,997,1022,1203,1311,1545,1688,1841,1819,1808
Sogliano Cavour,1278,1462,1706,2071,2174,2246,2909,3249,3754,3886,3467,3834,4061
Soleto,2373,2552,2692,3349,3485,3667,4134,4364,4658,4697,4644,5285,5338
Specchia,2656,2714,2650,2950,3132,3382,3852,4040,4351,4728,4481,4572,4966
Spongano,1314,1404,1576,1806,2143,2320,2598,2791,3268,3640,3569,3673,3850
Squinzano,3633,3933,4462,6813,8283,9207,10559,11298,13578,14025,14360,16061,15821
Sternatia,1418,1510,1543,1803,2021,2049,2255,2363,2581,2654,2346,2661,2811
Supersano,1031,1100,1422,1748,2049,2341,2712,3028,3798,4223,4168,4445,4651
Surano,719,753,900,997,1163,1147,1367,1519,1647,1735,1823,1988,1800
Surbo,2154,2353,2606,3226,3448,3693,4396,4956,6116,6878,8190,10038,10560
Taurisano,2293,2448,2617,3399,3894,4348,5238,5783,7477,9118,9824,11498,11842
Taviano,2230,2688,3216,3951,4622,5643,6618,6928,8397,8985,9736,11316,12322
Tiggiano,662,734,828,951,1060,1130,1305,1434,1764,2081,2235,2395,2628
Trepuzzi,2969,3443,3882,5184,5709,6438,7652,8264,10192,11442,12185,13270,14380
088 Tricase,5319,5329,5820,6766,8013,8659,10039,10700,12013,13196,13745,15803,16390
Tuglie,2125,2245,2441,4136,4837,5136,5789,5942,6122,6009,5336,5715,5601
Ugento,2843,2906,3362,4235,4688,5088,5824,6551,8350,9235,8967,10144,11301
Uggiano la Chiesa,2161,2327,2443,2625,2797,3053,3525,3764,4200,4376,4335,4384,4454
Veglie,2259,2303,2708,3441,3773,4577,5467,6322,8434,10194,11085,12650,13639
Vernole,3171,3372,3992,4322,4672,4822,4995,5281,6063,6481,6982,7693,7792
Zollino,802,903,994,1277,1431,1547,1682,1863,2266,2341,2094,2047,2279
001 Abriola,3326,3253,3337,2740,2535,2592,2816,2902,3147,3244,2608,2360,2061
002 Acerenza,4272,3889,4019,4591,4757,4624,4587,4788,5178,4514,3734,3425,3043
Albano di Lucania,2816,2827,2856,2414,2281,2168,2316,2462,2647,2470,2031,1752,1682
Anzi,4074,3794,3649,2863,2356,2299,2476,2731,3371,3237,2579,2230,2158
Armento,3183,3043,3035,2097,1881,1900,1728,1854,2055,2095,1541,1137,946
006 Atella,1999,2235,2211,2350,2337,2302,3032,3042,3800,3655,3518,3542,3519
007 Avigliano,15278,15115,17318,16161,15021,17391,11154,9629,10767,11307,10973,11392,11761
Balvano,4076,3794,3732,2951,3068,3064,2311,2481,2875,2646,2383,2286,2296
Banzi,1108,1266,1393,1649,1714,1885,1956,2057,2531,2406,2236,1739,1903
Baragiano,2062,1898,2037,1859,1607,1710,2184,2423,2669,2723,2517,2492,2716
Barile,3915,3872,3873,4107,3738,4020,3881,4028,4312,4203,3696,3531,3262
