City,1,2,3,4,5,6,7,8,9,10,11,12,13
POPOLAZIONE RESIDENTE,1861,1871,1881,1901,1911,1921,1931,1936,1951,1961,1971,1981,1991
Fombio,1956,2113,2056,2218,2130,2169,2119,1938,2088,1948,1620,1503,1632
Gaggiano,3184,3458,3357,3845,3972,4012,4147,4256,4742,5026,5338,6928,8008
Galgagnano,514,537,482,547,518,532,573,573,576,449,335,331,387
Garbagnate Milanese,1957,2260,2428,2787,3213,3340,4638,4710,5632,7633,17374,23911,25978
Gessate,2275,2476,2543,2918,3201,3005,2870,2787,2765,3038,3686,3871,4693
Giussano,4252,4626,4905,6074,7198,7779,8816,9516,11270,14663,18827,20041,20216
Gorgonzola,4451,4864,4759,5134,5242,5055,5676,6093,7444,9089,12612,14646,16258
Graffignana,1927,2021,2053,2250,2215,2486,2273,2219,2350,2164,2185,2351,2553
Grezzago,555,628,671,633,792,720,801,836,976,1068,1228,1297,1628
Guardamiglio,2364,2468,2464,2589,2414,2393,2561,2582,2668,2440,2485,2602,2492
Gudo Visconti,675,704,651,636,645,616,562,607,614,509,381,576,955
Inveruno,2720,2771,3067,3729,3985,4384,4767,4961,5633,6132,6855,7542,8235
Inzago,3830,4343,4326,4831,4966,5016,5402,5435,6135,6349,7391,8112,8698
Lacchiarella,3750,3904,3856,4208,4626,4514,4351,4455,4916,5214,5910,6021,6825
Lainate,3541,3545,3653,4217,4473,4535,5186,5448,6758,9408,15702,18801,21320
Lazzate,1145,1059,1343,1517,1799,1954,2279,2329,2822,4047,5128,5404,5814
Legnano,6501,6949,8098,18364,25087,27218,29556,31961,38014,42473,47736,49687,50018
Lentate sul Seveso,3701,3936,4312,5083,5950,6178,6461,7056,8518,10908,12376,13273,14257
Lesmo,1889,1970,2225,2607,2760,2813,2918,2957,3214,3391,4182,5157,6293
Limbiate,2547,3102,2805,4902,6449,7241,9284,9148,9087,21595,31958,32658,31873
Liscate,1068,1137,1224,1195,1110,1217,1115,1184,1368,1229,1487,1564,3117
Lissone,4258,4734,5162,7836,10630,11666,14266,15277,18931,24523,30377,30276,32177
Livraga,3374,3429,3389,3465,3404,3419,3234,3143,3263,3025,2697,2448,2449
Locate di Triulzi,2112,2130,2188,2390,2672,2808,3265,3551,4639,5996,6501,6586,8148
Lodi,26054,25514,25478,26827,27057,27490,29839,30636,35320,38158,44422,43282,42250
Lodi Vecchio,3347,3478,3464,3332,3294,3595,3591,3620,4095,4111,5029,5731,6141
Maccastorna,372,452,412,470,422,422,431,361,365,239,143,102,79
Macherio,1372,1553,1747,2216,2831,2903,3253,3367,4012,4531,5433,6581,6435
Magenta,6282,6421,6392,8012,9957,10088,12682,13021,15513,18417,23700,23825,23667
Magnago,2170,2256,2522,2830,3147,3259,3607,3737,4256,5274,6355,6880,6922
Mairago,2159,2245,2084,1978,1884,1892,1731,1705,1899,1482,1092,1044,979
Maleo,4109,4186,4205,4470,4193,4368,4027,3823,4064,3855,3483,3425,3375
Marcallo con Casone,1934,1940,2089,2350,2700,2820,2975,3076,3497,3849,4085,4890,5165
Marudo,792,812,843,833,797,782,637,695,794,671,701,795,932
Masate,994,1091,1243,1352,1509,1483,1300,1225,1400,1342,1362,1640,2011
Massalengo,1584,1568,1669,1606,1613,1644,1598,1525,1561,1576,1926,2680,2872
Meda,3116,3258,3876,5410,6986,7750,8943,9237,11510,14883,18245,20470,20820
Mediglia,2641,2794,2801,2861,2826,2902,2940,3060,3574,3481,6113,6170,8413
Melegnano,4656,5349,6373,6938,7446,7674,8897,9609,11170,13247,18965,18495,16256
Melzo,2524,2767,3106,4426,4526,4915,6570,7308,8719,12797,17092,501,17996
143 Merlino,941,1026,1019,964,977,1070,983,1048,1129,933,700,759,912
144 Mesero,1302,1338,1311,1569,1841,1823,1965,1908,2107,2206,2386,2730,3114
145 Mezzago,1247,1381,1537,1859,2112,2227,2256,2305,2481,2402,2517,2719,2848
Misinto,1245,1410,1395,1356,1478,1311,1467,1517,1772,2259,2586,3424,3689
Montanaso Lombardo,902,845,980,1059,1001,1029,943,980,1053,919,800,1461,1569
Monza,24499,25266,26807,41218,51655,54617,61516,65052,73114,84445,114327,123145,120651
Morimondo,2197,1785,1788,1793,1746,1764,1485,1582,1761,1364,1063,1013,1090
Motta Visconti,2491,2771,2866,3479,3981,3731,3692,3677,3885,4240,4807,5249,5495
Muggiò,1958,2117,2345,2917,3386,3537,4587,5001,5847,9099,17695,18796,20393
Mulazzano,2695,2825,2859,3040,2821,3064,3029,3094,3370,3154,3114,3168,3536
Nerviano,3854,4059,4774,6046,6701,7002,8195,8209,10006,11331,13450,15543,15758
Nosate,480,527,570,600,535,477,549,534,632,693,688,635,612
Nova Milanese,2433,2409,2485,2964,3254,3277,4150,4445,5762,10473,16621,19707,20620
Novate Milanese,2413,2498,2533,2371,3224,3428,4886,5618,7078,11681,17121,20484,20357
Noviglio,1374,1350,1268,1349,1204,1187,1112,1068,1187,943,1006,1324,2183
Opera,1070,968,981,1047,1002,1044,1950,2342,2529,3249,5457,11485,13245
Orio Litta,1915,2024,1979,1925,1866,1756,1821,1672,1684,1511,1679,1743,1823
Ornago,1195,1334,1399,1695,1878,2005,2107,2138,2197,2001,2212,2286,3076
Ospedaletto Lodigiano,1819,1846,1854,2009,1930,1821,1401,1477,1642,1475,1406,1426,1428
Ossago Lodigiano',1559,1814,1771,1811,1820,1943,1691,1531,1642,1344,1037,1010,1067
Ossona,1284,1289,1358,1581,1796,1905,2090,2214,2536,2616,3071,3325,3463
Ozzero,1216,1232,1210,1221,1217,1335,1190,1174,1352,1186,1126,1283,1294
Paderno Dugnano,5869,5968,5926,8420,7241,7782,9741,10586,14218,31704,35172,39129,43963
Pantigliate,691,689,720,755,757,813,962,1029,1198,1818,2926,4166,4872
Parabiago,4270,4740,4877,6693,8538,8992,11178,12385,15012,17662,20064,21711,23099
Paullo,1807,1983,2015,2219,2460,2473,2707,2864,3259,4461,6655,7851,9613
