City,1,2,3,4,5,6,7,8,9,10,11,12,13
POPOLAZIONE RESIDENTE,1861,1871,1881,1901,1911,1921,1931,1936,1951,1961,1971,1981,1991
Acquaviva d'Isernia,713,718,689,765,884,838,681,710,749,703,652,585,002
Agnone,10637,11615,10832,10189,10106,10142,9337,9579,9664,8187,6749,6324,6207
Bagnoli del Trigno,4101,4636,4397,4779,4153,4958,4438,4315,3532,2727,1866,1388,1131
Belmonte del Sannio,1778,1879,1787,1409,1293,1244,1264,1365,1497,1537,1346,1188,1048
Cantalupo nel Sannio,2443,2607,2702,3244,3338,4008,3552,2632,2362,1553,1050,840,761
Capracotta,3737,4264,3902,4502,4268,4706,4504,3934,3628,3201,2163,1612,1314
Carovilli,2908,3093,3185,3468,3284,3280,2429,2404,2427,2172,2113,1609,1618
Carpinone,3109,3012,3060,3298,3306,3020,2849,2378,2381,1843,1311,1220,1296
Castel del Giudice,1554,1590,1639,1399,1321,1169,975,953,917,802,581,521,412
Castelpetroso,3011,3205,3083,3300,3360,3320,2768,2821,2829,2471,1944,1786,1722
Castelpizzuto,790,773,727,605,548,576,429,435,401,320,205,185,134
Castel San Vincenzo,2045,2133,1791,1473,1322,1140,989,990,1018,940,688,613,591
Castelverrino,927,866,790,749,619,592,512,534,495,401,311,256,177
Cerro al Volturno,2626,2607,2319,2639,2606,2619,2440,2517,2497,2334,2099,1982,1682
Chiauci,1290,1269,1206,1166,1058,902,675,710,766,697,433,363,337
Civitanova del Sannio,3577,3617,3445,3133,3065,2645,2339,2644,2475,1845,1325,1078,1015
Colli a Volturno,1578,1692,1600,1732,1902,1739,1858,1955,2080,1981,1538,1350,1374
Conca Casale,727,921,925,821,760,619,568,584,554,507,394,328,294
Filignano,2531,2740,2780,2437,3467,3217,2103,1990,1739,1335,949,947,897
Forlì del Sannio,2253,2664,2499,2411,2604,2147,1909,1980,1906,1596,1265,1104,918
Fornelli,2150,2279,2048,1658,1480,1526,1603,1660,1890,1974,1724,1695,1821
Frosolone,5244,6012,6148,5897,5365,5889,5129,5227,5305,4859,3810,3596,3531
Isernia,8844,9193,9201,9201,9720,10018,10158,10431,11133,12781,15696,20145,20933
Longano,1443,1390,1447,1675,1489,1390,1268,1355,1488,1314,1107,1012,811
025 Macchia d'Isernia,745,902,767,869,1032,1091,824,876,898,809,814,810,963
Macchiagodena,3369,3475,3604,4165,4221,4257,3726,3956,4115,3329,2425,2274,2143
027 Miranda,2129,2078,2018,2003,1995,1891,1454,1414,1465,1303,1184,1163,1143
Montaquila,1277,1404,1397,1706,1857,1950,1993,2079,2254,2262,2202,2322,2527
Montenero Val,1712,1784,1769,2089,2008,1691,1519,1485,1244,968,814,767,683
Monteroduni,2824,3090,3014,2886,3008,2512,2504,2540,2619,2534,2273,2377,2409
Pesche,1561,1531,1482,1315,1043,1069,947,914,860,635,547,583,958
Pescolanciano,1746,1898,1973,1844,2195,1949,1742,1730,1769,1626,1269,1183,1094
Pescopennataro,1244,1394,1470,1533,1571,1245,974,940,837,816,749,608,502
Pettoranello del,1135,1134,1049,1110,1003,943,886,882,911,672,422,353,397
Pietrabbondante,3678,4067,3393,2744,2267,2542,2358,2599,2599,2149,1694,1316,1108
Pizzone,1768,1859,1678,1561,1270,1212,1043,1059,1086,904,551,481,392
Poggio Sannita,2737,2907,2588,2540,2440,2446,2492,2402,2624,2284,1933,1605,1217
Pozzilli,1297,1643,1650,1867,1700,1944,1832,1901,2009,1873,1788,2022,2017
Rionero Sannitico,2354,2496,2369,2567,2556,2370,2242,2409,2459,2087,1599,1305,1281
Roccamandolfi,2833,3080,2856,3276,3064,3053,2113,2215,2174,1793,1409,1273,1164
Roccasicura,1912,1889,2003,1795,1690,1267,1152,1134,1188,1111,981,765,699
Rocchetta a Volturno,1749,1902,1885,2224,1984,2116,1685,1714,1636,1420,1113,1077,1108
San Pietro Avellana,2074,2250,2472,2622,2532,2945,1939,2065,1688,1503,998,791,726
Sant'Agapito,1132,1272,1213,1384,1444,1364,1327,1334,1202,1108,1020,1060,1187
Santa Maria del Molise,1763,1852,1926,2148,2024,1956,1902,1841,1833,1102,720,632,747
Sant'Angelo del Pesco,1166,1246,1461,1260,1259,1223,1041,1063,1021,958,877,564,461
Sant'Elena Sannita,1533,1634,1677,1935,1900,1912,1843,1671,1239,920,530,451,287
Scapoli,1369,1411,1241,1478,1476,1213,1298,1311,1282,1335,1235,1005,1033
Sessano del Molise,2244,2229,2226,2460,2098,1959,1949,1893,1765,1498,1166,1159,1029
Sesto Campano,1615,1725,1667,1725,2365,2170,2078,2326,2736,2751,2806,3010,3141
Vastogirardi,2197,2427,2523,2616,2707,2485,2055,2122,2249,1928,1348,1050,864
Venafro,4566,4430,4823,4852,4877,4601,4852,5326,5751,6043,6380,8791,10107
Acquaviva Collecroce,1777,1820,1837,2212,2243,2017,2058,2172,2250,1808,1157,1017,883
Baranello,3034,3378,3761,4280,4515,4597,4316,4266,4360,3635,3064,3041,2790
Bojano,4764,5631,5787,6498,6439,6779,6768,7233,8344,7096,6928,7260,8426
Bonefro,4396,4463,4786,5256,5395,4684,4707,4870,5041,4223,2759,2642,2166
Busso,1996,2005,1998,2257,2030,2073,2355,2500,2684,2090,1484,1465,1487
Campobasso,12802,14311,14845,14724,16791,16413,19955,22525,28678,34011,41782,48291,50941
Campochiaro,2131,2225,1782,2087,2014,1658,1557,1536,1428,1020,754,657,682
Campodipietra,1802,1873,1998,1997,2283,2188,2027,2124,1990,1600,1464,1543,1664
Campolieto,2084,2305,2262,1989,2171,2121,2254,2241,2330,2002,1453,1278,1167
Campomarino,1616,1325,1643,1684,1522,1496,1682,1880,2844,3706,3972,5482,5818
