City,1,2,3,4,5,6,7,8,9,10,11,12,13
POPOLAZIONE RESIDENTE,1861,1871,1881,1901,1911,1921,1931,1936,1951,1961,1971,1981,1991
San Martino d'Agri,1678,1554,1531,1275,1303,1295,1399,1469,1640,1715,1560,1372,1243
San Paolo Albanese,1430,1320,1088,836,968,843,880,877,914,911,715,624,529
San Severino Lucano,4937,5215,4433,2741,3260,3337,3419,3435,3454,3027,2810,2405,2224
Sant'Angelo le Fratte,1558,1708,1653,1455,1462,1876,1842,1955,2040,2002,1672,1630,1656
Sant'Arcangelo,3844,4264,4837,4703,5168,5077,5390,5557,6329,6587,6423,6704,7270
Sarconi,1134,1290,1232,1064,919,1098,1160,1222,1338,1326,1249,1206,1307
Sasso di Castalda,2667,2697,2281,1434,1257,1216,1186,1304,1410,1293,1178,1188,1115
Satriano di Lucania,2850,2806,2990,2435,2598,2435,2553,2740,2891,2752,2162,2113,2424
Savoia di Lucania,2026,1992,1908,1476,1234,1336,1436,1614,1779,1694,1451,1362,1351
Senise,4815,5185,5580,4697,5003,5008,5427,5806,7051,7209,7185,7188,7316
Spinoso,2871,2828,2656,2098,2038,2089,2014,2112,2367,2397,1827,1855,1852
Teana,1700,1526,1272,874,920,913,919,962,1079,1108,987,871,874
Terranova di Pollino,1914,2440,2357,2451,2333,2399,2633,2660,2689,2724,2377,2016,1815
Tito,4857,4787,4673,3621,3308,3523,3967,3942,4260,4364,4037,4834,5722
Tolve,4473,4384,4605,4960,4823,4282,4963,5027,5531,5230,4341,3958,3766
Tramutola,4243,4343,3528,2815,2662,2826,2980,3006,3454,3357,3091,3594,3244
Trecchina,2835,3023,2971,2844,3140,3087,2692,2665,2688,2919,2815,2597,2508
Trivigno,2754,2589,2570,1780,1694,1688,1746,1762,1883,1632,1179,992,868
Vaglio Basilicata,4081,4188,4213,3643,3211,3001,2775,2837,2846,2420,2099,2172,2320
Venosa,7062,7196,7933,8503,9304,9154,10092,11045,13427,12701,11242,11925,11905
Vietri di Potenza,3545,3765,3791,3467,3026,2701,3024,3226,3549,3642,3452,3480,3255
Viggianello,5399,5322,5322,4440,4208,4613,4832,4922,5487,5381,4773,4285,3985
Viggiano,5731,6188,6030,4351,4030,3777,3870,4046,4152,4039,3179,3088,3161
Accettura,4089,4276,4695,4178,3931,5921,4380,4233,4546,4290,3363,2672,2740
Aliano,1748,1753,1818,1537,1597,1535,1729,1964,2288,2188,1824,1706,1495
Bernalda,6097,6455,7176,7324,7369,7239,7676,8380,10080,10571,10753,11748,12037
004 Calciano,560,546,645,806,985,1096,1252,1402,1683,1559,1313,1155,1049
Cirigliano,1582,1568,1543,1510,1126,1163,1302,1214,1256,1232,1001,657,532
Colobraro,2580,2661,2705,2161,2018,2030,2271,2500,2966,2772,2338,2049,1756
Craco,1821,1900,2015,1696,1359,1046,1321,1659,1821,1871,1350,1083,971
Ferrandina,6433,6666,7117,7351,7123,6933,7608,8068,8602,8781,8814,9157,9427
Garaguso,966,942,1113,1033,1140,937,1115,1241,1420,1491,1312,1303,1270
Gorgoglione,1649,1757,1675,1643,1648,1549,1576,1617,1880,1857,1702,1456,1395
Grassano,5426,5324,6145,6474,6504,6092,6587,7252,8418,8206,6755,6261,6065
Grottole,2590,2743,2991,3246,3031,2842,2977,3188,3578,3726,3190,3163,3006
Irsina,6241,6341,7042,7508,7718,7100,7566,8511,10283,11327,8263,7242,6558
Matera,14434,14399,15593,17081,17726,18357,20163,22069,30390,38562,44513,50712,54919
