City,1,2,3,4,5,6,7,8,9,10,11,12,13
Zerba,1556,1647,1495,1453,1335,1103,928,847,699,541,339,199,155
Ziano Piacentino,4761,5100,5469,6660,6852,6901,6475,6323,5564,4413,3680,2985,2626
Albareto,3905,4188,4003,3939,4860,4544,4414,4205,4162,3472,2484,2399,2285
Bardi,9481,9736,10054,8929,10344,10166,8364,7985,7442,5886,4227,3838,3393
Bedonia,9425,9051,9755,9653,9038,8906,7767,7953,7723,6704,5330,5250,4443
Berceto,5988,6449,6965,7670,9024,9868,7390,6735,6210,5185,3824,3013,2746
Bore,1681,1794,1912,2056,2448,2003,2189,2339,2430,2019,1592,1362,1056
Borgo Val di Taro,7872,8591,8637,9236,9423,11506,11191,11004,10862,9706,7646,7306,7027
Busseto,8107,8603,8263,8451,8675,9290,9531,9899,9454,8343,7844,7460,7026
Calestano,2633,2771,3109,3331,3676,4011,3691,3468,3244,2585,2164,1914,1796
009 Collecchio,4336,4681,5017,5782,6803,8066,8149,8400,9035,8851,9630,10793,11190
Colorno,7274,6829,6996,7226,7498,7905,7674,7878,7398,8017,7085,7145,7492
Compiano,1991,2446,2252,3116,3130,2596,2045,2022,1803,1525,1329,1243,1080
Corniglio,5533,5855,6204,7157,7401,7659,7174,6608,6112,5139,3861,3260,2609
Felino,2765,3134,3403,4105,4758,5426,5421,5244,5121,4428,4245,5296,6354
Fidenza,10076,11014,10937,12019,13463,15624,17184,17352,17788,20379,23805,23901,23192
Fontanellato,5628,6022,5783,6142,6954,7555,7576,7118,7523,6879,6223,6131,6109
Fontevivo,2721,2891,2992,3466,4164,4619,4538,4420,4650,4246,4178,4244,4542
Fornovo di Taro,3041,2882,3248,3471,4044,4818,5361,6203,6680,6220,6157,5966,5906
Langhirano,5502,5960,6298,7155,8043,8410,8045,7752,7209,6554,6562,7138,7532
Lesignano de Bagni,2931,3152,3452,3879,4481,4449,4462,4176,3687,2990,2257,2543,2979
Medesano,4370,4671,4877,5113,6120,7319,7966,7949,8057,7310,7079,7618,7909
Mezzani,4237,4379,4227,4261,4399,4267,4236,4208,3811,3271,2717,2429,2503
Monchio delle Corti,2327,2598,2906,3480,3659,3855,3934,3333,3306,2785,1972,1584,1469
Montechiarugolo,4055,4369,4485,4699,5360,6253,6527,6485,6802,6082,6375,7769,8326
Neviano degli Arduini,5247,5613,5993,7023,7797,8312,8901,8349,7720,5995,4413,3970,3612
Noceto,5653,6048,6565,7515,9084,10293,10012,10001,10532,9488,9002,9444,10128
