City,1,2,3,4,5,6,7,8,9,10,11,12,13
POPOLAZIONE RESIDENTE,1861,1871,1881,1901,1911,1921,1931,1936,1951,1961,1971,1981,1991
Conca dei Marini,1180,1086,983,732,710,664,672,702,758,735,726,694,670
Controne,1645,1696,1650,1332,1305,1261,1254,1326,1373,1226,1114,1042,1047
Contursi Terme,2853,3015,2986,2873,2649,2787,2926,3007,3193,3162,2975,3035,3110
Corbara,1787,1863,1763,1492,1230,1239,1531,1673,2001,2121,2153,2249,2420
Corleto Monforte,2111,2269,2000,1546,1471,1348,1398,1457,1546,1473,1196,1146,965
Cuccaro Vetere,864,879,924,810,817,779,814,809,858,770,720,656,695
Eboli,6943,6881,8671,9668,9878,10317,12908,14727,20453,25634,25234,31134,33964
Felitto,1569,1748,1888,1854,1923,1857,1995,2133,2347,2178,2052,1763,1578
Fisciano,7771,8160,7570,7387,7306,7241,7580,7954,8451,8496,8032,9838,11421
Furore,707,649,660,612,591,581,598,591,610,603,615,633,779
Futani,933,1021,1023,1016,1268,1252,1347,1452,1627,1587,1560,1670,1484
Giffoni Sei Casali,3914,4070,4041,4034,3660,3684,4035,4265,4482,4154,3634,3514,3608
Giffoni Valle Piana,6378,6374,6518,6365,6019,6238,6484,7012,8461,8957,8534,9202,10460
Gioi,1988,1853,2016,1958,2009,2061,2039,2145,2332,2206,2061,1936,1697
Giungano,835,870,874,776,920,972,1058,1090,1278,1200,1156,1112,1063
Ispani,1342,1215,1188,1009,943,1089,986,1032,1150,1044,1042,1002,1052
Laureana Cilento,1625,1702,1916,1921,1675,1891,1800,1971,2074,1863,1291,1083,1105
Laurino,2867,3219,2963,3021,3052,3259,3301,2561,3140,3173,2912,2509,2252
Laurito,1577,1587,1646,1540,1610,1848,1558,1562,1692,1487,1405,1164,1066
Laviano,2395,2547,2515,2286,1984,1957,1909,2043,2413,2289,2240,1698,1878
Lustra,950,1057,1187,1164,1517,1664,1629,1502,1620,1525,1389,1246,1189
Magliano Vetere,1136,1125,1071,1191,1202,1274,1317,1407,1547,1471,1366,1178,1024
Maiori,5103,5259,5325,5379,4563,4593,4997,4898,5214,5854,5998,6097,5735
Mercato San Severino,9907,9961,10517,11036,11555,11947,12506,13404,15515,16658,17426,18202,19078
Minori,3105,3340,3585,3856,3290,3001,2836,2920,3016,3257,3174,3162,3091
Moio della Civitella,1385,1397,1334,1462,1588,1737,2064,2211,2386,2232,2021,1756,1802
Montano Antilia,2185,2283,2282,2440,2468,2335,2488,2657,3017,2810,2689,2759,2664
Montecorice,1672,1992,2226,2890,2907,2770,2450,2668,2834,2475,2260,2380,2440
Montecorvino Pugliano',2085,2123,2489,2882,2757,2676,2758,3065,3547,3498,3176,3452,4404
073 Montecorvino Rovella,4880,5252,5878,6162,6323,6645,7562,7959,9050,8481,8729,8863,10262
Monteforte Cilento,678,698,773,881,869,928,931,988,1079,891,816,684,694
Monte San Giacomo,2542,2800,2936,2112,1914,2083,2210,2195,2448,2270,2205,2142,2050
Montesano sulla,5865,5936,5212,4746,4579,6217,6079,6067,7472,7810,7396,7378,7720
Morigerati,1237,1519,1377,1632,1824,2009,1116,1100,1190,1165,1031,866,877
Nocera Inferiore,14121,12690,16388,20064,22694,24306,26523,29347,35955,43050,48172,46954,49053
Nocera Superiore,6616,6503,6974,7681,8447,8679,10528,11131,13006,14606,16129,17659,22325
080 Novi Velia,1480,1322,1317,1335,1190,1025,1108,1243,1463,1769,1620,1713,2015
Ogliastro Cilento,1845,1944,2035,2570,2411,2566,2617,2770,3077,2947,2306,2218,2183
Olevano sul Tusciano,2798,2761,2952,3083,3132,3072,3490,3985,4862,5070,5037,5828,6216
Oliveto Citra,3694,3954,3730,3419,3431,3714,3840,4027,4185,3957,3520,3468,3948
Omignano,1241,1288,1329,826,926,967,1064,1186,1451,1676,1505,1507,1542
Orria,1208,1373,1565,1751,1661,1755,1793,1912,2175,2075,1887,1587,1443
Ottati,1449,1576,1703,1585,1336,1322,1351,1534,1671,1522,1444,1220,998
Padula,7041,9307,8938,5114,4581,4528,5253,5528,7030,6773,5941,5749,5623
Pagani,12185,12506,13330,14524,14954,17048,19015,19756,24000,27006,29787,32212,33138
Palomonte,2343,2335,2250,2769,2702,3669,2927,3240,3648,3689,3660,3870,4204
090 Pellezzano,6281,6155,6569,6284,5420,5132,5306,5356,5858,5470,5183,6826,9171
Perito,2621,2564,2311,2508,2348,2526,2538,2713,2802,2634,2039,1756,1873
,1391,1402,1545,1631,1557,1572,1772,1908,2142,2022,1531,1267,1189
093 Pertosa,1036,932,882,782,845,793,910,998,1117,1161,1075,906,897
Petina,1874,1977,1959,1647,1393,1292,1328,1547,1872,1769,1357,1417,1352
Piaggine,3624,3630,3854,3805,3149,3159,2879,2957,3023,3118,2853,2313,2056
Pisciotta,3534,3832,3828,3357,3666,3757,3673,3827,4013,4111,3577,3575,3324
Polla,5591,5874,6516,4566,4648,4799,5094,5062,5268,5091,4991,5345,5635
Pollica,2998,3454,3418,3622,3132,3519,2971,3001,3145,3145,3229,3056,2912
Pontecagnano Faiano,2732,2784,3263,4983,6025,5967,7781,9067,13176,15144,17239,19570,21781
Positano,2705,2837,2615,1839,1809,1710,1744,2075,2450,2788,3133,3488,3638
Postiglione,3072,3006,2728,2699,2515,2339,2483,2654,3044,3013,2851,2569,2605
Praiano,1060,1015,1064,1178,1430,1535,1522,1546,1595,1575,1675,1774,1883
Prignano Cilento,1371,1636,1703,1509,1503,1320,1400,1467,1517,1407,1122,951,921
Ravello,1596,1832,1983,1851,1936,1938,2054,2320,2486,2594,2415,2315,2422
Ricigliano,2382,2452,2484,1669,1213,1101,1259,1207,1383,1408,1466,1439,1497
Roccadaspide,5322,6024,5896,6495,6435,6849,8051,8441,8878,8479,8012,7684,7519
107 Roccagloriosa,2408,2276,2369,2131,2100,2056,2166,2266,2334,2215,2116,2038,2167
Roccapiemonte,3744,3819,3926,4375,4371,4745,5022,5296,5804,6373,6693,7762,8751
Rofrano,2794,2738,2173,2024,1809,2016,2131,2455,3268,3111,2683,2417,2304
Romagnano al Monte,811,873,950,765,776,652,667,735,751,623,499,477,458
