City,1,2,3,4,5,6,7,8,9,10,11,12,13
Vetralla,,6602,6583,8020,7779,8061,8650,8698,9800,9620,9359,10538,11573
Vignanello,,3555,3583,4061,4311,4668,5157,5371,5878,5691,5133,4880,4724
Villa San Giovanni in Tuscia,,,,,,,,,,,,,
Viterbo,,27232,26833,28660,30801,33347,35969,37130,44132,50047,54561,57632,58380
Vitorchiano,,,,,,,,,,,,,
Accumoli,2658,2693,2884,2776,3059,2879,2695,2359,2239,1893,1243,985,758
Amatrice,8147,8226,8664,9574,10347,10043,7794,7419,6566,4918,3696,3336,3042
Antrodoco,3687,3878,4100,4622,5014,5076,4819,4912,4782,4165,3230,3028,3011
Ascrea,827,861,884,803,882,856,834,780,626,498,423,308,318
Belmonte in Sabina,1100,1211,1213,1241,1258,1201,1054,1105,1132,864,614,583,627
Borbona,1637,1768,1856,2237,2361,2443,2280,2109,1752,1536,924,751,734
Borgorose,4711,4812,5194,6492,6771,7023,6922,6979,7009,6434,5095,4799,4630
Borgo Velino,1497,1694,1701,1340,1186,1183,1060,962,956,760,670,724,845
Cantalice,2018,2113,2254,2695,2956,3098,3180,3389,3458,2909,2624,2659,2753
Cantalupo in Sabina,708,843,843,1085,1105,1182,1270,1353,1414,1291,1177,1336,1489
Casaprota,986,1051,1132,1233,1237,1285,1286,1297,1198,1018,785,715,695
Casperia,1376,1386,1436,1680,1602,1720,1665,1722,1639,1352,1145,1035,1032
Castel di Tora,1009,1085,1036,1011,1020,964,960,890,826,584,489,387,330
Castelnuovo di Farfa,836,808,850,1195,1164,1190,1171,1198,1364,1297,962,810,823
Castel Sant'Angelo,2308,2325,2204,1969,2569,2487,2198,2002,2074,1594,1295,1255,1320
Cittaducale,4396,4213,4212,4460,4616,4643,4553,4620,5301,4887,4817,5506,6434
Cittareale,1635,1582,1628,1811,1750,1918,1735,1496,1312,1118,840,707,552
Collalto Sabino,1520,1437,1429,1601,1459,1607,1625,1337,1222,1033,810,607,539
Colle di Tora,509,548,523,667,674,646,687,676,628,573,481,446,412
Collegiove,461,489,474,576,542,671,638,666,623,506,341,260,201
Collevecchio,1466,1612,1661,1951,1936,1865,2091,2157,2132,2023,1617,1471,1462
Colli sul Velino,780,881,906,1039,973,1009,932,913,941,683,424,451,462
Concerviano,973,1041,1059,1068,1122,1076,1035,1016,1012,819,586,488,461
Configni,726,825,825,1056,968,1003,1032,1059,1051,891,739,783,752
Contigliano,2780,3101,3360,3653,3878,3902,3785,3666,4012,3318,2710,2925,3142
Cottanello,1013,1083,1136,1343,1273,1287,1308,1261,1212,1008,787,655,597
Fara in Sabina,1660,2067,2349,3637,3767,4218,4863,5425,6203,6838,7046,8002,9319
Fiamignano,3402,3514,3475,4142,4397,4515,4690,4366,4270,3492,2463,1969,1864
Forano,992,1151,1284,1465,1846,1854,1887,2100,2353,2369,2120,2164,2364
Frasso Sabino,477,573,609,703,636,633,683,732,669,611,563,498,531
Greccio,1545,1729,1813,1892,1996,1951,2036,1940,2018,1591,1361,1518,1504
Labro,551,623,641,735,711,718,813,800,725,558,382,340,293
Leonessa,6841,6806,7029,8323,7165,7460,6402,5498,5168,4451,3522,3048,2877
Longone Sabino,1561,1777,1773,1763,2001,2117,1886,1837,1650,1363,1024,755,699
Magliano Sabina,2436,2501,3116,3723,4096,4140,4104,4264,4386,4348,3672,3577,3702
Marcetelli,608,657,636,748,798,788,763,763,723,629,407,228,182
Micigliano,757,800,776,914,808,808,705,686,604,427,295,210,149
Mompeo,619,670,663,744,792,764,830,884,923,757,672,604,581
Montasola,480,535,577,720,821,878,682,662,635,545,334,398,380
Montebuono,1144,1304,1387,1551,1597,1585,1613,1655,1642,1381,1041,939,899
Monteleone Sabino,1431,1596,1639,1652,1662,1756,1696,1737,1675,1473,1362,1270,1266
Montenero Sabino,577,577,580,642,602,669,681,681,716,541,481,429,373
Monte San Giovanni in,1042,1127,1172,1351,1414,1350,1112,1070,1013,810,10,626,681
Montopoli di Sabina,1101,1087,1220,1768,1937,2382,2980,3241,3665,3370,3062,3056,3472
Morro Reatino,682,768,658,730,796,806,746,786,665,552,449,437,367
Nespolo,704,776,704,744,692,766,756,674,604,529,421,330,283
Orvinio,1585,1582,1607,1687,1858,1750,1529,1405,1194,880,633,424,456
Paganico,807,862,772,818,821,972,1024,900,665,435,351,251,196
Pescorocchiano,4119,4456,4578,5529,6019,6365,6542,6676,6675,5802,3954,3140,2738
Petrella Salto,4179,4488,4674,5007,5169,5026,5262,5000,4493,3581,2334,2005,1608
Poggio Bustone,1229,1306,1354,1752,1842,1958,2040,2143,2378,2196,1862,2046,2159
Poggio Catino,912,917,1102,1196,1276,1319,1345,1359,1409,1185,1002,1023,1103
Poggio Mirteto,2326,2221,2704,3394,3401,3723,3752,3847,4271,4246,4211,4668,4942
Poggio Moiano,1570,1656,1868,2082,2278,2317,2284,2292,2273,2190,2092,2157,2381
Poggio Nativo,1643,1773,1765,1891,1784,1829,1905,2049,2030,1778,1541,1522,1801
Poggio San Lorenzo,511,645,668,636,675,711,670,720,703,601,463,446,516
Posta,2201,2284,2230,2436,2666,2537,2427,2185,1919,1514,1202,1056,919
Pozzaglia Sabina,1370,1350,1494,1602,1763,1692,1628,1510,1389,1193,979,698,553
